Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.017650324151315372,35.02111832412621,0.9636320484989257,0.9981247499762975,1.5539598147096196,1.5146715015219017
"8x, 4 bands",0.019229415576381016,34.282793110288814,0.9441759892745549,0.9967295116173976,1.8005619858554023,2.171216818743619
"16x, 4 bands",0.027888488179811724,31.070928573768395,0.931069430206487,0.9931394445825963,2.3598756846195985,3.3098631411244583
"32x, 4 bands",0.04304757234329941,27.308573398136744,0.933119183799654,0.9867619920522595,3.048403307114681,5.182645943141772
"8x, 1 band",0.024192635372683843,32.300733929717865,0.9295070444874642,0.9959687235025834,2.0911606350253633,2.2818101745674078
"8x, 3 bands",0.02020482490172957,33.8558073535745,0.9417159005056513,0.9962869791575891,1.8961272275136516,2.2040252055349523
"8x, 8 bands",0.016797541642247584,35.44846429759354,0.9586626925105877,0.9974838106158831,1.62037406424798,1.9457266610321104
"8x, 16 bands",0.015551965532803252,36.11058223915725,0.9647123479923917,0.9977897607858567,1.466026628519373,1.8326377248403285
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.016678494985740866,35.508072911663014,0.9680355091063977,0.9984504171541301,1.4028484304716367,1.364872219532005
"8x, 4 bands",0.020030185197848667,33.93194954163604,0.93965171782166,0.9966877623073926,1.8669319042489954,2.2162119705615475
"16x, 4 bands",0.024618492730969086,32.15040067177612,0.9539132302322696,0.9955836051484523,1.9238156833686908,2.9626180312683026
"32x, 4 bands",0.04431614948967533,27.055855818765345,0.9221722085691892,0.9825820551244988,3.3709788734797117,5.305119345809739
"8x, 1 band",0.024033282074023773,32.3584454997382,0.9214916080508572,0.995927999009367,2.0897738067064378,2.291732091553909
"8x, 3 bands",0.02022307319092036,33.84899269645332,0.9415701693693013,0.9966663306901457,1.8767610447097036,2.203492450779691
"8x, 8 bands",0.016230438837145558,35.74391476000762,0.9617637724034698,0.9975585723659219,1.554422924677994,1.9111198000549483
"8x, 16 bands",0.016302692757387972,35.70567933992788,0.9610109535141486,0.9977740043237492,1.5132711378023809,1.884492094132242
Airy PSF,,,,,,
"4x, 4 bands",0.011846198227115102,38.44126038028682,0.9722800303214364,0.9987453276167042,1.2300006020929983,1.3254935109242372
"8x, 4 bands",0.01934191335361632,34.2343809096928,0.9415391056847372,0.9967505125718088,1.8381758789646367,2.1929705443632863
"16x, 4 bands",0.02660261443728181,31.479812415171896,0.9370752220442425,0.9942578748133718,2.21326525870559,3.17892649374461
"32x, 4 bands",0.04367185895489007,27.18344993901054,0.9290934737199366,0.9845255773946735,3.248547680300909,5.27549766915304
"8x, 1 band",0.022980024035401364,32.747146437483124,0.9232429031595316,0.9960996576965483,2.064320146237656,2.3032042480385915
