Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.02188918783636121,33.358209724274055,0.8019653460815301,0.819610555701535,11.250981257534773,2.479048962324451
"8x, 4 bands",0.024373427660471184,32.39777031071783,0.7868807004061517,0.8122410996667577,11.448286337427934,2.829730084219946
"16x, 4 bands",0.03415244225872406,29.40903146868708,0.7649712173312604,0.8035076079082542,11.72329134101461,3.9248567890869914
"32x, 4 bands",0.04698506450020938,26.60884848061923,0.7185743427800263,0.7586857295130172,12.915648286373859,5.5960098454845895
"8x, 1 band",0.023292106419333148,32.69659176461238,0.8664128500175745,0.9135144702473333,7.880687582727706,2.5926544315722153
"8x, 3 bands",0.024801843011855746,32.257875265720465,0.7748633650672869,0.7985606511740522,11.842621546627647,2.8908523798853323
"8x, 8 bands",0.026183415138779295,31.809146749444956,0.7433180399645283,0.7643527030192618,12.78188833546253,3.052832237042889
"8x, 16 bands",0.023137209768608447,32.842368647947175,0.8352476770130679,0.8470684044249853,10.363283879873068,2.532329560492428
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.021042401068093103,33.69712812951188,0.8170253685427691,0.8334988221358034,10.80330651237373,2.3914238251321227
"8x, 4 bands",0.02549666351578144,32.02789967935989,0.7696635282176453,0.7916395727622181,12.028182008349656,2.9953824487168537
"16x, 4 bands",0.030514389614507507,30.37932708057815,0.7955906848784048,0.8311321851462088,10.869001480308691,3.6129634577143523
"32x, 4 bands",0.04681466407767137,26.61789629911914,0.7797579047985217,0.8299854674458411,10.96878351465243,5.494845779253415
"8x, 1 band",0.030129649212813393,30.486224719893276,0.7560298801728822,0.838923739569307,10.647867749015969,2.9408117985693907
"8x, 3 bands",0.02783271814921267,31.25160842621223,0.7354271132190305,0.7709568852695242,12.614952585526742,3.161285182335525
"8x, 8 bands",0.020013448629805856,34.09552053222113,0.8542590503935205,0.8676097008690478,9.648679606450687,2.363566044828579
