Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.014383527736383616,36.7839033420474,0.9588857188305401,0.9909327323982611,3.229456325911426,1.4983237639085936
"8x, 4 bands",0.01681830025396332,35.44152559998901,0.9451485530098608,0.988166017901018,3.675982526137126,1.7497553002529278
"16x, 4 bands",0.02325116677248516,32.64814516101522,0.9081933921388264,0.9819401699199273,4.737934434746232,2.092162501742599
"32x, 4 bands",0.028961538249050574,30.74827389779739,0.8515408734950024,0.9736735014828298,5.784290655586289,2.6151392008764853
"8x, 1 band",0.02289732522183016,32.77687471514455,0.911470944885823,0.9893017968114158,3.6589477050457444,2.18233508605193
"8x, 3 bands",0.017805008277837677,34.9511045285156,0.9461819072269289,0.9905098959958023,3.3804083173301693,1.7507369265027055
"8x, 8 bands",0.018141298365785746,34.79164607981523,0.9355620276145258,0.9856391965409694,4.34014285285069,1.80786569593775
"8x, 16 bands",0.015451906991871156,36.17215347974246,0.9464104427267453,0.9877184483365227,3.9295510868247425,1.6135978270262508
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.016463750980728723,35.622385223563285,0.95389859467204,0.9914591497411922,3.3280100006791353,1.609601846196676
"8x, 4 bands",0.01624535008087311,35.74062890320463,0.9467744804521058,0.9886214164233059,3.804845517073121,1.697847249943006
"16x, 4 bands",0.02314568123821225,32.68761615333983,0.9026773404175025,0.9821505978245784,4.822738062581303,2.140642330697703
"32x, 4 bands",0.023554721547993956,32.53772008046112,0.8981596228543014,0.9788627841470829,5.048589787683234,2.2208543647630403
"8x, 1 band",0.020769823330128487,33.620745171810974,0.9250646596293085,0.9909290712084389,3.338230605691292,2.061630062048761
"8x, 3 bands",0.019481784317292618,34.17415985291221,0.9324123110826933,0.9866353300171844,3.7808698058440386,1.9131212589251736
"8x, 8 bands",0.015163939512272321,36.33240173848199,0.952484158862923,0.9885086352793012,3.7125146782682803,1.6637456095210132
"8x, 16 bands",0.01711147190524712,35.293328727212995,0.9444683723976474,0.9844173620503337,4.125722968081587,1.6820037723895152
Airy PSF,,,,,,
"4x, 4 bands",0.013780015087946598,37.15122354002743,0.9597815989648405,0.9915043726169422,3.069124620232567,1.518875803121162
