Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01272955897277053,37.854223745584655,0.9799987825644159,0.9986386181736103,1.2348472954745986,1.1660837258853096
"8x, 4 bands",0.013743170426046208,37.1968384798532,0.9793381045740124,0.9984928046497568,1.3231542791784283,1.2753382579100698
"16x, 4 bands",0.015166179045061685,36.341559542189046,0.9772012082141354,0.9976947092211649,1.4898276043115157,1.4821678052005747
"32x, 4 bands",0.017842712192979848,34.93124800758953,0.9718997111351588,0.9975269495437907,1.4726580074794688,1.897000304936651
"8x, 1 band",0.02379896124186378,32.448770231484,0.9385880441418158,0.9956943135876917,2.1543697625301195,2.091268814178385
"8x, 3 bands",0.015802485194841724,35.984858593731644,0.9689405406240933,0.9973092485444095,1.5569915662417908,1.6014263232035824
"8x, 8 bands",0.012799387390435308,37.8108959232332,0.9828286371396365,0.9979592646541992,1.442987850801618,1.1401068089244586
"8x, 16 bands",0.016136603038923957,35.78600633553711,0.9777317359925863,0.9983361914384233,1.3877651353118812,1.589328457357903
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01210260259388236,38.28586177854448,0.9801333614604099,0.9984810376804211,1.278586635248211,1.1520023304159763
"8x, 4 bands",0.013133291955752064,37.581884855268584,0.9787982824966752,0.9982469617969545,1.325653750965345,1.2677318817739087
"16x, 4 bands",0.013484725027836084,37.358382246196214,0.9791207884751386,0.9983923700315029,1.3944822277415936,1.3691415146500863
"32x, 4 bands",0.02821811365407497,30.9376916165302,0.964077942204729,0.9968704729901403,1.6661860135268318,3.2999738809799264
"8x, 1 band",0.022908050229164437,32.78070812834139,0.9369260886901096,0.9954316941054295,2.207735307061565,2.0626020833450185
"8x, 3 bands",0.016095722032647745,35.82833625424899,0.9686162377373853,0.998169355875675,1.3519338536657843,1.618311938214029
"8x, 8 bands",0.012103981528064045,38.279419576688525,0.982988456328278,0.9985350393698444,1.237376688305319,1.2034485959049817
"8x, 16 bands",0.011455262161493543,38.754064974657474,0.9826406359074973,0.9988194717139925,1.1600412074607755,1.1083053414271735
Airy PSF,,,,,,
"4x, 4 bands",0.013425507731651985,37.399569388132186,0.9765329334454542,0.998728567878088,1.2712982365533396,1.2096703646303344
"8x, 4 bands",0.017743260317625294,34.99359142056664,0.9547219608500788,0.9966671154909376,1.894902177896314,1.653017943655862
"16x, 4 bands",0.015606057671896614,36.098756655668865,0.9742247842156339,0.9970827767009772,1.6509612027030247,1.5357324965493417
"32x, 4 bands",0.029220994437256766,30.64015926668192,0.9631519250366002,0.9964203957058964,1.7586890848313947,3.460818646074791
"8x, 1 band",0.030007985783196824,30.443030989432817,0.8685605089440346,0.9932690850256971,2.715361824490278,2.623282707357845
"8x, 3 bands",0.024090117362570853,32.34098939957734,0.9306512197029655,0.9948849628248362,2.259763711470096,2.464968740793881
"8x, 8 bands",0.014290311029614894,36.85925320358521,0.9699132894120104,0.9966279195617468,1.8486746909877492,1.3992151577307699
"8x, 16 bands",0.023621925734173266,32.509480309337505,0.9096660643321396,0.996118182058953,2.1631780497254507,2.1806386378168283
Moffat PSF,,,,,,
