Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.010609696101492075,39.376330849148964,0.9798550989708149,0.9989176286681665,1.0447402776684418,1.1304229880635557
"8x, 4 bands",0.01093961826345754,39.11703629726376,0.9785778934819761,0.9986489219909458,1.119990303783701,1.265057755992143
"16x, 4 bands",0.013694342032801536,37.20463232385097,0.9770381020524175,0.9976323731490465,1.387253111187319,1.626867177036293
"32x, 4 bands",0.022426910202629113,32.95874413567902,0.9743740170472275,0.9938369450999897,2.0490587334343062,2.7123584059751544
"8x, 1 band",0.020626484143567162,33.6793406488922,0.9351381421712427,0.9960548717082469,1.9922058580065392,2.132200216883567
"8x, 3 bands",0.01275980303333149,37.80719117513656,0.9749910423030044,0.998572994359682,1.1713065204392323,1.4054768403740847
"8x, 8 bands",0.009816705948997124,40.037950760355415,0.9818606769165721,0.9986682843022495,1.102646463739241,1.1588357212371625
"8x, 16 bands",0.009541491815015669,40.27917423117343,0.982189442923495,0.9988114718919597,1.063431176379218,1.125192450541501
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01012964881675518,39.76897387723323,0.9801328974762682,0.9990700126650013,0.9965827260852976,1.1133880693867206
"8x, 4 bands",0.01086515719064027,39.17602733889498,0.9786490534728247,0.998708142605789,1.1124792256337592,1.250581596933124
"16x, 4 bands",0.01360053091674746,37.26127520889922,0.9771767855434979,0.9976673546287702,1.381009429090322,1.6209091176459263
"32x, 4 bands",0.020146739286747845,33.8829794422749,0.9746270242777617,0.9942846790869391,1.994213751884387,2.433089046286258
"8x, 1 band",0.020020112978909745,33.93658912703841,0.9362545779030401,0.9961940716502631,1.962542722175663,2.0807072072874297
"8x, 3 bands",0.012391455078782646,38.0572151413468,0.9750484951381254,0.9986238650334991,1.1564683534709816,1.3912204213072699
"8x, 8 bands",0.009664363466477055,40.16771297781571,0.9819119189515549,0.9987951619933132,1.0809197971713953,1.1368939519719081
"8x, 16 bands",0.009659326598438127,40.17393467325398,0.9821814519549411,0.9988081338242857,1.063146209177744,1.1376121890518172
Airy PSF,,,,,,
"4x, 4 bands",0.00950781164688759,40.30391093298203,0.9812700858633097,0.9991450894651256,0.9544396666712168,1.0740071196231313
"8x, 4 bands",0.010629723656201278,39.362857633941346,0.9788804639297443,0.9987404418736775,1.0982027007265067,1.2363502574671679
"16x, 4 bands",0.013007879733585335,37.64295183183933,0.9769796473563015,0.9976782670405375,1.3862604293570469,1.545090922929317
"32x, 4 bands",0.02265708228476355,32.871259700995836,0.9740683116128327,0.993966682676755,2.0419181432674396,2.6823273448550777
"8x, 1 band",0.01951421760483949,34.157516565485004,0.9363346455440474,0.9963110503619627,1.9329492602856684,2.066570209809384
"8x, 3 bands",0.011846265178936692,38.44064379070023,0.9751536549562942,0.9986545400328407,1.1482756265001726,1.3603730458596708
"8x, 8 bands",0.009680503653486716,40.15457628764385,0.9819650722499745,0.9988192456689611,1.0679125652524726,1.1443514513285042
"8x, 16 bands",0.009502097321273365,40.31305678441768,0.982270841300887,0.9988260881991124,1.058797839110937,1.1313851909628811
Moffat PSF,,,,,,
"4x, 4 bands",0.009790367969545228,40.056888868167775,0.9806970643195028,0.999115865610079,0.9741176660473783,1.085498699458266
"8x, 4 bands",0.011055359945974551,39.029140946373474,0.9787329775493382,0.9987129452225865,1.1120399033121555,1.2563668738818305
"16x, 4 bands",0.013688353726828709,37.207838883465975,0.9770820825846589,0.9976119344978287,1.3832908162403525,1.6272618339042728
"32x, 4 bands",0.021017673784768362,33.52046976329506,0.9745006301153024,0.9942117485225254,2.0131500075314968,2.549084014526469
"8x, 1 band",0.02036081212506925,33.791079887011925,0.9338505512368847,0.9960731944980247,2.0008355244437186,2.1267668013988223
"8x, 3 bands",0.0123728590047041,38.070424924071666,0.9750797300118103,0.998635317630512,1.1583128896350645,1.3880265608183484
"8x, 8 bands",0.009699288658225847,40.13529823934562,0.9819311314963207,0.9987642597430257,1.0793868217805929,1.1418211864061318
"8x, 16 bands",0.009226680419928317,40.559958510118946,0.9822389371431283,0.9988523818261988,1.0497909892053616,1.0969131195001212
Sinc PSF,,,,,,
"4x, 4 bands",0.009408131619445616,40.39359602653146,0.9814952722305512,0.9991785521119212,0.9342994370150302,1.0754479693728867
"8x, 4 bands",0.010736760988746534,39.278649931836874,0.9788230458735507,0.9987281910815641,1.0998755138104837,1.2543820635977072
