Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.015989898920187783,35.88822081914365,0.9648541747602539,0.9959103212382087,2.0945867637554887,1.6025653639693878
"8x, 4 bands",0.016933954098216703,35.39069549527218,0.9587310241668733,0.9954429089091125,2.175943563705405,1.802022042215981
"16x, 4 bands",0.01879321803512021,34.49057661324759,0.9507160562564854,0.9950978980824963,2.222225417300127,2.0406404638424886
"32x, 4 bands",0.023157442879776325,32.685757887278726,0.932399740225934,0.9933270161442469,2.5568010903419958,2.64195921931301
"8x, 1 band",0.026705825473857768,31.45061155878107,0.9249512829923854,0.9918778207926027,2.7855326633269293,2.565177007428077
"8x, 3 bands",0.0216445815447321,33.27105215362268,0.9411870384386232,0.9930091397339127,2.592741836319099,2.287663219799285
"8x, 8 bands",0.013286060178461208,37.46692834197181,0.9698091937716754,0.9964829624132143,1.9058470546649424,1.4633409223619633
"8x, 16 bands",0.013645202048350387,37.251280597015636,0.9690743279607305,0.9970533374075542,1.7907912974780953,1.436432965239875
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.015601865063348859,36.09856499299398,0.965297586785087,0.9960829757343708,2.071676234557633,1.5880704218901514
"8x, 4 bands",0.01673618887512916,35.491066353209355,0.959136002893379,0.9954128500721362,2.1868811826815837,1.7819266651824515
"16x, 4 bands",0.018629873999312267,34.56555399649733,0.9508914834137159,0.995041424127685,2.2328128971575816,2.0315065799314773
"32x, 4 bands",0.023092256131710676,32.710780919322275,0.9320988266379471,0.9932780458232514,2.566088799543312,2.632913700974386
"8x, 1 band",0.026634794376088313,31.47318562906824,0.9245436873758132,0.992085167204781,2.7494524112053593,2.5482616170617174
"8x, 3 bands",0.021489011167357287,33.332874074063426,0.9415735104800949,0.9930754088442842,2.57790499330946,2.280086619019037
"8x, 8 bands",0.013356151272479681,37.42181624588476,0.9701506746198811,0.9965083028447632,1.8969315768341461,1.4678298507505427
"8x, 16 bands",0.013381397844154892,37.417139160432434,0.9691709097647171,0.9970383145896821,1.7844495138390537,1.4283296928415954
Airy PSF,,,,,,
"4x, 4 bands",0.014555878681956475,36.68981820573556,0.9656189417345103,0.9960040959039792,2.0593332907742163,1.5378557248858638
"8x, 4 bands",0.016599967042417074,35.56057676746179,0.9585007305642973,0.9952374791063895,2.209157801179755,1.7610345038935575
"16x, 4 bands",0.018455300893153958,34.647918246466276,0.9509254389469604,0.9950336218097442,2.246804327294174,1.9951432931205644
"32x, 4 bands",0.02289036485236586,32.78627932358189,0.9324535859947152,0.9930753490602875,2.6006212613755455,2.591144105991996
"8x, 1 band",0.027389423064558334,31.230943905538453,0.9180846277613511,0.9916352716779188,2.81556297312562,2.5839363354269285
"8x, 3 bands",0.02164621159214657,33.26972534472247,0.9392881355254427,0.9926411323465547,2.6756870841590166,2.285153125279306
"8x, 8 bands",0.01307029043272656,37.60578991845128,0.9696940574411091,0.996438418581487,1.9233401374846633,1.4490811949222693
"8x, 16 bands",0.013371854889095142,37.423910118239974,0.9687745264604822,0.9970423061877906,1.8030252329102332,1.4289297889932044
Moffat PSF,,,,,,
"4x, 4 bands",0.015091878316780606,36.38242791916995,0.9661547042160162,0.9960345779632289,2.080450910141508,1.5574484426851627
"8x, 4 bands",0.016896901439995254,35.409732079470245,0.9593225191848033,0.9954775196619658,2.1831672780473084,1.7743151664044128
"16x, 4 bands",0.01810541764728607,34.81029398205043,0.951562755994039,0.9950138846254672,2.233329409222544,1.992412284669617
"32x, 4 bands",0.022188368847304053,33.055243872690184,0.9347315842118135,0.9931430493230897,2.6049796527935922,2.47652371332225
"8x, 1 band",0.02696057433038401,31.36794948483015,0.9216030655703731,0.9921227383596061,2.749528011277138,2.5552288369019536
"8x, 3 bands",0.02122595354296513,33.43950023047006,0.940362781494253,0.9925581932429302,2.7110743037486276,2.259340559745358
"8x, 8 bands",0.013222263042416417,37.50836959124431,0.9701052429481445,0.9963992705933574,1.9286464628847755,1.463722025573309
"8x, 16 bands",0.013288967502943904,37.474247157326374,0.9684582308123006,0.9970165409676642,1.7922239067295263,1.4360669097890446
Sinc PSF,,,,,,
"4x, 4 bands",0.014146157937347446,36.93251015056448,0.9651810140696269,0.9960955934125492,2.0080384407096425,1.4894511347333355
"8x, 4 bands",0.017323533116089043,35.193902847684704,0.9550854549107529,0.9951404091189533,2.25982571452227,1.7601986594938772
"16x, 4 bands",0.018274021526251287,34.73179836161913,0.9499389102513148,0.9949330306190314,2.2491234767418695,1.9955168190907995
"32x, 4 bands",0.02272508456451065,32.84910253634898,0.9324643667455909,0.9928430875484047,2.6204828505335906,2.5753200517889576
"8x, 1 band",0.028551602159652325,30.87115608085827,0.909302277720542,0.9912267258102557,2.8892408161500445,2.6017270572241076
"8x, 3 bands",0.022116033289199262,33.08289198714197,0.9341135494312115,0.9922949707398343,2.708609818075384,2.2867729473296565
"8x, 8 bands",0.013261233721070104,37.48116057280812,0.9682134934567656,0.996361777790161,1.9398444303767497,1.446231938821316
"8x, 16 bands",0.013541875903152875,37.3143808882458,0.9672820779565905,0.9970101542995033,1.8041330589619808,1.436087186913143
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.015880815106325705,35.946891192686664,0.9655432229588092,0.9958241263719172,2.1013510221698173,1.584348609122729
"8x, 4 bands",0.01709930468925514,35.30720260971213,0.95909739544618,0.9955059970309431,2.1575331596438962,1.793031165390717
"16x, 4 bands",0.018554252664776897,34.598365244141426,0.9506782496821188,0.9949452088902325,2.2550982164821574,2.04029105697776
"32x, 4 bands",0.0226106141965367,32.890991974436425,0.9336538968767932,0.9933706471903918,2.5856395350445043,2.5378692707961314
"8x, 1 band",0.026558757804711005,31.497850957010726,0.9250819670373732,0.992232114546613,2.7276379805924953,2.546995043857503
"8x, 3 bands",0.020986560482711924,33.53580370900189,0.940911754234595,0.9927888098120271,2.6007660650912947,2.2606009430906373
"8x, 8 bands",0.01321703590582759,37.51213006339362,0.9701522149157532,0.9964389351914426,1.9153959281877613,1.465676313449579
"8x, 16 bands",0.013734707860934014,37.1936199632031,0.9680424664086923,0.9970073978950864,1.801593839769483,1.4516335512377385
Hermite PSF,,,,,,
"4x, 4 bands",0.016266511543994364,35.74002888005371,0.964086474115652,0.9958568536956748,2.1015519375195515,1.6276716452544737
"8x, 4 bands",0.016616191102135355,35.55319877338316,0.9587449766542667,0.9952260353714241,2.2042270249982425,1.7738091987973028
"16x, 4 bands",0.01896804216766138,34.410808454570464,0.9501023679501283,0.9948508474405775,2.2831480782418163,2.060489207013957
"32x, 4 bands",0.02385630050771238,32.422835407930954,0.9330640955405274,0.9932030051190172,2.566885531132666,2.7136915735237763
"8x, 1 band",0.026630775871889032,31.475022395184684,0.925515903834627,0.99192445247901,2.7822910613521135,2.549261812888301
"8x, 3 bands",0.02151959088464429,33.32028523429963,0.9401001083592331,0.9925039968695034,2.661947518113475,2.2937487049063554
"8x, 8 bands",0.013690180988721186,37.21287261529072,0.9699215802738722,0.9963621552249812,1.916364832782384,1.4624980343297016
"8x, 16 bands",0.013684705338507297,37.2259801781535,0.9681350120271431,0.996909776468189,1.8298219263026778,1.4460787931735197
Parabolic PSF,,,,,,
"4x, 4 bands",0.015016411912445486,36.42404122531018,0.9661296263254705,0.9959582379593943,2.0459760012558976,1.5632223004113506
"8x, 4 bands",0.01671851709210698,35.50088506791824,0.9593590353659457,0.9953240310212765,2.227709574796345,1.759688956627065
"16x, 4 bands",0.01852752459256486,34.61378973503449,0.9508604831619515,0.9949933737307984,2.2538243059543435,2.009868540640877
"32x, 4 bands",0.023782959535546357,32.45496575634527,0.9306050980263735,0.9928272866330201,2.673600873513588,2.683086563070007
"8x, 1 band",0.027237188467227447,31.279014595326416,0.9193769484550458,0.991885307871373,2.787967891062875,2.5659261938026625
"8x, 3 bands",0.021322291374119808,33.39968577530016,0.9414174067563373,0.992988133378175,2.5895483625771556,2.2510608763674216
"8x, 8 bands",0.012946701724027936,37.6864795928748,0.9702059557826852,0.9963975094962442,1.9166504798166846,1.452666617349703
"8x, 16 bands",0.013294761697988966,37.47326382717527,0.9686608873768419,0.9969517191874647,1.8406085365903304,1.42964002194518
Gabor PSF,,,,,,
"4x, 4 bands",0.01600655875649113,35.877823894767154,0.9641451878900384,0.9956829378491856,2.129005183513303,1.6215456058992068
"8x, 4 bands",0.017271210287907218,35.22166186329266,0.9588401923422464,0.9952908777710258,2.2019576856514376,1.7937790711048334
"16x, 4 bands",0.018268193959140915,34.7344646398109,0.9514654428739578,0.9951425667765822,2.2071370384031845,2.012430288466455
