Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.013397960243573535,37.40362688369701,0.9780005411154332,0.997826310536363,1.475589110484193,1.3570479176726382
"8x, 4 bands",0.014501548155051372,36.72060583695705,0.9759233069016471,0.9974999267814257,1.5436548119506037,1.4264343153469168
"16x, 4 bands",0.017733170544095726,34.9842359171621,0.9694636065931694,0.9969500591025994,1.6753201061951222,1.5010285188199186
"32x, 4 bands",0.02262010656881872,32.88128843111561,0.9564368093032812,0.9961486037390633,1.895435222624122,1.7388804651555039
"8x, 1 band",0.02607206442076669,31.65799523538704,0.9379661117161586,0.9928426410673573,2.5040907005680504,2.489671614031113
"8x, 3 bands",0.01700645794703341,35.34713572088363,0.9718570684270811,0.9981775444237285,1.37086522488329,1.6287277632548869
"8x, 8 bands",0.01246166560866655,38.01433966716171,0.9779372292215999,0.997270091329686,1.615447712878349,1.26669892238365
"8x, 16 bands",0.013132123788961909,37.576149917624406,0.9764679657071312,0.9973815994823383,1.7585758974085555,1.238930468147846
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.012715425693233216,37.845561274218824,0.9779322355651089,0.9977662881916889,1.4621497648617259,1.3331857980335524
"8x, 4 bands",0.013927032125032856,37.062769904843066,0.9769523492759421,0.9976449528644576,1.5026824591401615,1.3631382052564682
"16x, 4 bands",0.017810277041818003,34.94674988831732,0.9686632538389198,0.9971126837878665,1.667401528940403,1.4723951918804616
"32x, 4 bands",0.02434803404959122,32.24894012042797,0.9428219180950279,0.9953556203745026,2.136782107916747,1.7455071360325913
"8x, 1 band",0.0260474667625346,31.665609029911298,0.937974891611022,0.992848115327133,2.5030296516885158,2.4829393953870076
"8x, 3 bands",0.015867291858250223,35.94194718517684,0.9735771394307251,0.998231307078059,1.3668754733439978,1.5160751053963393
"8x, 8 bands",0.013494439821180846,37.3319713418169,0.9767534627075536,0.996961460848684,1.7558852726818452,1.3065047312579554
"8x, 16 bands",0.013077651939282247,37.60291187616943,0.974250179836315,0.9971186582245897,1.7480415754553829,1.2402147571552198
Airy PSF,,,,,,
"4x, 4 bands",0.013923106939580574,37.060581389862406,0.9765444312178237,0.99786912754644,1.4251387507119895,1.340442340418162
"8x, 4 bands",0.018504410202493708,34.61403094226706,0.9640506951035303,0.9966923390518069,1.7234228142336938,1.5774137259593446
"16x, 4 bands",0.026579662484732307,31.488004400233578,0.9243398132412612,0.9940821732661138,2.393246863510131,1.8877592724330354
"32x, 4 bands",0.029373931586262506,30.622678869542877,0.9186063223470342,0.9935892835078391,2.4531835817835743,2.0869824435873787
"8x, 1 band",0.02699684552650213,31.355833744642823,0.9323168134824958,0.9922701818820056,2.6045785371953483,2.4875497730767666
"8x, 3 bands",0.02057001992185668,33.699866271027894,0.9578247392951887,0.9969721562057043,1.759441476929906,1.6460685463404914
"8x, 8 bands",0.019802439445726447,34.029525808742804,0.9529124718964205,0.9957330576668568,1.9764699086462052,1.5119301410654937
"8x, 16 bands",0.019013426949822353,34.38238695363563,0.955439880094585,0.9960766166567881,1.909382366845667,1.469871436982142
Moffat PSF,,,,,,
"4x, 4 bands",0.012969665972986986,37.677342598927396,0.9785668160525376,0.998027430653869,1.3841323231541993,1.3223225956020588
"8x, 4 bands",0.014969393708010348,36.44059893749084,0.9748931937622705,0.9976301625688209,1.4932966030291692,1.4133836381120208
"16x, 4 bands",0.02149906210157372,33.323978923253755,0.9533094997893846,0.9959772623531059,1.935153742827534,1.6583776144419122
"32x, 4 bands",0.028163612037445974,30.993488998759652,0.9342780912729934,0.9952043356857514,2.2958114811044337,1.9317247732335843
"8x, 1 band",0.02604636541166482,31.66629040193602,0.9378561789147762,0.992824054917943,2.514128420312921,2.4632466793493917
"8x, 3 bands",0.017642417963435103,35.03205531980332,0.9702916897304997,0.9979070008734572,1.5292198354702233,1.6035634253618558
"8x, 8 bands",0.015502274559625938,36.13661427473312,0.9720615022510448,0.9973389271942467,1.6448012332321131,1.2945144408917038
"8x, 16 bands",0.014769631172293192,36.55292785768083,0.9711702684065123,0.9968708754335258,1.7338374276382664,1.2944245812154358
Sinc PSF,,,,,,
"4x, 4 bands",0.016231688079894523,35.74350659017463,0.9707727048932925,0.9975084645881995,1.5269127960838829,1.3970155166529084
"8x, 4 bands",0.029435418701296123,30.60391585587867,0.9129488942862328,0.9935938531457595,2.4283757965032184,1.9214829045731503
"16x, 4 bands",0.03341716092516786,29.50602645361469,0.8863145261155112,0.9909245277414165,2.8867446279920137,2.1834189516958467
"32x, 4 bands",0.03891202106290139,28.18598333642662,0.8418723836307019,0.9885081361711474,3.0997205059977344,2.4415324407608634
"8x, 1 band",0.03422927115433175,29.298086546765493,0.8957435923079111,0.9888356389833372,3.146318045320374,2.5703071198249914
"8x, 3 bands",0.030756912017480383,30.222162541819245,0.8979075347049461,0.993057255541394,2.5641779171825307,2.0396263941941535
"8x, 8 bands",0.03605574581854055,28.8473214965165,0.8732734027335771,0.9916216655361899,2.8232772137258686,2.0700666263341962
"8x, 16 bands",0.03066546082363998,30.250389375155837,0.8825509380598723,0.9918978531664531,2.6990961645451077,1.937755616827294
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.013266576832553802,37.48538511613771,0.9781349073854224,0.9979008874028882,1.4256529172962167,1.3573546358550541
"8x, 4 bands",0.014877089151037307,36.49978269608789,0.9757677792581976,0.9972568730939713,1.6439581884249481,1.4347770712529702
"16x, 4 bands",0.018478548021708244,34.62973882220694,0.9669645298718343,0.9970732355388178,1.6448632396113914,1.5310062190871045
"32x, 4 bands",0.022829975102420647,32.80296644515548,0.9556933150466703,0.9962986719187121,1.8826036842482619,1.7439920079756122
"8x, 1 band",0.0260707858453323,31.658153371858305,0.9378027631513985,0.9928291802363217,2.5071701090068252,2.486984361479536
"8x, 3 bands",0.016369305777535575,35.67565586606455,0.9718863596900684,0.998154404619061,1.3708416205693557,1.5795458121974464
"8x, 8 bands",0.012811875881329845,37.77625798504888,0.9756768735193312,0.9972402260374399,1.7232087234325844,1.2411837902437155
"8x, 16 bands",0.01344450235688973,37.36927202713204,0.9740559731964342,0.9972208429944512,1.6617910387233499,1.2862113854602013
Hermite PSF,,,,,,
"4x, 4 bands",0.013752235070673946,37.17656714324396,0.9771971632321361,0.9979243120517112,1.4120227137364265,1.4169626572371075
"8x, 4 bands",0.014090104839680229,36.96892647743623,0.9767995494289428,0.9977458615530936,1.4717141333674422,1.3944411756660482
"16x, 4 bands",0.01746132660660447,35.11755867361526,0.9710292830474145,0.9970186627781494,1.6682312843562075,1.4240680816863305
"32x, 4 bands",0.022265839717837035,33.021753074059546,0.9647306672172947,0.9961537232961108,1.9758845617072462,1.6846181340160433
"8x, 1 band",0.026156690757982493,31.629960711429096,0.9378044147204264,0.9928326125040428,2.504068293670033,2.496697957696352
"8x, 3 bands",0.015460275497491063,36.170697706817265,0.9746619321275571,0.9983971400850415,1.2807450544726544,1.5352736999361873
"8x, 8 bands",0.012967138875867913,37.68236037469543,0.9790586179461496,0.9974427843376159,1.8127627401854907,1.2496184335384464
"8x, 16 bands",0.012853453810602329,37.76063802292572,0.9789401930163735,0.9977545458574005,1.510795294501111,1.2333454011191853
Parabolic PSF,,,,,,
"4x, 4 bands",0.0127102636119115,37.847377371586404,0.9788576390311846,0.9979325981340077,1.400594011256834,1.303062849524798
"8x, 4 bands",0.016297706861420548,35.71131512776428,0.972018048791204,0.9974339188721346,1.5663303479646347,1.4767594693166881
"16x, 4 bands",0.02129930752252746,33.40274701307544,0.9554206083992108,0.9960687512650973,1.8702451601130397,1.6652681013756914
"32x, 4 bands",0.030400323122037082,30.328020635710313,0.9075510606345947,0.9927125014994713,2.67112072964142,2.04056960062985
"8x, 1 band",0.0263349270485338,31.57092286483905,0.9363182810034247,0.9926656555436097,2.539315366661243,2.4757901083167084
"8x, 3 bands",0.017238993314717663,35.228009357615676,0.9690513043183704,0.9978384620477064,1.4517167079878923,1.561743564456043
"8x, 8 bands",0.015482292798576467,36.14757641315815,0.9698742360495383,0.9969992301050432,1.7035889422566046,1.3274959302898144
"8x, 16 bands",0.015699279299589156,36.03087071306115,0.9666299231883295,0.9965480401547311,1.8277680153994884,1.3447823920271762
Gabor PSF,,,,,,
"4x, 4 bands",0.014838845081689964,36.52672824099797,0.9756820386440558,0.9976107665211181,1.5228360054269368,1.4890566913087673
"8x, 4 bands",0.014333488455516182,36.82023368050041,0.9764211399656215,0.9976536788891383,1.5067386948657142,1.4172472840264265
"16x, 4 bands",0.017009219656088002,35.34423543742137,0.9719909067514582,0.997231691942712,1.6351278885622267,1.435672679807888
"32x, 4 bands",0.021833107516065618,33.19313044661722,0.9609671367761742,0.9963816957365854,1.935724720502299,1.6849003062061296
"8x, 1 band",0.026133932313376147,31.637248969302668,0.937806061310256,0.9928189306319378,2.503144441962004,2.4920534290607437
"8x, 3 bands",0.015760774740895427,36.001308849116484,0.9738018134161304,0.9981814458148585,1.35707558411122,1.5388981825079369
"8x, 8 bands",0.013315572725753379,37.457804202104484,0.9781663320992732,0.9973488404886458,1.6978598759386037,1.2560831008661577
"8x, 16 bands",0.01376728197540857,37.17804332858976,0.9762080889419267,0.9972110086619499,1.7707161665153646,1.2307249563554277
Delta PSF,,,,,,
"4x, 4 bands",0.019834791130478646,34.01322051501505,0.9626491069458929,0.9972230758384957,1.6078473853346418,1.54805074271746
"8x, 4 bands",0.02645613323838792,31.525202788037202,0.9349326969159318,0.9953714700726429,2.048082993506447,1.7914790049018317
"16x, 4 bands",0.02991091446809187,30.46533442544056,0.9134511823981881,0.9933727356541822,2.4425948650681844,2.0882859425017934
"32x, 4 bands",0.03133462169006342,30.06510184974543,0.9086999884662638,0.9922665263078279,2.6605706779204428,2.267104350397547
"8x, 1 band",0.028618864514544835,30.850292996978396,0.923834819729854,0.9912926157603935,2.75722558648927,2.512138454088812
"8x, 3 bands",0.029091019750139602,30.70430147176723,0.9327047212391719,0.9956735642113798,2.060273132479326,1.8885248939503116
"8x, 8 bands",0.029078262167432117,30.708582235927455,0.9225347074921891,0.9951255224375928,2.1076674631946815,1.8412328775805549
"8x, 16 bands",0.02978602972424606,30.50007670424599,0.9124084202688231,0.9946534017615598,2.2920235487621268,1.838654481168875
