Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.012421208433218608,38.04901975336254,0.9797352307409894,0.998480959018721,1.6716058275388384,1.2854455504995137
"8x, 4 bands",0.012965109899500312,37.68536452656383,0.9790021526273798,0.9977917569800183,1.5225081668030744,1.3248916005036298
"16x, 4 bands",0.013357616590653171,37.42879559224351,0.9784189374409691,0.9978551021745724,1.45118140431957,1.3662154189209705
"32x, 4 bands",0.01551596284453603,36.14369015576861,0.9746004014567128,0.9974398823190717,1.5608087713482603,1.6005443750270043
"8x, 1 band",0.025895697979287684,31.71746843667714,0.9391753974749434,0.9929253767616677,2.490369801038116,2.4702433543804236
"8x, 3 bands",0.014088290058837393,36.9639624654172,0.9763449901831827,0.9984724698799886,1.398474343085768,1.4524246792426962
"8x, 8 bands",0.011216581589247711,38.917403569793166,0.9829353611851361,0.9985073345880631,1.358807352282849,1.1329467429618754
"8x, 16 bands",0.011074547402716246,39.03770756232907,0.9834425562356631,0.9985860952125557,1.2350766331585286,1.0962834614360104
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.013086701248397031,37.60735806247462,0.9795941998039657,0.9983294628648591,1.3895854112796997,1.2946119845307882
"8x, 4 bands",0.0125429221034524,37.96546629137258,0.9793484310510249,0.9980216668179316,1.3688987631564367,1.3044113849990524
"16x, 4 bands",0.01311936498239077,37.58171189818667,0.9788639704409553,0.9979591515147794,1.5111807693505426,1.3471412618900636
"32x, 4 bands",0.016136543494620004,35.80591000368449,0.9740999939046744,0.9970542014391048,1.8142686344486552,1.6532410987426511
"8x, 1 band",0.02587047344764123,31.726010657322593,0.93934931227175,0.9929699278676251,2.483478910699926,2.4666805569546155
"8x, 3 bands",0.014694831938536934,36.60486833553283,0.9762146441394438,0.9984145992479273,1.3822292940455327,1.4539620054144782
"8x, 8 bands",0.011003140344949239,39.083517573855595,0.9832175795324263,0.9986675600088727,1.2753679333364953,1.1253007730728692
"8x, 16 bands",0.01058746333349986,39.41837397120267,0.9836557431475281,0.9987241817644472,1.2478522076696088,1.0828228661292079
Airy PSF,,,,,,
"4x, 4 bands",0.012398177506803335,38.06558831230624,0.9802636784858629,0.9985497379782499,1.3477768558874625,1.2615723318030265
"8x, 4 bands",0.012651216412940399,37.89548950568709,0.9797066272843973,0.9983727472036741,1.339278422800701,1.2865501201543517
"16x, 4 bands",0.01313311575903721,37.57672520441285,0.979152134947695,0.9983595441759434,1.6030297386893928,1.3186945912140184
"32x, 4 bands",0.016013454285600963,35.87533336492203,0.9746690535303365,0.9972572730847414,1.6115783469326135,1.6439226930023438
"8x, 1 band",0.025690491924620303,31.786236972337058,0.9397725799456903,0.9930449815184261,2.4764001867914516,2.440378779121366
"8x, 3 bands",0.013889526481828618,37.08500262875689,0.9769382496002099,0.9984623890728166,1.4015722617337156,1.4100564822125783
"8x, 8 bands",0.01042642109491711,39.538402135120506,0.9836743938326682,0.9986432822693319,1.1939329776168268,1.1015021528487234
"8x, 16 bands",0.010357708049420596,39.601030483920184,0.9838460124626073,0.9987739987735769,1.2288560241883173,1.0742520459378997
Moffat PSF,,,,,,
"4x, 4 bands",0.01238633001954656,38.07488565096931,0.9798048747673423,0.9984142224302869,1.3538055390397217,1.2773198665430199
"8x, 4 bands",0.012741593080650277,37.8338696473321,0.9798657493734938,0.9982584929519112,1.392595764613953,1.2925541765999102
"16x, 4 bands",0.014553189126982368,36.7004541795225,0.9755512172293732,0.9924615195395364,2.6248566322509808,1.4517355771884655
"32x, 4 bands",0.015691855618272743,36.046527288581004,0.9735837086715954,0.997011051756993,1.973738025559012,1.6082327134332057
"8x, 1 band",0.02580826997393453,31.746838401651072,0.939531970242228,0.9929947891052682,2.481797194766654,2.4571014300870844
"8x, 3 bands",0.014200415575131091,36.89438706282627,0.9766136440643705,0.9984697465111939,1.4358126316528754,1.4244015870168976
