Botswana,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.012705093699485415,37.85245059728381,0.9795149556717692,0.9983022643050385,1.2889146387067958,1.3082932803251468
"8x, 4 bands",0.012703056172807974,37.85175987695098,0.9791465899229251,0.9982546849343792,1.303545448789083,1.3338665757947323
"16x, 4 bands",0.013220566824031374,37.509761129316736,0.9785675824604958,0.9982027631730083,1.3059625855475983,1.3835436088452928
"32x, 4 bands",0.016130546104166713,35.79954691721476,0.9730453841815551,0.9979567204569235,1.4000568786802208,1.7107645250456753
"8x, 1 band",0.02417740728001052,32.31297015868905,0.9349051256394769,0.9952058207544534,2.2431417585769236,2.1846240531975307
"8x, 3 bands",0.014154802173798855,36.92226902967653,0.9764632950346043,0.9984651462347391,1.2507631192052335,1.4587841189685071
"8x, 8 bands",0.011277170939363909,38.86343673082642,0.9821808455375883,0.9983719990960743,1.2551863848515354,1.1729298165894837
"8x, 16 bands",0.011334109125508942,38.83402569464365,0.9824096029379898,0.9984299317902737,1.2479338049406137,1.1519378705056842
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.012661039011118373,37.882204253672754,0.9795868757408255,0.998240025749456,1.3193849766281,1.2986481994434425
"8x, 4 bands",0.012545004708815333,37.95732132110381,0.9794787859928835,0.9983082445407271,1.281612596166508,1.3126087859418312
"16x, 4 bands",0.013010865305170014,37.64568369760345,0.9788272703043601,0.9982328775361718,1.3142010752730449,1.3536468036310894
"32x, 4 bands",0.01618659423191128,35.77268430140522,0.9732225232542726,0.998022201197322,1.4001281312635374,1.6959518724483276
"8x, 1 band",0.02417424162970123,32.31409419053007,0.9350254156265295,0.9953901488815506,2.2102281684760037,2.1708093552709453
"8x, 3 bands",0.014082793561711396,36.96650916913604,0.97644771734918,0.9985050643693463,1.2374491319746839,1.4529787783391135
"8x, 8 bands",0.0120472271048846,38.30433881321489,0.9822922569819662,0.9984044135418787,1.2551505544546313,1.1814477028147243
"8x, 16 bands",0.01146488920978396,38.737608945378554,0.9828103690840723,0.9985394619719845,1.2201137486312221,1.147846800636258
Airy PSF,,,,,,
"4x, 4 bands",0.012232765402998157,38.174963335040076,0.9799088698495635,0.9982428796997299,1.2751390409373669,1.2785872935208804
"8x, 4 bands",0.012353644103892943,38.09008507275757,0.9799096168406287,0.9982045569698828,1.3259386485838138,1.2819701581507408
"16x, 4 bands",0.012716785951119825,37.84310669367152,0.9791665469078275,0.9982216266191773,1.3036108858789288,1.3245792260708076
"32x, 4 bands",0.016001666243924566,35.870712821495644,0.9744469636905553,0.9979550165828938,1.4009569445072112,1.6856449035473666
"8x, 1 band",0.023642989509294936,32.506283719910826,0.9342671060622928,0.9953363164218088,2.2096935500307575,2.1503597688959273
"8x, 3 bands",0.013733875736127577,37.181625033868656,0.9767433985663658,0.998391101784267,1.274492914476722,1.4314681647652163
"8x, 8 bands",0.011099544550987335,38.99542521072366,0.9828932415642576,0.998326826778718,1.2717180608705416,1.1544018612487663
"8x, 16 bands",0.010584254347372838,39.409965795773736,0.9830743330645869,0.9984231693815417,1.2380819488824406,1.1262587071039636
Moffat PSF,,,,,,
"4x, 4 bands",0.012308697653372315,38.12098794853562,0.9801242246384649,0.9983283775969132,1.263159967377213,1.277893602433301
"8x, 4 bands",0.012422042425090709,38.039994610294706,0.9794417494335588,0.9981943884016601,1.3111434824719583,1.2979034953804995
"16x, 4 bands",0.012958879803100806,37.680732022136056,0.9791015986925561,0.9982713372028323,1.2960084652540715,1.340574248446508
"32x, 4 bands",0.017004816086212064,35.348419830563614,0.9714574294641011,0.9976643875823423,1.4913217535483647,1.763474375531133
"8x, 1 band",0.02371883682906157,32.478197681943286,0.9359865869960678,0.995253462880436,2.196822575392702,2.1550796430558177
"8x, 3 bands",0.014083832476659047,36.963021045680094,0.9762759084068828,0.9984054389867232,1.2396568649325987,1.4492389296034143
"8x, 8 bands",0.011320727568422341,38.832048046098095,0.98242755751194,0.998302441558389,1.2696439970758515,1.1681463362929476
"8x, 16 bands",0.010946389801077335,39.127171689354576,0.9826369026215047,0.9984026555798113,1.2402286172496944,1.138707580639958
Sinc PSF,,,,,,
"4x, 4 bands",0.011271312169407773,38.869224253959096,0.9807723434169653,0.9984418795476288,1.1924882107568888,1.2340956547108288
"8x, 4 bands",0.012084989676626766,38.276968895549466,0.979884373309961,0.998200475221262,1.3168546703618353,1.2701397368997498
"16x, 4 bands",0.012584931628594294,37.93063802030167,0.9793439591894696,0.9982296615427226,1.3068754545081873,1.3121638631504284
"32x, 4 bands",0.016105533338233793,35.816582023905575,0.973642922225582,0.9979137322796582,1.4438997208528737,1.6904812110882645
