Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.04198503781145624,27.526044419609647,0.9402133196158515,0.9645413774792846,8.214065391939213,8.151186175307298
"8x, 4 bands",0.040940075801142416,27.747433122138382,0.939707529981462,0.9638629435139091,7.970340782321679,8.257935201845427
"16x, 4 bands",0.04272228439199835,27.376802982637894,0.9378285945756222,0.9601131614001509,8.412759798229363,8.314475507794793
"32x, 4 bands",0.04727038941732261,26.501578531503505,0.9094635361472126,0.93497546834217,8.535458056629617,10.541006186644937
"8x, 1 band",0.06716240480243932,23.44666681490718,0.8185751819706607,0.9353498370424298,11.28265759045393,12.650462300479186
"8x, 3 bands",0.04212809106574767,27.498502766182845,0.9309403691208893,0.9605538688405588,8.087243893852794,8.679165774564808
"8x, 8 bands",0.04030659140345692,27.88099445890527,0.9523942398115698,0.9698331270149091,7.9017952921957155,7.558934495959969
"8x, 16 bands",0.04016821550661344,27.91387281860914,0.953188190098367,0.96756168118431,7.797264892850557,6.671984913362331
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.0408647532563786,27.762478457413252,0.9429908085103113,0.9652245772943331,7.984693977061082,8.03054283645007
"8x, 4 bands",0.04087646500220822,27.7595099570117,0.9414583514072685,0.9642123410756406,7.98453004725922,8.058778838478903
"16x, 4 bands",0.041760654049287714,27.574759760914162,0.9384410937347034,0.9608030359113422,8.042629220161096,8.234051737865185
"32x, 4 bands",0.0510201289477264,25.84381229191859,0.8879562548249751,0.9236124718148226,8.782106206662027,11.423028641530058
"8x, 1 band",0.06544610681111591,23.671491974837945,0.8242252979463345,0.9362592697779082,10.976760127429424,12.53710250459813
"8x, 3 bands",0.04228168933207539,27.4658500451981,0.9311402560543567,0.9608815314237169,8.17766784235955,8.75465302527179
"8x, 8 bands",0.0400117602291553,27.944749467541055,0.9529684495930213,0.9700903546251349,7.883262992331044,7.550495797240418
"8x, 16 bands",0.039812679179016285,27.989953681080678,0.9562463594994384,0.9698845296750267,7.782785633038079,6.665517577991975
Airy PSF,,,,,,
"4x, 4 bands",0.04067741301958011,27.8012356304456,0.9442353900643351,0.9658022162967238,7.923186453571235,7.952006760052325
"8x, 4 bands",0.04113983241822749,27.703747772587832,0.9424017499895954,0.9643564157777753,8.02546265152866,8.039800304096376
"16x, 4 bands",0.041760621908062255,27.574910249784068,0.9356392587685605,0.958271946634076,8.020831275282644,8.421374798494663
"32x, 4 bands",0.05103537374958742,25.838624405985332,0.8924346266558516,0.9234420421712056,8.931176490895066,11.181940039301532
"8x, 1 band",0.0650516973868358,23.723439431673953,0.8270396528545484,0.9364412663700841,10.912567465259096,12.672170349208779
"8x, 3 bands",0.04198096996597972,27.527447375875074,0.9297673467716666,0.9599440370568305,8.089633839737205,8.857312476044372
"8x, 8 bands",0.04020111049683001,27.90246202367275,0.9531301743747007,0.9700139573215503,7.859797447592522,7.490108387241043
"8x, 16 bands",0.04059452437907856,27.820012860274822,0.9509882657568046,0.967476626885452,7.7892366469636585,7.069856239120267
Moffat PSF,,,,,,
"4x, 4 bands",0.040834354475675544,27.768606373200527,0.942235453904295,0.9652005331193315,7.959158587710865,8.015458363668097
"8x, 4 bands",0.04104975533877596,27.72349461598771,0.9418827571409728,0.9647750469687949,7.966357523099135,8.193325027391692
"16x, 4 bands",0.04121115337966765,27.69086360914156,0.9368831241360865,0.9592097616918054,8.019857129833909,8.411283193995969
"32x, 4 bands",0.04914452608998167,26.16176384556463,0.9021224850102978,0.9285285966793605,8.670272984758855,11.034323429638278
"8x, 1 band",0.0655547989768336,23.657341162013136,0.8250922757759901,0.9365672981666429,10.961867089466848,12.550441010273518
"8x, 3 bands",0.04193140348667811,27.5378864897244,0.9318175266480938,0.9609804349928279,8.070281487936292,8.556403369517584
"8x, 8 bands",0.04073567594183346,27.78800471888486,0.9516794405867981,0.9698013259746356,8.023093405913523,7.562177982042079
"8x, 16 bands",0.03915150628868371,28.1356421733041,0.9565884762281452,0.97035737280125,7.660806308288184,6.729317948142241
Sinc PSF,,,,,,
"4x, 4 bands",0.04064845940786636,27.806892454687105,0.9474422234537272,0.9666811612172257,7.9374665703281595,7.428081731840865
"8x, 4 bands",0.04111052730082602,27.70922817544745,0.942777388760594,0.9650955675999555,8.046358641754729,7.871569329744378
"16x, 4 bands",0.0481639665538541,26.337197643049404,0.9222691513387079,0.9560386272169598,9.041484130593792,9.682410426839315
