Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.04718187045288052,26.50959277874035,0.9262144624956281,0.9571342282956042,8.874322641684714,8.858103070440801
"8x, 4 bands",0.05073461503279405,25.88182543184587,0.8837694805484854,0.9032743804103724,9.3278472645674,12.213354953034111
"16x, 4 bands",0.05239648834351097,25.602459973362222,0.870269057253456,0.8865548782064859,9.528089668794006,13.088776030086414
"32x, 4 bands",0.05762585992339879,24.781175410345092,0.8329962209951752,0.8465104527589656,9.660798646527793,16.674484471691475
"8x, 1 band",0.055514253449737636,25.098168636521294,0.8617632681896116,0.9348898575102268,9.65639159665867,11.076469965685488
"8x, 3 bands",0.05013833125445743,25.988027076186484,0.8959510584754097,0.9364892949205427,9.135899158407183,10.38742511428897
"8x, 8 bands",0.048739172546381326,26.229153508714873,0.9094503286222153,0.9395270441060756,9.081573394221513,10.05760979342104
"8x, 16 bands",0.049353418357999175,26.11825206170102,0.8994305284340566,0.921623376745194,9.172896065342915,11.09861343897467
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.047114402471935705,26.52181438462661,0.9288432759622173,0.9566528038098706,8.896499625335922,8.7310419150847
"8x, 4 bands",0.048523235817794864,26.2674886172492,0.9106326183927945,0.9426777748686432,9.047154408131174,9.952742483999248
"16x, 4 bands",0.05214664876276071,25.64412421689205,0.8621177351479115,0.8749818973811184,9.413917815477173,13.36994759745916
"32x, 4 bands",0.057201371103847355,24.844512681672406,0.8225309525218125,0.8314235345816556,9.672068455452967,17.02668146869589
"8x, 1 band",0.05676721969795178,24.91565025739508,0.8526432348134917,0.9194769785728958,9.889202457715324,11.949119693482059
"8x, 3 bands",0.049359780641290284,26.12337175844651,0.907811053204085,0.9418557151447241,9.168341377039656,10.174857674487125
"8x, 8 bands",0.048968761021692155,26.193616161564726,0.9099019553223952,0.9399114268227577,9.448887566711928,10.038964230760552
"8x, 16 bands",0.04894497094065163,26.19417946174739,0.9123030947865941,0.9410123931225439,9.166044777517838,10.236501839293783
Airy PSF,,,,,,
"4x, 4 bands",0.052268859432246746,25.628262421257997,0.8903428136148211,0.9317202426500042,9.342740603985941,11.098566481424125
"8x, 4 bands",0.0477763808108977,26.40401562965637,0.9058675188919572,0.9380424002588924,8.842496744928543,10.32531222775052
"16x, 4 bands",0.04984521530561151,26.03609142460275,0.8868607230895641,0.912302435810203,9.079521312072014,12.26467187181571
"32x, 4 bands",0.05745458822433501,24.80826005512739,0.8460890172392722,0.8580553933009554,9.70767033159619,16.58317508777216
"8x, 1 band",0.05361965164818973,25.404448320268138,0.8628672947901556,0.9349875512058543,9.335416130793545,11.12005340277934
"8x, 3 bands",0.04947746366970636,26.101897456133965,0.9021471094286533,0.9434445507818349,9.03894467213995,10.239017056455639
"8x, 8 bands",0.047628207591946144,26.43175422521056,0.9134157106898505,0.9432504420704307,8.946230259082641,9.878117544674982
"8x, 16 bands",0.04708602019657655,26.52836398063605,0.9112835034180743,0.9420717639403654,8.82330804302869,9.878792025855521
Moffat PSF,,,,,,
"4x, 4 bands",0.04844983324359181,26.27624511202827,0.9087921643616536,0.9367972593224206,8.84505434264547,10.454485619107446
"8x, 4 bands",0.049699684297887244,26.056475001963125,0.8888151012184551,0.9131767739289797,9.071284737100868,11.229003457777505
"16x, 4 bands",0.05186192272654547,25.690869256414572,0.8758840818298116,0.9007308417647192,9.362716993315018,12.523105739441482
"32x, 4 bands",0.05816642242995499,24.6988356882977,0.8493780384130761,0.866563755858513,9.73519090936759,16.6506317435625
