Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.046467176512598914,26.640850729140748,0.9396145373190108,0.9642938570950743,8.866359143399565,8.087429774499814
"8x, 4 bands",0.04757076456954787,26.440365104002524,0.9296063271814152,0.961245273917077,8.97970360324096,8.692102152852812
"16x, 4 bands",0.050085938783019694,25.987715473128475,0.9121279552952831,0.9549287155273892,9.218035850890926,9.573929947346587
"32x, 4 bands",0.054465593442699745,25.265283187468107,0.8633685829832998,0.936238370051007,9.589486483370631,11.52698668201859
"8x, 1 band",0.056379590114854654,24.962614492633186,0.8669554377301061,0.9500771670230512,9.97435254031335,10.44008075014789
"8x, 3 bands",0.048131195295686886,26.333891910072147,0.9259697465056763,0.9598556712432692,9.047823531308728,8.845897522393988
"8x, 8 bands",0.04685049602785325,26.57180384207338,0.9303449214746006,0.9619158889662061,8.868277766103098,8.692940558573431
"8x, 16 bands",0.04621578167474335,26.69626102276714,0.933063626523434,0.9600803070790285,8.751433201496798,8.508644125519915
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.046058716400194454,26.72066330571614,0.9380176170436285,0.963826554153327,8.782603368526678,8.113775521675846
"8x, 4 bands",0.04808280518430636,26.334792218204054,0.929108295003338,0.9586723502934408,9.056672660512762,8.76353141741916
"16x, 4 bands",0.050121609269614065,25.987456618794887,0.9078753985995722,0.955980955078196,9.196482913955407,9.620006403487492
"32x, 4 bands",0.05193877643895763,25.673987932836493,0.8831312215907104,0.9422313257456572,9.417255074382778,10.848117958711745
"8x, 1 band",0.05554040406706551,25.091561987289467,0.8714069639788236,0.9530972123728968,9.857097687456804,10.194766822144066
"8x, 3 bands",0.04854611957771218,26.26514424522419,0.9259956120694199,0.9604217057404145,9.12999352777531,8.81010989246406
"8x, 8 bands",0.046567907572312564,26.628106688433512,0.9389488585894102,0.9638386800414266,8.882715271977581,8.24237773846343
"8x, 16 bands",0.04655226521051592,26.624631274566536,0.9333879029412916,0.9593586550211545,8.807719343023887,8.53822567481524
Airy PSF,,,,,,
"4x, 4 bands",0.04681033437574823,26.568211408814946,0.9390199267842434,0.962662078357663,8.884358989948963,8.144866542777745
"8x, 4 bands",0.047262146651506916,26.49229792745864,0.936856475303913,0.9617564526647532,8.989529457542538,8.460693636225487
"16x, 4 bands",0.050131178067421546,25.985480152640843,0.9146805106938991,0.9566123094457527,9.270407549392134,9.454685943495566
"32x, 4 bands",0.0546260818224632,25.242559668398616,0.8567866352613891,0.9354134443648725,9.703750334120143,11.61820641970505
"8x, 1 band",0.055779242111514436,25.059306767922216,0.8724794540016281,0.9508840718294658,9.894551080325025,10.297904386158551
"8x, 3 bands",0.04840344777175788,26.29131151332708,0.9251434186052461,0.9595800437649306,9.091354641095446,8.79582455181498
"8x, 8 bands",0.04688743914066115,26.565347571766882,0.9327149327746876,0.9627292780444839,8.898382566554304,8.575046370857134
"8x, 16 bands",0.04693174964522857,26.546084468680966,0.9282414968389713,0.9545307268517939,8.82607737232746,8.7595246576973
Moffat PSF,,,,,,
"4x, 4 bands",0.04621834894489601,26.688183994846447,0.9380750334374975,0.9634548738421048,8.801723531158506,8.19650277290304
"8x, 4 bands",0.047802614411911123,26.39402765016291,0.9314342497309878,0.9604054280591857,9.012448186429161,8.770779955675835
"16x, 4 bands",0.05085709629768515,25.856898440011452,0.9032848990539987,0.9539514946788489,9.26181024773387,9.719590561586278
"32x, 4 bands",0.054725220239122484,25.226319402438733,0.8583569443808167,0.9332487212648135,9.654923243007149,11.626190910844795
"8x, 1 band",0.05683058229597253,24.89622366254679,0.86636716521535,0.9522097302546816,10.002893451434668,10.397034336677532
"8x, 3 bands",0.04772451426708146,26.41357459504846,0.9240237048101224,0.9599770097534627,9.007578957001217,8.824119464225403
"8x, 8 bands",0.047443330434684884,26.458999836239965,0.9311329319431946,0.960703656294405,8.980362688976772,8.689613402673988
"8x, 16 bands",0.04708914749401843,26.518728939385596,0.9301336089397868,0.9555989259324165,8.89235266019698,8.673436099624814
Sinc PSF,,,,,,
"4x, 4 bands",0.045669649446470936,26.796238960500713,0.9371931318131342,0.9619115193176918,8.73720402532943,8.105189120115494
"8x, 4 bands",0.04768016108004732,26.41365795127485,0.9297011779314246,0.9608613230979581,9.00917225730791,8.708261526655416
"16x, 4 bands",0.04954302422953915,26.089149853649086,0.9169108042944836,0.9575227365361183,9.159771948216745,9.39766923185159
"32x, 4 bands",0.05240874266163602,25.600730303161953,0.8767554723192897,0.9395425223334027,9.433849347350181,10.899613316185409
"8x, 1 band",0.05704977669039892,24.859833936404087,0.8671767698112682,0.9496534295709246,10.052230857583321,10.469499228676781
"8x, 3 bands",0.0480000672289316,26.36296115472959,0.9280475944708965,0.9600330940596542,9.065677755248682,8.691898954725003
"8x, 8 bands",0.04725030995520171,26.49753397004233,0.9311579139094817,0.9621337292568813,8.934217469974604,8.665351716968457
"8x, 16 bands",0.04685044880051884,26.572367275564694,0.9267259137171167,0.9578310339887944,8.817914370910751,8.83774739916687
Lorentzian_Squared PSF,,,,,,
