Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.03919262467393236,28.128221519385683,0.9535139939920309,0.971765213093886,7.621426518583372,7.243276449694183
"8x, 4 bands",0.0400921242482321,27.922983915141117,0.9493489427103211,0.9690757818600321,7.748327339655817,7.537661018016318
"16x, 4 bands",0.04146617884173587,27.633600626099295,0.9454693586584783,0.964693975483062,8.028355756328935,8.086782614075956
"32x, 4 bands",0.04390495583249978,27.13991564787201,0.936947452474106,0.9569987813630217,8.328815187553285,9.129665415424984
"8x, 1 band",0.051705318564830315,25.717767484556447,0.8828398514721553,0.9614780178107906,9.125048819300444,9.536616623910808
"8x, 3 bands",0.04092372639760769,27.744857061924222,0.9421572056841072,0.9681068574252533,7.849918267191031,7.798768050928504
"8x, 8 bands",0.03985858140410335,27.970275115796834,0.9545360244897203,0.9711848322288913,7.8528418845071934,7.38259267196858
"8x, 16 bands",0.04246565355066452,27.42397813472451,0.9459369404175834,0.9710671968426122,7.780848980768107,7.5066408601270584
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.039479425718661275,28.06199827966921,0.952963953232753,0.9711754554520318,7.651329158687386,7.3407142208462925
"8x, 4 bands",0.04063533252396534,27.81610058382428,0.9475222609139073,0.9678340805700468,7.832865284418343,7.745451594267385
"16x, 4 bands",0.04186730632577677,27.547494079286146,0.9445146705930216,0.96448042627679,8.04075079711419,8.041284162693563
"32x, 4 bands",0.04423732696954302,27.072527805347832,0.9375762317405084,0.9576499600355498,8.347834857945639,9.07890344951345
"8x, 1 band",0.05235259772360814,25.614050887891967,0.8785598159737424,0.961078676970341,9.148304614065484,9.568503362051011
"8x, 3 bands",0.042355656262426634,27.451647069526363,0.9365759423089428,0.9667003669613448,8.042454888872548,8.25336324396975
"8x, 8 bands",0.03990809204438565,27.969339912117515,0.9542492701258635,0.9711077684736327,7.837202785653736,7.485703769000031
"8x, 16 bands",0.04505804423773715,26.90456397449738,0.935395766025776,0.9679393768427094,7.708830454810212,7.865849900088138
Airy PSF,,,,,,
"4x, 4 bands",0.04447255274869881,27.030116854203172,0.9350108210398159,0.9694171864114463,7.994807456975182,8.151794062143429
"8x, 4 bands",0.0575363460512337,24.795786350343448,0.8686726627882968,0.9582049690176041,9.14595661700441,10.613605974880295
"16x, 4 bands",0.05091714790125224,25.854318979309568,0.9087297882313744,0.9560593116806082,9.093459572440656,9.989147392275417
"32x, 4 bands",0.04703106571795732,26.53557308911468,0.9304497518860068,0.9542798668287266,8.68283817916155,9.636892338663056
"8x, 1 band",0.06063873329896689,24.334388319115625,0.8263431302978002,0.9549523352336725,9.911902487429824,10.152108875682751
"8x, 3 bands",0.05575621096018116,25.067493390198976,0.8643208182659197,0.9571447242130212,9.326165530923664,10.299827084409909
"8x, 8 bands",0.05243070736828695,25.600301262101823,0.8871222443113411,0.9627328863073792,8.746842251448085,10.00136660070057
"8x, 16 bands",0.06508090274421881,23.727162049252513,0.8005348849727653,0.9561049207914405,9.016160555642962,9.712874778084863
Moffat PSF,,,,,,
"4x, 4 bands",0.04010649983650027,27.925834152837506,0.9512500541253833,0.9714613688687632,7.671857656337087,7.537626013296822
"8x, 4 bands",0.04618005707460453,26.699727683002447,0.9249912456127348,0.9649187663678878,8.24128212423609,9.15510616253599
"16x, 4 bands",0.044038432833184656,27.113309210781026,0.9359094651829317,0.9611876277261147,8.42329822306149,8.367938813523068
"32x, 4 bands",0.045433988800461164,26.836612393403847,0.9337569681841007,0.9551961045959353,8.490764848032462,9.381134197644636
"8x, 1 band",0.05623658506929213,24.988120863235196,0.8558830322980494,0.958121095256012,9.50443464785648,9.80640482725808
"8x, 3 bands",0.04617307727368359,26.703431424076726,0.9156350206607787,0.9639279845047359,8.462602980169079,9.098560733944748
"8x, 8 bands",0.04181082063314434,27.561082517773986,0.9441464112239611,0.9692986653593004,7.953162265795465,8.203557504542017
"8x, 16 bands",0.0547988698191604,25.216772552340977,0.8776483820756595,0.9625999658841689,8.524334758485018,8.75311537893489
Sinc PSF,,,,,,
"4x, 4 bands",0.044135460939667956,27.096793579035246,0.9375195615458416,0.9682402336584078,7.921376189240341,7.748753990731085
"8x, 4 bands",0.0713557506003246,22.927712703412155,0.798055964830604,0.9477461156198459,10.250747096420172,11.415996961779529
"16x, 4 bands",0.06861065181775065,23.266339452148976,0.8145388700032552,0.9411643308235506,10.333528963218546,12.400025730597852
"32x, 4 bands",0.051829669738655396,25.691586198743977,0.9221351021878945,0.9480484399170652,9.10690689129923,10.569949113252866
"8x, 1 band",0.07255576491366661,22.780301493410988,0.735946626637544,0.9474135221640044,10.687201401147856,9.81344504474507
"8x, 3 bands",0.06853088849066857,23.27974729976665,0.8108284714261779,0.9482772639985165,10.358204781980994,10.582820604743755
"8x, 8 bands",0.06486334232913166,23.755133034346862,0.816181682323484,0.9529119072336052,9.876241499945056,11.512082355475977
"8x, 16 bands",0.07270425683031191,22.76578072362277,0.7421419753363093,0.9467886210221447,9.954913106629993,10.655471619397888
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.039371337107192865,28.083075355827475,0.9532719193835572,0.9713366524877324,7.628882145699503,7.3396982302072535
"8x, 4 bands",0.040261625023526024,27.886388140512235,0.9488569475027233,0.9692703216073935,7.832582274952002,7.669726994486746
"16x, 4 bands",0.04184440468728415,27.550461281158086,0.9442298537727289,0.9642849574614837,8.10801925506671,8.068563084464946
