Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.04259653540649561,27.39558539909906,0.9489153124644593,0.9652111513538931,8.251201066911783,7.492881444044068
"8x, 4 bands",0.043596632594525696,27.192598468623746,0.9411786197169442,0.9564623072708927,8.387228219038873,8.279216363751894
"16x, 4 bands",0.04548076009503075,26.82942846121073,0.9292194465815911,0.9376874190558485,8.624824099604995,9.740700968763496
"32x, 4 bands",0.05009042617679302,25.994806124879048,0.8947974258799786,0.8893637359656682,8.996606395730854,13.265912717342463
"8x, 1 band",0.0623986095102522,24.08929187274596,0.7952092533711124,0.9199825676837647,10.448828315837263,12.51659656916246
"8x, 3 bands",0.044596705447589625,26.9976801788907,0.9351908491110111,0.95459363314427,8.51767298392032,8.521514763237159
"8x, 8 bands",0.04358924276193781,27.19217045713369,0.9447079145428184,0.956086114215209,8.432025447227296,8.109172827948903
"8x, 16 bands",0.04267976392360987,27.37865560156024,0.9468097639197958,0.9580470955050906,8.22426969106698,7.94846616074132
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.042835729395323686,27.342851369726397,0.9483635943978738,0.9639275447852621,8.293487481780387,7.477588650492409
"8x, 4 bands",0.043847498829724454,27.139548763906028,0.9414084073074133,0.9557442654672973,8.428238559779851,8.35555482678419
"16x, 4 bands",0.04576082456963454,26.76967346607765,0.9256080421461319,0.9318164242801008,8.665347875933557,9.887607238753068
"32x, 4 bands",0.04969085510326526,26.060931357234438,0.89153462309303,0.8849924897392684,8.990180768177517,13.337131953591832
"8x, 1 band",0.061897910706706784,24.15621499883708,0.8026346625551348,0.9247177546720633,10.419991522820412,12.242104926797987
"8x, 3 bands",0.044546048942744707,27.00611360147864,0.9339019689114959,0.9529810933615613,8.511157704292437,8.577395102157972
"8x, 8 bands",0.043591247400171285,27.19158537010625,0.9446734182578265,0.95675215699783,8.427848505286633,8.11307798860686
"8x, 16 bands",0.042573359160052004,27.398451589141565,0.9470725495737689,0.9582004520474295,8.193759943979103,7.895736246575175
Airy PSF,,,,,,
"4x, 4 bands",0.04173244446154298,27.571265254488686,0.9488344292576752,0.9625029210993713,8.087972902334307,7.454748497907887
"8x, 4 bands",0.043462203324238835,27.217885216567417,0.9405091574608107,0.954551413375911,8.348793414469716,8.364310275526499
"16x, 4 bands",0.0458825214535994,26.75282383299791,0.9283101970800199,0.9364707703423957,8.68001198692368,9.785738382376914
"32x, 4 bands",0.04973815246314153,26.058526115298065,0.8835155248742402,0.8737915913635397,8.973919347352446,13.56816395604116
"8x, 1 band",0.062120403603844576,24.128109800906724,0.7986204276807466,0.9283759315479849,10.423272586835205,12.190889607080292
"8x, 3 bands",0.044189650980883656,27.074430266485066,0.9331578263055202,0.9520928121552924,8.434349259883605,8.568258016595786
"8x, 8 bands",0.042984406798486016,27.31513625013421,0.9453917241317142,0.9578734183510207,8.317135554798522,8.153140463183568
"8x, 16 bands",0.04254200142413885,27.403490839598604,0.9461253990325157,0.9562839071039729,8.196553053247483,7.96937763865896
Moffat PSF,,,,,,
"4x, 4 bands",0.042045231121916674,27.50786012384829,0.949635740124923,0.9647698754814077,8.152315383570546,7.458536691576305
"8x, 4 bands",0.043487002169647175,27.214817850716013,0.9414051132220365,0.9561410865309796,8.369568924779609,8.272342632125923
"16x, 4 bands",0.04592445536858338,26.742655056560665,0.9214248494726092,0.9253011824545432,8.704777086881418,9.956145625753209
"32x, 4 bands",0.04989042244881558,26.025498122152655,0.8838275651141229,0.8746375141057176,8.997573951711129,13.676232916636394
"8x, 1 band",0.060753203547294514,24.31838288589201,0.8071057752761206,0.9229273225383161,10.309634284430595,12.292701260622149
"8x, 3 bands",0.04422380292013517,27.067720308939805,0.9349161684839878,0.9552679231503117,8.451376407726501,8.489504227918248
"8x, 8 bands",0.04318214934681862,27.272305529194846,0.9448988469706692,0.9566413767528809,8.346878297077684,8.078369528565792
"8x, 16 bands",0.042487909310446804,27.415726863079087,0.9473750847923367,0.9591455685599481,8.186680861676743,7.920844875737789
Sinc PSF,,,,,,
"4x, 4 bands",0.04169015686465353,27.58093454833609,0.9496018487924008,0.9650610459894675,8.036496074781454,7.475712909791595
"8x, 4 bands",0.04316474451114844,27.280460394421123,0.9403823972343883,0.9547688455125752,8.307547475121595,8.33893868408084
"16x, 4 bands",0.04516450314465573,26.8885901907897,0.9284908692304014,0.9365017988016701,8.567070771692508,9.682115874931357
"32x, 4 bands",0.049391817599223974,26.11696251656774,0.8818193133903652,0.8727143722566456,8.946568301789352,13.394317712417765
"8x, 1 band",0.061358117775519555,24.232928342707144,0.8045490040993606,0.9198222598871602,10.349958955458808,12.375466931663425
"8x, 3 bands",0.04456417050660287,27.005498188068735,0.9329293639029603,0.9518177859717576,8.52546158642014,8.639209167920233
"8x, 8 bands",0.04320818250540391,27.270570795678726,0.9454150203272722,0.9581257910712686,8.373476507232052,8.084755755439755
"8x, 16 bands",0.04265454166059227,27.381858205253472,0.9452242857092606,0.955301864095993,8.209990498952672,8.041108285322434
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.04258439608073492,27.39631257984535,0.9479529145470686,0.9645369198097467,8.264161853954871,7.512492624698467
"8x, 4 bands",0.04433444830348681,27.04606477430972,0.9405267244876157,0.9551750227174636,8.516935738007057,8.36198886498234
"16x, 4 bands",0.045769621526098384,26.770859541102446,0.9269709700972638,0.9338809856789947,8.685575109228827,9.79521185475572
"32x, 4 bands",0.04950165708800829,26.098174678160362,0.8959705143119986,0.890410284768176,8.942658439949701,13.121079409765988
"8x, 1 band",0.06149514913356902,24.216721137201983,0.8033353434418948,0.9275812821481282,10.362947911005383,12.245669431771088
"8x, 3 bands",0.044656969481847525,26.98445608272128,0.9339291077946672,0.9526672712771128,8.548310980893778,8.562557369959766
"8x, 8 bands",0.043179178261442984,27.27359659705142,0.9450606522071109,0.9570268568272791,8.355364017648931,8.093469369273398
"8x, 16 bands",0.04264207422851258,27.38762614546348,0.9471823215402844,0.9590936463082074,8.205565189045974,7.976256492926809
Hermite PSF,,,,,,
"4x, 4 bands",0.04341232125779081,27.227537794994987,0.9474857780046587,0.9637944086107649,8.404012201125823,7.589739502890373
"8x, 4 bands",0.043815399036517086,27.14945166472676,0.9406553548100356,0.9549785803745433,8.413607749058654,8.325709461432172
"16x, 4 bands",0.04565526218985899,26.79605471051707,0.9276291287046958,0.9352957311481479,8.654038142684849,9.756168785912635
"32x, 4 bands",0.04969948472965718,26.06465552358204,0.8969329892361043,0.8921297772026832,8.972947475793672,13.00117202379183
"8x, 1 band",0.061365329767856296,24.233674483382842,0.8076658721306015,0.9298456045796232,10.387293792655605,12.107685096384843
"8x, 3 bands",0.04481765848986115,26.955058828402045,0.9331008873070601,0.9520157737702875,8.563090476018887,8.668138434149823
"8x, 8 bands",0.04304432808718394,27.302424915558493,0.9455942458436525,0.9576276827326893,8.336287653139165,8.055911012801145
"8x, 16 bands",0.04268860211993004,27.378068728926998,0.9476463488593059,0.9595778237121476,8.220809754768045,7.888418552653153
Parabolic PSF,,,,,,
"4x, 4 bands",0.042099331023326206,27.495935512560578,0.9501264983415635,0.9656747922235237,8.175013088339178,7.377030336663251
