Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.04246980879570257,27.42689674517996,0.9398011225865002,0.9621243591909493,8.145251883525715,8.228509039353721
"8x, 4 bands",0.04343522542408468,27.231869750695004,0.9279656971213577,0.9551634670353331,8.28409745166266,8.8543908626269
"16x, 4 bands",0.04422891573381377,27.07343365611735,0.9143691720125243,0.9512799009696292,8.353307437627286,9.611034096239035
"32x, 4 bands",0.04941761956361697,26.11212869145312,0.884854434348124,0.9264623276478097,8.937817334790688,11.882883080232213
"8x, 1 band",0.061121248001575174,24.265563806728863,0.8039383368436339,0.9261047239960711,10.370750377585448,12.507635360971403
"8x, 3 bands",0.04433534308841912,27.05280238562728,0.915736582838933,0.9502473713498131,8.384920674841096,9.464138925306862
"8x, 8 bands",0.04162848306178699,27.599934732460355,0.9425592288816805,0.9653269967220026,8.09728237332689,8.112363380064945
"8x, 16 bands",0.03985895007566726,27.980042185111827,0.9434056264285239,0.9663433987391801,7.753967164980629,7.761311293520154
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.04254122006272181,27.412839421859797,0.9389642154533312,0.9606460605107842,8.156168301179578,8.253767932678073
"8x, 4 bands",0.04320622094377847,27.27717209871082,0.9295519306677427,0.9571133267192459,8.245221125898713,8.786161541686704
"16x, 4 bands",0.04459313524036832,27.00222492424917,0.9123111997209322,0.9500592768299053,8.450106621659419,9.607717185623347
"32x, 4 bands",0.04941352324332698,26.111924228820836,0.8800961081028672,0.9208679037338683,8.99441279824319,12.187776748366058
"8x, 1 band",0.06227392911074625,24.103405200080992,0.7964918739992487,0.9250467099924271,10.512214346619892,12.6984273039256
"8x, 3 bands",0.04426899378842225,27.06636690838195,0.9166378266525329,0.9513547025206303,8.382203981928253,9.377438211530015
"8x, 8 bands",0.041609441512083595,27.603829203790227,0.942487336749965,0.9651064532479818,8.091255164304773,8.11273135650648
"8x, 16 bands",0.03980932018384817,27.99095124835509,0.9435815352634439,0.9666400633882039,7.746047001650218,7.733396310382312
Airy PSF,,,,,,
"4x, 4 bands",0.04346455286095608,27.224951082963447,0.9347849156700466,0.9580583432624725,8.216076297759644,8.379889083249651
"8x, 4 bands",0.04396342748069234,27.12704327417134,0.9257262909872336,0.9544534919952817,8.308030182709036,8.858703273314116
"16x, 4 bands",0.044762241543236866,26.969263477581315,0.9115380355822906,0.9500759295146821,8.440049077270064,9.647407414890292
"32x, 4 bands",0.04932398711579644,26.126995558056286,0.8832686213441657,0.924758763072721,9.024442597274245,11.865011890268875
"8x, 1 band",0.07020251703563896,23.06261395524644,0.7783891397529082,0.9115408123755793,11.387261313251408,13.514210584239937
"8x, 3 bands",0.04536967097859004,26.853576678048384,0.9109478370814302,0.9481561710579569,8.467473952740319,9.581140919562827
"8x, 8 bands",0.04181147723148675,27.561107050977732,0.9417962335578072,0.9644340207940836,8.105169352411703,8.079945594716772
"8x, 16 bands",0.03984937157903213,27.98233585010172,0.9433190505602983,0.9665028585735175,7.724074020796744,7.680598094324467
Moffat PSF,,,,,,
"4x, 4 bands",0.042438024528798156,27.432585583232857,0.9400429214898203,0.9617443155031746,8.151483070548155,8.184825710743258
"8x, 4 bands",0.04340265623803236,27.23766690436849,0.9294528417218403,0.9572209034262668,8.275332851507537,8.807239505465363
"16x, 4 bands",0.04450127393413257,27.020231446737707,0.9131552719171093,0.9515653947167576,8.43027782354439,9.634113305444508
"32x, 4 bands",0.048968485528538525,26.19142940273148,0.8861257736375724,0.9245294472170774,8.842913518938248,11.880086117767094
"8x, 1 band",0.06679629064988797,23.495397325832297,0.7778803990070228,0.9191001348823093,10.957819254484491,13.182536598144118
"8x, 3 bands",0.04467703675828653,26.986691421784684,0.9137192454393624,0.9485806895970801,8.431167237594769,9.547279402978843
