Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.040916375533519275,27.75206038660512,0.9417962474690416,0.9645936885582038,7.973953229831418,8.041577007054226
"8x, 4 bands",0.04108103966100346,27.716956221869054,0.9433732360677535,0.9644056506873355,8.009870905707091,7.984857408639148
"16x, 4 bands",0.04136533832815122,27.65653834073516,0.9408307203926007,0.9601373700453254,8.037230668605076,8.139941122612518
"32x, 4 bands",0.046883307937159724,26.576115802617423,0.9084563661084514,0.9304957441300381,8.485716653837962,10.484561503343953
"8x, 1 band",0.06539353282175406,23.678701119853667,0.826805349313585,0.9362214039728041,10.988354812028177,12.477824146565235
"8x, 3 bands",0.042141635154395146,27.49527892599194,0.9333885239531202,0.9611603671465541,8.10728583130669,8.427442567798574
"8x, 8 bands",0.040263469701829244,27.891552851048445,0.9531992951464193,0.9694797176836332,7.951863932856577,7.469961890510444
"8x, 16 bands",0.039847040073421,27.98461863568406,0.9535368238546078,0.96751180256633,7.773087301232685,6.7954854057267395
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.04085780101171958,27.764020770996957,0.9442659658029874,0.9654133892777033,7.987256821213949,7.969662799056808
"8x, 4 bands",0.040955645406772816,27.743206527945084,0.9438629953669391,0.9648386961760067,8.002900537845624,7.929415055598862
"16x, 4 bands",0.04128047228050601,27.67619415342073,0.9424196687586824,0.9620264557523757,8.014539697561405,8.021955581116073
"32x, 4 bands",0.04672948742033367,26.602511318288084,0.9112156375880706,0.9338290525820105,8.491942879903142,10.45309311429041
"8x, 1 band",0.06530749590915026,23.690399256261973,0.8257368352111402,0.9363813340834536,10.95417016360697,12.52930584366056
"8x, 3 bands",0.04191695416425668,27.541478598188355,0.9337514093305562,0.9613101152187323,8.09162169757446,8.357477525035547
"8x, 8 bands",0.04020185540719159,27.90442160659545,0.9529446622615219,0.968945574351589,7.915488087251122,7.446756322805326
"8x, 16 bands",0.03977271882070243,28.000535059334698,0.9532579848757105,0.9674583413839802,7.777914951918244,6.751066978006854
Airy PSF,,,,,,
"4x, 4 bands",0.040784898117146536,27.77823062336383,0.9451083044754036,0.9658564665628669,7.945186123442399,7.668845046310168
"8x, 4 bands",0.04076467965157269,27.78342710535446,0.9444583589438085,0.9651866524161352,7.945458307926059,7.911238214670165
"16x, 4 bands",0.04130456642237655,27.67005581260282,0.9426311958514378,0.9620027261199625,8.058224068926318,8.06664209376088
"32x, 4 bands",0.04770121757256808,26.427142673683107,0.9058609642651718,0.9290665084586363,8.563598477664168,10.664526742690033
"8x, 1 band",0.06514929812257823,23.711179864030623,0.827308541171029,0.9363611317171503,10.93800024185431,12.643545880170901
"8x, 3 bands",0.04188893458634181,27.54678953049096,0.9342124930505755,0.9619943540856407,8.107356814731672,8.371631384543106
"8x, 8 bands",0.04007746993217735,27.93086394646716,0.9539811556101583,0.9697381005490399,7.8738824607742615,7.41779888204541
"8x, 16 bands",0.03974231270114129,28.00696520244877,0.9531501079057368,0.9674541609898095,7.74180931743411,6.7453992016562125
Moffat PSF,,,,,,
"4x, 4 bands",0.040861196399313016,27.762689682756495,0.9436704779775408,0.9651919297006608,7.979587575860335,7.7959847488417235
"8x, 4 bands",0.040832996203931674,27.76891256243389,0.943964778221659,0.9649677467348763,7.962252249378338,7.900545553524511
"16x, 4 bands",0.04138562570644993,27.653747964015718,0.9416765116305862,0.9611051719876322,8.060726710365213,8.160652817496937
"32x, 4 bands",0.04836437296917016,26.307602036713913,0.9050217145989282,0.9291596407173092,8.661803455071942,10.852815421313421
"8x, 1 band",0.06524781095277356,23.698076234644176,0.8270559316090417,0.9363019869368597,10.940074097147248,12.517151522032522
"8x, 3 bands",0.04185286794233131,27.554695242619033,0.9338556525912737,0.9619420191865092,8.072575189314076,8.472959802201183
"8x, 8 bands",0.04019963616405864,27.904520177646617,0.9538512807349161,0.9693051556948201,7.887599218832928,7.282391235523554
"8x, 16 bands",0.039753551140666955,28.004332455878224,0.9529469614231455,0.9671108764503686,7.753701312197403,6.7328295191492735
Sinc PSF,,,,,,
"4x, 4 bands",0.04100431413743994,27.73074707222387,0.9472552556525066,0.9664330019888038,7.996409501577902,7.448081379504308
"8x, 4 bands",0.04095075523610784,27.743681585951563,0.944659020194997,0.9650058149260109,7.9740779089109965,7.846050889231564
"16x, 4 bands",0.0411989544628041,27.692496535723727,0.9417734888108481,0.9615680830184575,7.988349760441893,8.076571481266786
"32x, 4 bands",0.04660519290684371,26.625807617413958,0.910100378858997,0.9310441228292187,8.499120428937426,10.487867314902237
"8x, 1 band",0.06511012529379628,23.715813624076713,0.8291913187155102,0.9367564845615923,10.983414122562847,12.53392049021855
"8x, 3 bands",0.041715143970047386,27.582590185034924,0.9335010163692398,0.9610441411758913,8.051692942990789,8.377514738739427
"8x, 8 bands",0.040108406058156125,27.923657268610988,0.9543543118574459,0.9696276156198103,7.877232864134108,7.369414675738686
"8x, 16 bands",0.03951859480848644,28.055980842915716,0.9558561939361302,0.9691867881000263,7.699529119372555,6.659152695459169
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.0409830523592825,27.73769135828762,0.9422303259940634,0.9647168270406268,7.996934209579046,7.92350267309857
"8x, 4 bands",0.04094764067806076,27.745169469943527,0.9432122586948818,0.9645126255472646,7.986253294197295,8.075073962291262
"16x, 4 bands",0.04145330820772668,27.63901442314589,0.9413898920873313,0.9608164546502582,8.02978619457714,8.145171339969457
"32x, 4 bands",0.047438176444960824,26.473855254413195,0.901802058647617,0.9256316620149366,8.586363305250815,10.820922706757692
"8x, 1 band",0.0654477637797805,23.6712653993511,0.827115601600665,0.936089481782951,10.992453722539212,12.38855357411317
"8x, 3 bands",0.04179614432747747,27.566434599324086,0.9328565492109111,0.961244341659619,8.067325965725365,8.457252928431094
"8x, 8 bands",0.04027694416286918,27.888873720997797,0.9530164134739034,0.9689967126914278,7.93590557358586,7.398487375940846
"8x, 16 bands",0.03982694853481051,27.98942066999187,0.9534355626225763,0.9675390070633622,7.768339243964896,6.718930511075121
Hermite PSF,,,,,,
"4x, 4 bands",0.04114202014576497,27.704466079904762,0.9416908534005728,0.9642417073540369,8.068949729185961,7.930944164199299
"8x, 4 bands",0.04112974034701532,27.706776834555626,0.942478272211942,0.9638706066620396,8.037703946189225,7.991994956321811
"16x, 4 bands",0.04154419929027985,27.620195572074294,0.9410790229085823,0.9607473434703561,8.079381036504847,8.179890045294277
"32x, 4 bands",0.04646341485129279,26.65381007192797,0.907356491994949,0.9275922860398524,8.460384331861773,10.506363467174632
"8x, 1 band",0.06520851542937928,23.70356920404921,0.8272784905394075,0.9362846781196417,10.980813248162528,12.491048246572026
"8x, 3 bands",0.042135598622228876,27.495926231144917,0.93260746453332,0.960776724748363,8.119559657160618,8.38317184291949
"8x, 8 bands",0.04024096651788021,27.895951917617975,0.9525478153034634,0.968807409327026,7.900314937591718,7.521656177243686
"8x, 16 bands",0.04004743742578087,27.94175016189535,0.951555996851379,0.9657982615044876,7.750207526328203,6.863286986070164
Parabolic PSF,,,,,,
"4x, 4 bands",0.04079674809871997,27.776067333489053,0.9447525766385586,0.9661557565517233,7.960077342280224,7.737235730469505
"8x, 4 bands",0.04093463195636473,27.74768829967609,0.9432738627456548,0.964217917088287,7.975083932435069,7.91760565852391
"16x, 4 bands",0.04123631306347798,27.684858575276373,0.9420688835488101,0.9618215312301122,8.027117800496969,8.095748091135244
"32x, 4 bands",0.04950579622549566,26.10536962002673,0.9049396861356818,0.9305264138505255,8.83799590450698,10.474270115812034
"8x, 1 band",0.06527425268484498,23.694561217785534,0.8272753069562616,0.9365334839715463,10.969490326237016,12.634065577602923
"8x, 3 bands",0.041717088150766815,27.58234395849922,0.9338487928461858,0.961434403195268,8.051338649725768,8.415001378225394
"8x, 8 bands",0.04008709868384367,27.928395681897893,0.9540530109241547,0.9695882561592711,7.862737220337994,7.404582466001436
"8x, 16 bands",0.03988662415001691,27.975943481163426,0.9533859121596412,0.9675692036640441,7.772595650424901,6.737360495889931
Gabor PSF,,,,,,
"4x, 4 bands",0.04100963181875175,27.731888357196233,0.9423905928633626,0.9646094831143815,8.022348293819901,7.980056639426275
"8x, 4 bands",0.04108087365942734,27.71635590797124,0.9429907115368317,0.9642092315027342,8.016437870042761,7.886819434613724
"16x, 4 bands",0.04149247440346985,27.63108166917764,0.9412730132304546,0.9608296186197278,8.064035045117533,8.165090732910151
"32x, 4 bands",0.048016580363274254,26.368900688548283,0.9050499991756159,0.927029819222427,8.777112212861955,10.638942561606457
"8x, 1 band",0.06561722307399076,23.649237802267304,0.8271529008867369,0.9356874518307392,11.051670537443679,12.451745630540481
"8x, 3 bands",0.042133504506412435,27.49670927651929,0.9337644072018404,0.9613105261692713,8.138759536606253,8.425515600678983
"8x, 8 bands",0.040353431603779785,27.871825647344224,0.9528386901495558,0.9688183632737918,7.943011328770513,7.377383798952799
"8x, 16 bands",0.04003272679669709,27.94526868120733,0.9512363380554373,0.9659892487655702,7.828179285009491,6.832026917786307
Delta PSF,,,,,,
"4x, 4 bands",0.040795659704027966,27.77515347168583,0.9466448307848503,0.9669699160851983,7.956231855992272,7.496445095243522
"8x, 4 bands",0.04087029515360292,27.760964415323993,0.9449333165860829,0.9657700471347337,7.968767328099373,7.941851976303809
"16x, 4 bands",0.04127980786804757,27.674941023459127,0.9418729605038867,0.9618260564807531,8.02144532983467,8.171362554115516
"32x, 4 bands",0.046025969929513376,26.73534681541799,0.9048358710302903,0.9282478941043117,8.461494125669317,10.734560941118405
"8x, 1 band",0.06497738422119481,23.73384729615337,0.8288790526581525,0.9367955357364365,10.928813500085715,12.543078920121891
"8x, 3 bands",0.041682317533331015,27.590171647765946,0.9344268639590806,0.9622353057425944,8.050789868662951,8.447724814538926
"8x, 8 bands",0.04003464171739213,27.939821329858173,0.9540981547505649,0.9694688528530616,7.863852666401258,7.365611114144635
"8x, 16 bands",0.039646842043418874,28.027627636086052,0.9551523435574786,0.9686773500175804,7.735730243861309,6.767075233874071
