Kennedy Space Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.040995539050650884,27.73494041376094,0.9439197923190263,0.9643877113398986,7.983384787400781,7.931540098204382
"8x, 4 bands",0.04088626436114774,27.75825465437304,0.9441237244696382,0.9643693434699755,7.960931084800647,7.911547280730108
"16x, 4 bands",0.04136986518245466,27.65576543010247,0.9426570826435084,0.9612750787090857,8.029542360573034,8.097190968597408
"32x, 4 bands",0.0439342186577023,27.133173249095243,0.9340106703582158,0.9518854050412293,8.375118830555639,8.880264472976554
"8x, 1 band",0.05458453025174628,25.25039569758213,0.8622035750493432,0.9493800097029244,9.533224052909691,10.226872980111358
"8x, 3 bands",0.04197611877994664,27.528636201856035,0.9337919135208911,0.9617732795752105,8.09669101718482,8.385633272341632
"8x, 8 bands",0.04029149960701431,27.885248572599938,0.9542411790384077,0.9697988865629832,7.930114586926358,7.471023131152735
"8x, 16 bands",0.040568583175408304,27.828983880769158,0.9539936099048124,0.9677920625385742,8.349212844488603,6.815117503835472
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.040875669012808966,27.759793433558123,0.944358775576175,0.9652927962284049,7.953062789796769,7.857861993853808
"8x, 4 bands",0.0409795491670556,27.738136725413398,0.9446011233124054,0.9648389047547106,7.97205996111895,7.9949046169082365
"16x, 4 bands",0.04144044098103084,27.641171654109897,0.9430665302844567,0.9617961902378996,8.058156232874362,8.032848879068597
"32x, 4 bands",0.043947879868017375,27.131372598650035,0.9329634477130981,0.9498449068609086,8.374411910508407,9.020353360400808
"8x, 1 band",0.054286042415403975,25.297950403947436,0.8624267119823837,0.9498460842571952,9.498407070439177,10.1423835400783
"8x, 3 bands",0.041986691694274755,27.526328168674272,0.9332792293031758,0.9610114929364002,8.083751971935198,8.45287136207853
"8x, 8 bands",0.04019463557605331,27.906525763114605,0.9538928229275382,0.9694153445560019,7.88858628516879,7.4935209205051105
"8x, 16 bands",0.04071399637003264,27.79842898501608,0.9525284859294051,0.9663730504776352,8.550655109223507,6.787659289598374
Airy PSF,,,,,,
"4x, 4 bands",0.040560988621042175,27.82638568124836,0.9458620893260609,0.9654854085700145,7.916317082649357,7.689729203471128
"8x, 4 bands",0.040700459313346454,27.797390085058762,0.9448202865679053,0.9649511076906994,7.9178949737094815,7.916164488609037
"16x, 4 bands",0.041562578431721856,27.61553460962693,0.9431391190997729,0.9615288974727754,8.083571766719114,8.14271930205742
"32x, 4 bands",0.04377514402242376,27.16597159578044,0.9312896731786818,0.9476554700506443,8.347624521525619,9.098816866038623
