Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.016336380157227583,35.686635743156636,0.9788362118399331,0.9970921360018133,1.643264206706184,3.207290134933557
"8x, 4 bands",0.016065706246145294,35.83277898113356,0.9788766260775721,0.9970903131719506,1.641100452925606,3.2146283194230896
"16x, 4 bands",0.016950451820182833,35.37114027160413,0.9780519308006342,0.996670320869162,1.6909447435554843,3.4231157884129093
"32x, 4 bands",0.028620041508395547,30.845521511036512,0.9665518173394115,0.9929541851079925,2.5206405583898808,4.924366608545971
"8x, 1 band",0.10533500167626417,19.54255931683074,0.7958934031242955,0.9275869919148427,7.64169982799094,15.529828436614672
"8x, 3 bands",0.018232083405478917,34.74388472159329,0.9756305524884719,0.9960795167071851,1.8588038668487552,3.577052457492541
"8x, 8 bands",0.014178547062223911,36.88941016936794,0.9836929927922771,0.9978396750401636,1.4319389417220685,2.867741154168125
"8x, 16 bands",0.012057199605861203,38.28333725407704,0.9894312124716791,0.9985220121645436,1.1808313425023205,2.39517231832599
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.015890859596447683,35.92673295994368,0.9789450501523767,0.9971373709281907,1.628396833104371,3.189891081796596
"8x, 4 bands",0.01617351844666851,35.77023104533812,0.9789308384543219,0.9971072081751464,1.6409240297817378,3.223280248110792
"16x, 4 bands",0.01791385979809399,34.88797758669871,0.9780449412808112,0.9967796685208938,1.7258842561297092,3.35930816118665
"32x, 4 bands",0.023894138582741444,32.405053007652086,0.9699774729884434,0.9928084939691257,2.184101394107828,4.729671212481111
"8x, 1 band",0.10547301840103084,19.531185394337832,0.7963901389943808,0.9277414075900488,7.633050169002047,15.439447958422479
"8x, 3 bands",0.019167260602293915,34.307352873493954,0.9749441233439253,0.9959784649001433,1.8939015731553852,3.6360085159739755
"8x, 8 bands",0.014036437513362005,36.9866430308644,0.9836750083945877,0.9978398646572012,1.4266624342135312,2.8733754199031507
"8x, 16 bands",0.01199157196400061,38.33065803802482,0.9899889868855916,0.9985838867741033,1.1491059485163628,2.3651017701747743
Airy PSF,,,,,,
"4x, 4 bands",0.015469650289736457,36.158790579184355,0.9792168283851891,0.9972107616683995,1.6036051419072532,3.125449100751172
"8x, 4 bands",0.015780294301139967,35.985653337245054,0.9789765421835399,0.9971422630736416,1.6221539272070868,3.175365617309506
"16x, 4 bands",0.017908290072398077,34.883432262267014,0.9780246370700956,0.9968383738136435,1.7525411059384532,3.3124033311654686
"32x, 4 bands",0.04056860077428084,27.827684339090805,0.9391619408346669,0.9800517415668402,3.329913608664165,7.049672176349233
"8x, 1 band",0.10458629036062952,19.604344202715872,0.8043738910620322,0.9293285985387266,7.5305545181511615,14.763870532521931
"8x, 3 bands",0.01778452243426323,34.95766802285386,0.9756075362047575,0.9962348683893699,1.8254939631263873,3.5030036019360824
"8x, 8 bands",0.013544753413847387,37.297019209210774,0.983850155281187,0.997883900703379,1.3966234590413829,2.8299917658425224
"8x, 16 bands",0.011662580082412171,38.572319313704455,0.9898792129859103,0.9985970432975801,1.1412124820445921,2.329107740465865
Moffat PSF,,,,,,
"4x, 4 bands",0.015688938027665127,36.03635317579676,0.979167270269682,0.9971756218775292,1.6153563011451246,3.158855342538293
"8x, 4 bands",0.01605412531197879,35.8384910018588,0.9789048936428891,0.997125905638342,1.643033116181727,3.2004418030735615
"16x, 4 bands",0.017267447740846268,35.203545899152495,0.9782853501881658,0.9968776886273945,1.6914192219983557,3.3299571307758127
"32x, 4 bands",0.0361591815505246,28.821655417650174,0.9541242141408289,0.9863797479481552,3.027970837220944,5.733871237465773
"8x, 1 band",0.10494808481207926,19.574455191377126,0.7998274773054798,0.9286199262084134,7.574519168639526,14.995400285007024
"8x, 3 bands",0.018059171577344397,34.82476813820445,0.9757015779620728,0.9961320913740399,1.845655166638176,3.5302383409212736
"8x, 8 bands",0.013486278443558255,37.33476172624825,0.9838366267455566,0.9978646137885484,1.386653360746159,2.8442013340804992
"8x, 16 bands",0.011490355244528993,38.69705377103519,0.9900084481925695,0.9986101461340694,1.1141823008581488,2.332276734797339
Sinc PSF,,,,,,
"4x, 4 bands",0.015401222996916502,36.19700544388957,0.9792357092936529,0.9972174989302355,1.5972992437909137,3.1115229853637505
"8x, 4 bands",0.01567852433675831,36.04259405813221,0.9791074205929207,0.9971570081895452,1.615567601660839,3.156091677245376
"16x, 4 bands",0.018090056735833228,34.80423209710148,0.9778530889672666,0.9967947872127535,1.8069099062653864,3.351167642913053
"32x, 4 bands",0.03200548933974494,29.871627107713444,0.9620239762916386,0.9904518506231287,2.668444686523036,5.432170682768908
"8x, 1 band",0.1036787605563995,19.68011881169083,0.8126116694139196,0.9297497278354692,7.469871038166846,14.672199148576606
"8x, 3 bands",0.017648797354930298,35.02396979085945,0.9758691617970036,0.9962928381016509,1.8228550043493779,3.454089202195036
"8x, 8 bands",0.013427420925595034,37.370276685686704,0.9839108266971812,0.997902560218366,1.383524376430842,2.8084141310373942
"8x, 16 bands",0.013654862370193602,37.22837814054774,0.9819069522681271,0.9977812164743701,1.4630218933980814,2.8235099163201802
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.015865525828789223,35.93987951669455,0.9790384837058451,0.9971576779682979,1.6229525046105555,3.176789071421219
"8x, 4 bands",0.016756562085241563,35.46040415284304,0.9786181508908566,0.9970214835720301,1.7097005133234682,3.230676275764858
"16x, 4 bands",0.01694994778627961,35.36713753918436,0.9783846706140334,0.996709069604223,1.7124134640842437,3.369473617105745
"32x, 4 bands",0.02466999742752885,32.12632929054917,0.9709484384549154,0.9940150936110753,2.318691384413243,4.563462827897082
"8x, 1 band",0.10541691337665067,19.535746513335404,0.7963470418781399,0.9276363120749572,7.625474608930855,15.480106367004272
"8x, 3 bands",0.017839722661197523,34.932239184588994,0.9758816649843888,0.9961662350519896,1.8326080778921578,3.5276849173887466
"8x, 8 bands",0.01366541220952565,37.21757296593341,0.9837481122248352,0.9978654969861673,1.3951960889894859,2.8591470686449565
"8x, 16 bands",0.011875973893169672,38.414198523735685,0.9904245259537686,0.9986606794928714,1.1154498258527195,2.331560632151546
Hermite PSF,,,,,,
"4x, 4 bands",0.016064013835121998,35.83166797775678,0.9788959682253879,0.9970623445150879,1.6431568121641413,3.2320245977957005
"8x, 4 bands",0.018062620208820615,34.8140984362835,0.9780494789766883,0.9969331426193734,1.759890681314179,3.2549418034517976
"16x, 4 bands",0.01684339764500495,35.42469036872501,0.9781543006003617,0.9967738818424912,1.6995023041144377,3.408000152892848
"32x, 4 bands",0.03211970336284003,29.84399722432848,0.9624354743593975,0.9906841314356228,2.8722042335322975,5.439939596062975
"8x, 1 band",0.10555045979460843,19.524822483180827,0.7944851338584417,0.9269776183404996,7.693168146162491,15.747597065469481
"8x, 3 bands",0.018175009397679995,34.76980797311402,0.9756286330675843,0.9960379302538194,1.8602266081027545,3.602269089021405
"8x, 8 bands",0.014109670868598543,36.94488244037599,0.983484895303934,0.997787741169951,1.430272764435194,2.926121769211986
"8x, 16 bands",0.01218158176326637,38.191182978670405,0.9893009976180167,0.9984477926311903,1.1766490421011542,2.4216787883909285
Parabolic PSF,,,,,,
"4x, 4 bands",0.015529325663756081,36.125552170052856,0.9792174342000941,0.9972185856176017,1.606458926432191,3.128910299113076
"8x, 4 bands",0.01590670328317468,35.918582915636115,0.9790564120199777,0.9971136654835302,1.6279442636161008,3.187556010874098
"16x, 4 bands",0.016957573575686686,35.3625412960516,0.9783346133675087,0.9968774675619724,1.708969044741901,3.3425417543215614
"32x, 4 bands",0.032794308007356374,29.670304432460984,0.9605662108947209,0.9898982395570084,2.884256093696735,5.849379127840797
"8x, 1 band",0.10493407383418446,19.57565403284426,0.8019603704494597,0.928810458735108,7.563150687863023,14.954743583972522
"8x, 3 bands",0.01811018005566196,34.79813134755297,0.9755481864011614,0.9962031037953311,1.8385943806370955,3.514636481309672
"8x, 8 bands",0.013651118394883253,37.229003857402795,0.9838252080850978,0.9978621440272535,1.4011526466747497,2.8443712350361032
"8x, 16 bands",0.01148082098973192,38.70397493427705,0.990528712516703,0.9986932512684825,1.0902576428834703,2.3017154802429403
Gabor PSF,,,,,,
"4x, 4 bands",0.016309984265826003,35.69937720678391,0.9787948135428381,0.9970859885688995,1.642985135974364,3.204542051009685
"8x, 4 bands",0.019250259225472306,34.274548861518674,0.9721165755454797,0.9945746962807673,2.1071961897664098,3.80659334426869
"16x, 4 bands",0.017593282888546825,35.04599814824849,0.9779900226260295,0.996758138606144,1.7344382949744042,3.422535862663693
"32x, 4 bands",0.0265643783380942,31.49049651523765,0.9681687669975384,0.9922573459245958,2.4358651296274183,5.016686433575625
"8x, 1 band",0.10545323970422793,19.532666759575022,0.7938657311036754,0.9270886116751211,7.673347041794067,15.750042273192346
"8x, 3 bands",0.018317709891102762,34.701099394826855,0.975532330222531,0.9960566908478266,1.872745076841793,3.5901506258865097
"8x, 8 bands",0.014013861901180093,37.001813555760414,0.9836224738955229,0.9977847729173769,1.4381617142231697,2.8987542684248027
"8x, 16 bands",0.012183558386504747,38.19684575210147,0.9895786212244295,0.9985100428046028,1.1460167098348388,2.437891736489835
