Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.018273275930953035,34.72513110037303,0.9738604802870845,0.996479810726784,1.870591400552114,3.4871944887718533
"8x, 4 bands",0.020200361043007337,33.86106136293442,0.9705334842609784,0.9950397237635039,2.021321109258717,4.074377313981387
"16x, 4 bands",0.02479464832927781,32.09087600164992,0.9675508992782489,0.9909530877762583,2.3136565643973417,5.2224181346787555
"32x, 4 bands",0.03670160918803591,28.698804481095117,0.9592449053871268,0.9766231258723654,3.2142289860608395,7.962988850464059
"8x, 1 band",0.0473401343164454,26.486264762481767,0.9185187425579725,0.9860324228020975,3.662971224055727,6.410592720052296
"8x, 3 bands",0.02050097526676681,33.733433396278755,0.9698969081032681,0.9949606618980302,2.0584290523682416,4.10194822633979
"8x, 8 bands",0.01839733898458944,34.66734349792576,0.9731584264816032,0.9955402300661556,1.8587891564807109,3.8539299703114636
"8x, 16 bands",0.0177930248342466,34.955174401987904,0.9742557015012924,0.9958012727025363,1.810837247543895,3.7635802279705346
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01745159896761042,35.121702009023075,0.9743481552459937,0.996570108586992,1.8154308971907074,3.399220158158208
"8x, 4 bands",0.01911181194082056,34.33914104627825,0.9720072623252554,0.9953743245269125,1.9336786767119467,3.939088341996359
"16x, 4 bands",0.02415225920301345,32.31892959622015,0.9683790261810558,0.99139199110085,2.260298904491849,5.1598412221635686
"32x, 4 bands",0.03557370337541559,28.96787163298381,0.9608768983221712,0.9804721872246145,3.063489936039482,7.674705348618039
"8x, 1 band",0.048075145153776457,26.352669075702764,0.9173342221237529,0.9858623881362426,3.6920440890642725,6.450350397437294
"8x, 3 bands",0.019950834716411785,33.96799876464599,0.9706338207370502,0.9950051964614927,1.9982898923660957,4.047082170510723
"8x, 8 bands",0.018886350292506723,34.44028209348085,0.9727683545462076,0.9950905680559146,1.9044836987899252,3.888779303004161
"8x, 16 bands",0.018168877239572882,34.77466132611064,0.9737878673585934,0.995569680097493,1.8404312336635205,3.8087559529146455
Airy PSF,,,,,,
"4x, 4 bands",0.015480640576139784,36.15217062856842,0.977129352619275,0.9970893912711528,1.6550377976978194,3.1909139026248052
"8x, 4 bands",0.01992532014665364,33.97935940444787,0.971360374896627,0.9952337279459919,1.9897824573313283,4.05514606259957
"16x, 4 bands",0.024350227873914162,32.24743682647079,0.9684592316413214,0.991583715219668,2.276358117004816,5.160815377893941
"32x, 4 bands",0.03597709263912929,28.870440181901714,0.9602220977304251,0.9786717530913503,3.114984230253227,7.787733026550702
"8x, 1 band",0.04624780501350509,26.68907707207888,0.922201399558806,0.9867620867356347,3.558581512321747,6.31083780722426
"8x, 3 bands",0.022162783905550133,33.06100756759396,0.9672575363901322,0.9943944283224507,2.1730902671347043,4.335599179448994
"8x, 8 bands",0.018314310516479464,34.70640039598064,0.9730903837525309,0.9955540611871121,1.86585556803288,3.8668001811418833
"8x, 16 bands",0.017957951659115918,34.87587608180084,0.9740221932757782,0.9957353107420147,1.8346672398434947,3.7768239647711894
Moffat PSF,,,,,,
"4x, 4 bands",0.016568658348530853,35.568292109203476,0.9757277791726917,0.9968402997520595,1.7379089217956132,3.286852447254097
"8x, 4 bands",0.019930480134926046,33.976955806701866,0.9710705886305068,0.9952108462791314,1.9865238649895791,4.046502458204919
"16x, 4 bands",0.02356572545770998,32.53121188419365,0.9694469152244983,0.9916314062691239,2.21904338949727,5.093958924976918
"32x, 4 bands",0.03559041005859812,28.96404276310259,0.9610659464232891,0.980496137081742,3.093748166002308,7.5911004180824975
"8x, 1 band",0.04757845837136618,26.44290714178903,0.9193005692275081,0.9860182108307438,3.6530585119013352,6.419063008396758
"8x, 3 bands",0.020168795912505345,33.87476599580475,0.970024083069455,0.994946232530679,2.034952175818063,4.085744029420757
"8x, 8 bands",0.01884685801287229,34.459363169149086,0.9724892396237317,0.995423294305713,1.89434345874817,3.9016362803430638
"8x, 16 bands",0.017713665883434263,34.99357334109963,0.974497691589627,0.9958522143154749,1.8031794814077386,3.7373096128753733
Sinc PSF,,,,,,
"4x, 4 bands",0.016501344052735557,35.60436572520739,0.9762955189685301,0.9967999397084745,1.7332458688693435,3.378243153113218
"8x, 4 bands",0.019047969851839174,34.368068053197845,0.9720189073263213,0.995301477668777,1.919141546228426,3.9562158951138127
"16x, 4 bands",0.02403689176283529,32.36015328636607,0.9688179364069603,0.9915309110601318,2.2560490707734258,5.134642946768099
"32x, 4 bands",0.03533027332418804,29.02789577242157,0.9606920349490852,0.9805640798490617,3.0608704167776213,7.621240335342471
"8x, 1 band",0.04905324399127625,26.17820308833737,0.916888603625004,0.9848849090372599,3.752580199017472,6.646199668585063
"8x, 3 bands",0.02051266035712723,33.7289143503963,0.9696322703741785,0.9947376382535126,2.055047164917307,4.13086810105927
"8x, 8 bands",0.01891174182284149,34.429592046120405,0.9724340698027946,0.9952984392759485,1.917939035355485,3.9327563297489343
"8x, 16 bands",0.018332249567244444,34.69840620910441,0.9736154748722146,0.9955773994022868,1.8459694306829095,3.841464021302544
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.02085184165773871,33.58697776164392,0.9702898184611372,0.995819453608576,2.058308676147434,3.7840831751984436
"8x, 4 bands",0.02017168539981855,33.87334516625992,0.9704980167332039,0.9950177835152728,2.020228181067621,4.066116200180256
"16x, 4 bands",0.02460106364697558,32.15950836317036,0.967537201656165,0.9911859946902017,2.3134814822695553,5.207582536914665
"32x, 4 bands",0.03621316252327038,28.8138229750056,0.9605513725213919,0.9792744441107911,3.1170125937646285,7.804049494704216
"8x, 1 band",0.04780339576414657,26.402098328151187,0.9183367156391168,0.9857154525785208,3.676341298424636,6.439631696195429
"8x, 3 bands",0.020001157820185772,33.946297486380345,0.9703661313140571,0.9950525669388521,2.0148851614264385,4.051906845385691
"8x, 8 bands",0.019550901812296993,34.14223729068696,0.9718004072648958,0.9952578746262145,1.939335305159278,3.9762723187247317
