Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.014941473452100723,36.461317661553124,0.977385708145488,0.9969918971059224,1.6102224111661882,3.154723078090435
"8x, 4 bands",0.0168146183715013,35.446075161842636,0.9754078397543509,0.9958441727807053,1.726886354708412,3.6515292670891832
"16x, 4 bands",0.021287716813603263,33.41250078130073,0.9730523746453424,0.9922701696807098,2.01460624294912,4.804944592889706
"32x, 4 bands",0.03156491298062114,30.006748242222095,0.9674082558076261,0.982552434458565,2.723781484133594,7.214960192942603
"8x, 1 band",0.04777772037888448,26.407071391364045,0.9198291616827414,0.9852230170936409,3.6314554879423158,6.323593612386082
"8x, 3 bands",0.017331590220495796,35.185042989673825,0.9746904194092277,0.9955603359308711,1.7626989146098984,3.7194956257463336
"8x, 8 bands",0.016776830463156908,35.46549582703523,0.9753617972105896,0.995883257364362,1.7334481107050481,3.6417962475219148
"8x, 16 bands",0.016809356909899445,35.448199345164014,0.9754956863933915,0.9959028742011583,1.7270522541554119,3.627323076670658
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.014774366741722852,36.55742113907892,0.9776371464086914,0.9970234789695038,1.5959700188472437,3.127961543148679
"8x, 4 bands",0.016808387092655686,35.44904650214793,0.9754152399490441,0.9958741419526259,1.7237363178759129,3.6603265507401597
"16x, 4 bands",0.021495345182393898,33.32864247402968,0.9728201412888529,0.9923319391551502,2.027081460228797,4.826947620414079
"32x, 4 bands",0.03131313946353125,30.07611886485875,0.9676374438014185,0.9827901232709095,2.7083863311901584,7.187812752312741
"8x, 1 band",0.04720499516997396,26.511742962571336,0.9214423898497486,0.9859629747126737,3.5894573220289367,6.215999349938164
"8x, 3 bands",0.01699762179104612,35.3530185107091,0.9752059788693282,0.995745129511747,1.7283383469298634,3.6880916966030846
"8x, 8 bands",0.01657429499517654,35.57000937417306,0.9756460973189063,0.9959549074109472,1.715854724492247,3.6251327203811994
"8x, 16 bands",0.016203163524906593,35.76506755980901,0.9776256795789379,0.9961967562188494,1.6475554811379949,3.5453834316321307
Airy PSF,,,,,,
"4x, 4 bands",0.014428650562328364,36.761280723298874,0.978403380323259,0.9972639328687641,1.5689841954406991,3.0834649951401616
"8x, 4 bands",0.016756346492266736,35.476152744477986,0.9754630371722175,0.9959888980440325,1.7241012580272526,3.668981681079035
"16x, 4 bands",0.021422170652225694,33.35823495617316,0.9729354564060225,0.9924714295326172,2.022585852797714,4.823953436236675
"32x, 4 bands",0.03129846736359986,30.07984072978963,0.967644762674362,0.9831811237298981,2.7103044121028668,7.145319584165153
"8x, 1 band",0.043947733618525095,27.132151775285017,0.9270077670952859,0.9877994573585144,3.4130426255243025,6.0114859838282335
"8x, 3 bands",0.017364465418494762,35.16864716425404,0.9746419866013151,0.9957928114899439,1.7734319777058336,3.738368719083548
"8x, 8 bands",0.016538501512753462,35.589101928055165,0.975635118592779,0.9960027352837659,1.716219361731801,3.6422692381219384
"8x, 16 bands",0.015150640954058239,36.342310979095814,0.9831459097702324,0.996786048005755,1.4799644995228916,3.3168128586049463
Moffat PSF,,,,,,
"4x, 4 bands",0.014529253968460972,36.701697810023745,0.9780773576358027,0.9971786295044804,1.5769348542196897,3.092067831843204
"8x, 4 bands",0.016755028820946104,35.47679359914122,0.9754737338014712,0.9959700434778722,1.7206090513116463,3.655069012626542
"16x, 4 bands",0.021371076424298883,33.37885797456434,0.9729342110871242,0.9923924355424236,2.0202228830192936,4.8231047852323
"32x, 4 bands",0.031268253228634996,30.088318417102183,0.9676378636355806,0.983099013963539,2.709810577197554,7.116002704700166
"8x, 1 band",0.04564645463533062,26.80322974664363,0.9234516864575811,0.9868183218145252,3.5065034299297055,6.138435294836675
"8x, 3 bands",0.017030494144406008,35.336239580538816,0.9751520500697711,0.9958870826929436,1.7367115623063452,3.7004718413605557
"8x, 8 bands",0.01656429815714741,35.57548839699624,0.9755343909336984,0.9959721192552722,1.7213881939799967,3.6373049712558085
"8x, 16 bands",0.01661163806069853,35.55071222032187,0.9757015211618704,0.996042478348211,1.713036793270783,3.6174338165261255
Sinc PSF,,,,,,
"4x, 4 bands",0.01487950896892279,36.49674123786873,0.9781268553147157,0.9971555185001729,1.5976259208485624,3.1810991342309087
