Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.014941374219794693,36.45748673019962,0.9786170351272546,0.9973602684822438,1.5614537430767501,3.1142341435774226
"8x, 4 bands",0.019091043672430304,34.34823952474599,0.9748583687797728,0.9963375110578786,1.8130031538959794,3.9630405347551245
"16x, 4 bands",0.02216020439930648,33.060417651224945,0.9718107928161535,0.9943988409260238,2.0010117511464083,4.799369877866506
"32x, 4 bands",0.025639340561625472,31.796499693949954,0.9704388875182834,0.9923223655414853,2.2628512802114655,4.530276219380459
"8x, 1 band",0.05821469632629174,24.691655308236186,0.8757954508755469,0.9800043400559741,4.503227059503741,7.893367878480473
"8x, 3 bands",0.021924561566646433,33.15390217579198,0.9691099701110762,0.9949180178463599,2.0666990227631477,4.545841366725272
"8x, 8 bands",0.015805160660675905,35.974591695572016,0.9817486117370487,0.9968824751136464,1.5565631821235388,3.5001479425327826
"8x, 16 bands",0.03244032895339082,29.76098972935602,0.9635898496971363,0.992247858977056,2.5358103925309896,4.9242573255192505
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.015743468211234467,36.00818359833098,0.9782058173014232,0.9971885896389638,1.6148584073976373,3.283826246564958
"8x, 4 bands",0.025194703583519218,31.950864939133933,0.9650835064974242,0.9942524833352923,2.2525138356819423,5.129140375618007
"16x, 4 bands",0.03260576052057658,29.719729795195583,0.9518818590777943,0.9906767001968714,2.654631299190193,6.5719277646635215
"32x, 4 bands",0.02818335658238295,30.97927096718099,0.9668008474724737,0.9909020931176084,2.399642377966364,5.516515408168926
"8x, 1 band",0.06029882354958748,24.386858892772775,0.8632437221743788,0.9783446102919876,4.655024341867834,8.357870260912822
"8x, 3 bands",0.02685380209130585,31.39930814843723,0.9615227901300101,0.9937444978312862,2.3761372701960126,5.394259717780753
"8x, 8 bands",0.01721346702704948,35.240669184071514,0.9801097992508911,0.9964865823194679,1.650529111814895,3.8806910783663966
"8x, 16 bands",0.03812115723985651,28.36300528698637,0.9505165601942102,0.9900052076225017,2.985206982303206,5.339415860066489
Airy PSF,,,,,,
"4x, 4 bands",0.033192107741522876,29.562806277117804,0.950715662192323,0.9932032540502588,2.7947096167554615,5.6939692723345585
"8x, 4 bands",0.06430017094044459,23.830748032715757,0.8371344808440999,0.9755062907891858,5.09842465312582,10.618316244086666
"16x, 4 bands",0.06646009114584131,23.544624474894235,0.8355043242769549,0.9696573872527965,5.186606703110919,11.491479089844633
"32x, 4 bands",0.036166131255557434,28.81954855509385,0.9546362724228836,0.9873047025522167,2.874089639993939,7.26556677205052
"8x, 1 band",0.08489793045616045,21.418753861399985,0.7200443291213886,0.957957257823367,6.836219820159053,11.062433073167465
"8x, 3 bands",0.06536355613396178,23.68799088432116,0.8326811964163946,0.9736612808132272,5.248737899584546,10.846716916158245
"8x, 8 bands",0.055129703450926805,25.16725411630139,0.8711282947827464,0.9791560606338308,4.641771997017878,9.368311371251584
"8x, 16 bands",0.08067624737471721,21.860443667854096,0.7457759560215579,0.9636070953465464,6.2561617873308215,9.389271514267062
Moffat PSF,,,,,,
"4x, 4 bands",0.020129579889171762,33.88766804934439,0.973675257572191,0.9964813289337832,1.8762079141382493,3.9026586742844502
"8x, 4 bands",0.04350108065989453,27.221580654869427,0.9215611714831636,0.9869178898905593,3.501923179475023,8.055261291056347
"16x, 4 bands",0.05139087717734155,25.7755470768252,0.8975468651837631,0.9799545629142613,4.020236940456872,9.36634427677062
"32x, 4 bands",0.0282302025107551,30.965365046419354,0.9673571760160968,0.9909107797901238,2.4344834432044675,5.110203676144147
"8x, 1 band",0.07001152080948919,23.09196645417431,0.8093278017738672,0.9707463327384119,5.509293763749797,9.590118349453164
"8x, 3 bands",0.04503507346725993,26.920122629182835,0.9168512691508162,0.9861488837270355,3.650735475862222,8.105917389035746
"8x, 8 bands",0.03233244908134187,29.794133171360787,0.9538532728925502,0.9918736699750045,2.792058514559621,6.104272396155564
"8x, 16 bands",0.060332770845552976,24.38194258196322,0.8668663748073552,0.9792306987135541,4.6564207719780315,7.506875647879778
Sinc PSF,,,,,,
"4x, 4 bands",0.029664895002854918,30.533230211666336,0.9608580870867008,0.9934039823946158,2.5805083169688183,4.014281467682206
"8x, 4 bands",0.0811470076256866,21.810673007401565,0.748722476217175,0.9601098531965181,6.506626280097724,12.889292671413376
"16x, 4 bands",0.08185547086651368,21.73589414024384,0.7556186808519181,0.9549859114659921,6.486705390673963,13.525100467097875
"32x, 4 bands",0.052492125228682976,25.589922098366916,0.9208345213420059,0.9801097461567035,3.9381953847297853,9.900447140619047
"8x, 1 band",0.10219839524979686,19.80667425553865,0.6016590865068816,0.9389298614660067,8.389442693907172,9.903998838987453
"8x, 3 bands",0.08418681737181248,21.49096355116219,0.7333481665150773,0.957093369952861,6.827409156040853,12.87393755238554
"8x, 8 bands",0.07753638481397677,22.20602891146777,0.7634257989118023,0.9605462923277119,6.529848736655544,12.373303469243822
"8x, 16 bands",0.09558397840811593,20.38857757687647,0.6400479232853009,0.9468130895758292,7.5548907187125245,10.889020546556365
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.015473483998586729,36.15836815722298,0.9783723180879649,0.9971531458985479,1.584347099808179,3.2744392187678337
"8x, 4 bands",0.024560381692455932,32.17257629058494,0.9658902101210066,0.9944893458104448,2.199457481278778,5.083987275675522
"16x, 4 bands",0.03174304185637255,29.952078345774265,0.9538113445211696,0.9907828718233621,2.6441564718291883,6.444130656424352
"32x, 4 bands",0.027864308356795563,31.077986347524575,0.9664543101090609,0.9915281485659586,2.37494181017048,5.644604080108292
"8x, 1 band",0.06045101859653285,24.365099063177396,0.8641668491421886,0.9785612614167704,4.638835029508667,8.357778907132674
"8x, 3 bands",0.026503227544669144,31.512663463924305,0.9628132186752109,0.9937166353502912,2.3458289514113915,5.373321345993255
"8x, 8 bands",0.016583608265013507,35.56021322634847,0.9814080793580547,0.9966920697220255,1.6004026596459595,3.597241216018629
"8x, 16 bands",0.03865825556300725,28.241857290490287,0.9484484651583774,0.9896848194698441,3.0294081385105316,5.520390686749263
Hermite PSF,,,,,,
"4x, 4 bands",0.014775824015632244,36.55387657906662,0.9790235673924648,0.9974245171652437,1.548761510058403,3.065265102323016
"8x, 4 bands",0.01743420839075311,35.12756322628934,0.9766377099024628,0.9966295900170026,1.7354270274457888,3.531165539101103
"16x, 4 bands",0.018712574008464204,34.52033864728942,0.9757447050166066,0.9957093652513332,1.815102152119961,3.920992182677234
"32x, 4 bands",0.023195571297955058,32.66260845923533,0.9730742855497899,0.993324095964159,2.0704613780048695,4.216390607204292
"8x, 1 band",0.05875876845016931,24.61108053796252,0.8771472207127834,0.9798116436594991,4.487158554057288,7.7381074333623285
"8x, 3 bands",0.019824033712023643,34.022639294811384,0.9721404074666457,0.9957120023294888,1.9304110906718315,4.0016029290353705
"8x, 8 bands",0.01411979653992752,36.946381106352106,0.9830794703828412,0.9973706793044922,1.440469712005726,3.0958955125427616
"8x, 16 bands",0.024995014586285343,32.01609545569842,0.9766566117166263,0.9952064788657623,2.018620779293381,4.002977077719012
Parabolic PSF,,,,,,
"4x, 4 bands",0.02194893259135703,33.14104136246228,0.9709085704250646,0.9960125454191027,2.0108794549848303,4.238573780968024
"8x, 4 bands",0.04845035034929134,26.286523656310724,0.9059802373635668,0.9852819485258558,3.857805975589062,8.567044804244464
"16x, 4 bands",0.053463893363025865,25.432700384997496,0.8926086126436473,0.9794361541294144,4.134982956231674,9.712862825253817
"32x, 4 bands",0.03378582359362453,29.409920090745807,0.9566057514136163,0.9882859769069324,2.790335227792845,6.719710433300971
"8x, 1 band",0.0724754406353149,22.791675634866454,0.7921646648210172,0.9688063367798065,5.743639902615612,9.792560033810464
"8x, 3 bands",0.05084987358666767,25.866676223604046,0.8967069965236195,0.9837404279027732,4.102628599334407,8.792010744937173
"8x, 8 bands",0.03636555268068717,28.7759526954746,0.9420669798992748,0.9898960078207751,3.1154229864019007,6.7284488065703565
"8x, 16 bands",0.06587601916572944,23.619140429001217,0.8397798810293875,0.9751545300859283,5.089401835918976,7.95022920332083
Gabor PSF,,,,,,
"4x, 4 bands",0.014860145998616878,36.50527193984577,0.9791627831466769,0.9973634715835397,1.5569036004950891,3.0774196373944656
"8x, 4 bands",0.017143457789774528,35.274968956815435,0.9767817950495712,0.996644370692648,1.6976384714820152,3.667420129080041
"16x, 4 bands",0.019613692497400862,34.11438120095675,0.9751890134868947,0.9954970659395147,1.8477025073705526,4.200829301840887
"32x, 4 bands",0.023463860427167058,32.5630410392609,0.9734051437211814,0.9929005323729279,2.089113028686728,4.257276546462811
"8x, 1 band",0.05815036424271341,24.701284268733403,0.8768959172689129,0.9803627676228382,4.457624662773032,7.798791956590599
"8x, 3 bands",0.020377473709216144,33.78313276931101,0.9713627883800144,0.995550305781367,1.9611689354642001,4.105387653473715
"8x, 8 bands",0.014336715266522575,36.814992462222705,0.9829282004339478,0.997254451066072,1.4575603895634388,3.1868388410112467
"8x, 16 bands",0.02589897443860544,31.7097089266262,0.9756272007998529,0.994721632906082,2.088581579421524,4.165975273393135
Delta PSF,,,,,,
"4x, 4 bands",0.05110074111188607,25.822428489189527,0.8989782566339098,0.9863761303131401,4.155669177145867,7.25818248378409
"8x, 4 bands",0.0787836507612654,22.06734973586338,0.7627170574640004,0.9636550323535522,6.271928116545748,12.544971736295631
"16x, 4 bands",0.07159909828020342,22.897881416325948,0.8093247854818069,0.964268762329197,5.572402117154643,12.219125609109126
