Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.013806331321830137,37.135808620719885,0.9797730074051726,0.9974974081857851,1.507955134621401,2.9459216338422065
"8x, 4 bands",0.014428069960148468,36.75830196592465,0.9792532590030566,0.9970238409673108,1.5598208592585083,3.0959516481600025
"16x, 4 bands",0.015879410243125187,35.93443072860483,0.978234019703759,0.9956473916635253,1.689343103094843,3.455776258920029
"32x, 4 bands",0.019604029877812745,34.12134668660441,0.976173792307806,0.9909158205997816,2.036405014336988,4.41570321114808
"8x, 1 band",0.07396239551094005,22.618243324324908,0.8239926675690251,0.9663203273190069,5.438822309384444,11.611855197550584
"8x, 3 bands",0.015500939956936062,36.14223437327197,0.9768599821948493,0.9964954141347424,1.664345492195933,3.268380627530621
"8x, 8 bands",0.012813706511586106,37.77339829008202,0.9838245716768564,0.9975752713965497,1.383463793127444,2.7880428783944198
"8x, 16 bands",0.010669403247582771,39.33214781401438,0.991346640662009,0.998302282397301,1.0650056341029752,2.280403155598385
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.013751028451755652,37.17040187927094,0.9799000700007668,0.9973971268109041,1.5055834196165911,2.9404369919386864
"8x, 4 bands",0.014578801889157458,36.667724981929915,0.9790800073041847,0.9968934376339483,1.5660738998567818,3.108229980410158
"16x, 4 bands",0.01598602968066648,35.87682503486916,0.978333734840621,0.9956506090486309,1.6876759802287522,3.4678878918657543
"32x, 4 bands",0.020462131805507936,33.75212580540429,0.9755925836345856,0.9902840666004609,2.0927094475093786,4.617816192651574
"8x, 1 band",0.06806559013367211,23.339606102093278,0.8455543409736347,0.9707307659359712,5.02543661337677,10.88882844748596
"8x, 3 bands",0.015504308619871612,36.14022564818566,0.9766628082241454,0.9965568718053305,1.6712789322920192,3.260026879288872
"8x, 8 bands",0.012773645721215515,37.80069670468224,0.9838263980085419,0.9975933781806576,1.3823185993160194,2.7836914075628867
"8x, 16 bands",0.010558891806851635,39.42167846235327,0.9913562447197534,0.9984012754459672,1.0551198165981863,2.2508809435714743
Airy PSF,,,,,,
"4x, 4 bands",0.013493120488016538,37.331550368679174,0.9803869444740929,0.9975348864118538,1.488834930051552,2.8847792744961334
"8x, 4 bands",0.014321048561116547,36.821543108392866,0.9792694992309657,0.9970396929831549,1.5556026683573105,3.070152743004395
"16x, 4 bands",0.01577970007330243,35.98934334162276,0.978360788031589,0.9956411057153318,1.678730222964762,3.4245883345092816
