Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.018681986930493697,34.532768844711185,0.9742667175668248,0.9954911849303941,1.8798997978001286,3.918923489132366
"8x, 4 bands",0.019476161818568056,34.17376918640204,0.9728738177362959,0.994986872654498,1.943942367292921,4.185773857362887
"16x, 4 bands",0.021490297064043117,33.325120769892614,0.9689683220050049,0.9933260283541558,2.1095445997924505,4.895456979110246
"32x, 4 bands",0.025528418253709915,31.837428983957995,0.9619156575580581,0.9908744538563867,2.454134007576241,5.952805694234539
"8x, 1 band",0.06908037379156697,23.210477366063984,0.8559991814577408,0.9683978159400543,5.438190611485427,12.159791755789223
"8x, 3 bands",0.02184416516498565,33.18355630259759,0.9684711508169446,0.9936994710250127,2.1695436394790932,4.670444934640638
"8x, 8 bands",0.016801743834371646,35.446327540427646,0.9780392914455898,0.9965499333275528,1.6758498504029995,3.5350139238115816
"8x, 16 bands",0.01645941988610443,35.62463786458783,0.9805044154514609,0.9969559015514007,1.5750738425340607,3.41321052001251
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01850287565545656,34.615490338654425,0.9745604405861444,0.9957307051359693,1.860608637226579,3.7677018202478143
"8x, 4 bands",0.019344950869431683,34.23233830638123,0.9731314144782574,0.9952476269716333,1.9274748077015056,4.078666245893332
"16x, 4 bands",0.021343762949949094,33.383546429591824,0.969295207576389,0.993525724059663,2.0930152103071196,4.786532110434644
"32x, 4 bands",0.025520365467979464,31.840032379771813,0.9619245417128698,0.9908665498861784,2.449906938922185,5.955553991601822
"8x, 1 band",0.07511716360879102,22.482764907138296,0.8460429857542744,0.9652826619309203,5.68001833223397,12.637707775977832
"8x, 3 bands",0.021693859157952584,33.24265900113333,0.9688675850817531,0.9940306661173237,2.1536532318379176,4.506198521895695
"8x, 8 bands",0.016598548031476746,35.55164902955232,0.9781992120800822,0.9966360239395238,1.6641624209709212,3.4873816786437937
"8x, 16 bands",0.01636409167707956,35.674386756274345,0.9807034051823589,0.9970188941229401,1.5674793944106036,3.383028554400458
Airy PSF,,,,,,
"4x, 4 bands",0.021461769920086516,33.335388978709666,0.97138618941794,0.9953876870388223,2.02982490301498,3.8013439170047123
"8x, 4 bands",0.020526463184805194,33.72036524022147,0.9719676646507777,0.9952591552607879,1.9847422751256747,3.9658942731677205
"16x, 4 bands",0.021866688887692387,33.17379340936992,0.9691502427494554,0.9942094368965607,2.0959729608997537,4.559573888938406
"32x, 4 bands",0.02556689416850147,31.82348185961409,0.9612797078492052,0.9905689643466873,2.450956405636604,5.910718495455743
"8x, 1 band",0.11737024541912926,18.604196298868413,0.7853546344971543,0.9155727747346074,8.31381260765719,17.031655553958952
"8x, 3 bands",0.023367348054957854,32.601028558519886,0.9669916508114469,0.993896779484393,2.2520171920136187,4.469433321140809
"8x, 8 bands",0.017294423117708794,35.19765769565434,0.9777441102102696,0.9966382273745713,1.6899290778280995,3.4685431631392523
"8x, 16 bands",0.016408653110174812,35.65105796983521,0.9808014168841721,0.997093189311579,1.5644149420499933,3.339516834292892
Moffat PSF,,,,,,
"4x, 4 bands",0.018688924792551593,34.52935508592584,0.9743076139651237,0.9958203695838824,1.8744817481105243,3.7423016273850065
"8x, 4 bands",0.019373460304982333,34.21829982323627,0.9731333583329645,0.9953332843548276,1.9260155283736073,4.0195612039106265
"16x, 4 bands",0.021457064394525868,33.33797186916078,0.9692954456184555,0.9937862339354011,2.0924692519579335,4.803466710708045
"32x, 4 bands",0.02542518925704638,31.872119724747407,0.9618536610910624,0.9907414741641329,2.431423418203177,5.8938679918864985
"8x, 1 band",0.10205268278609608,19.821799840002768,0.7956648727986217,0.9390866855802174,7.206494613111598,15.370768698770707
"8x, 3 bands",0.021644265556028223,33.26254767806472,0.9689412514258803,0.9942646994940525,2.144256234640155,4.368491662944483
"8x, 8 bands",0.016583382894749192,35.55919559159549,0.978261433563067,0.9967467331877963,1.655428877855399,3.445533109599126
"8x, 16 bands",0.016220702631075428,35.75003966689409,0.9808862140833523,0.9970803842560574,1.5576562270731495,3.355830527682056
Sinc PSF,,,,,,
"4x, 4 bands",0.02843564428403237,30.90223701945734,0.9613279030641554,0.9936619409657652,2.4787501083693386,4.054710211153158
"8x, 4 bands",0.024532393160609168,32.180414659938045,0.966400473878682,0.9942858573527041,2.2353542336811785,4.132489417213502
"16x, 4 bands",0.023827130704819777,32.43237370183565,0.9662323589756769,0.9933419948897438,2.2309911963987927,4.794335601561383
"32x, 4 bands",0.02683059706720572,31.40506638023298,0.9588990257035016,0.9892349874193775,2.5400353385090484,6.182817010289773
"8x, 1 band",0.11540211233746495,18.75186862917799,0.7872130716303413,0.9169176678318126,8.180283299709851,16.356867014907543
"8x, 3 bands",0.027773007099896222,31.107496312491488,0.9597036873580006,0.9925791607048102,2.543655059307249,4.649348614728584
"8x, 8 bands",0.019912377713103828,33.982495982787455,0.9749910785796817,0.9962594249048186,1.8295334166254766,3.5547235018787116
"8x, 16 bands",0.017792551776697228,34.952793782757254,0.9794698129413814,0.9968495786807731,1.6488852740967337,3.3744647778417316
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.018559699070780117,34.589196144379926,0.9743651534659358,0.9956431621228067,1.8712666650308845,3.826783383455248
"8x, 4 bands",0.019455542722575474,34.18379603274936,0.9730344389421007,0.9950956478781839,1.9367759148504426,4.243865470027491
"16x, 4 bands",0.02114438408077128,33.464187334204865,0.9697652255003152,0.9937676274936053,2.0828523091968134,4.690449278059136
"32x, 4 bands",0.02768520611589384,31.135065848791523,0.9600984010181177,0.9905430043770276,2.6162077163895234,6.050657118718257
"8x, 1 band",0.07375118725155097,22.640477324740726,0.8485979072275598,0.9662447891823843,5.596700857657884,12.320667470178766
"8x, 3 bands",0.02163944068603494,33.26468361861047,0.9692698941349822,0.9939911325545756,2.1540971520093577,4.498992672321331
"8x, 8 bands",0.016675125104640462,35.51203931324073,0.9780917058730273,0.9965971738322384,1.6688227520421297,3.5169657892600577
"8x, 16 bands",0.016415639368485394,35.64801642092992,0.9805677965397078,0.9969795120356914,1.5746694101338137,3.3989401204022376
Hermite PSF,,,,,,
"4x, 4 bands",0.018923721507192105,34.42180438775924,0.9740567346200458,0.9953410364592771,1.9030149698036483,3.976954483868087
