Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01774080084055816,34.974002909779436,0.9773679985529661,0.9964403902193858,1.7454201922949906,3.3286335681807113
"8x, 4 bands",0.02311221141312095,32.6887195087252,0.9721414231124075,0.9944341167842673,2.1280500748966813,3.5112672770581517
"16x, 4 bands",0.07037989266091839,23.041914212520783,0.8538912382627618,0.9606723339660599,5.783144248025853,5.449818610923752
"32x, 4 bands",0.1014174252951693,19.872185455760512,0.680846991486708,0.9183653903183548,8.420481396722437,6.98824572382237
"8x, 1 band",0.10246555050550761,19.782469788550998,0.7971022500374987,0.927434178847933,7.448489882809872,15.366525443748838
"8x, 3 bands",0.024592308500204916,32.152281188172296,0.9698138694333376,0.9937764614488873,2.3095640653279594,3.816595729421351
"8x, 8 bands",0.02369142671718408,32.47417166363271,0.9725049661132519,0.9940727331684819,2.1527767230302453,3.4020551135505865
"8x, 16 bands",0.025494537915979085,31.840725692615926,0.9693088163394693,0.9932248009630226,2.2372326309575317,3.5383771516475786
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01848180303730676,34.61993205778972,0.976713965362446,0.9963300405865607,1.794945733251963,3.3609877473922385
"8x, 4 bands",0.026938981329932915,31.364537885595347,0.9680348502262376,0.9933979483662949,2.398974161465118,3.5738420551392234
"16x, 4 bands",0.07904690612329261,22.034453210261667,0.8157021813547981,0.9511064988004233,6.426414214753143,5.771870141139493
"32x, 4 bands",0.10562839580825231,19.519153955777963,0.6550910503330514,0.9136038743744883,8.762275658462917,7.217019494977362
"8x, 1 band",0.10266019597589243,19.766093719178624,0.7957512744623028,0.9270574011616892,7.471166774915446,15.26291659668162
"8x, 3 bands",0.027693061216314162,31.12567271213663,0.9655832324424201,0.9921666367111618,2.526878194034153,3.9917439778552803
"8x, 8 bands",0.026811438131836632,31.40501545235807,0.9676629927390463,0.9924372842180593,2.3723898417823026,3.5058400514323416
"8x, 16 bands",0.02959697573807705,30.55045375943489,0.964516579199857,0.9922608436523499,2.508844210922336,3.5009726878750613
Airy PSF,,,,,,
"4x, 4 bands",0.03293163969670233,29.626025536055405,0.9569179977501255,0.9896519348297559,2.879911446468348,3.8660142825005086
"8x, 4 bands",0.057587441937260404,24.783004169741307,0.8956780533985621,0.9706272792410211,4.770826678600171,4.799457389665247
"16x, 4 bands",0.11539914828722278,18.750975956750594,0.5905544838308078,0.9012560172895848,9.416824160096295,7.763838463513059
"32x, 4 bands",0.13432850884356,17.432587682259072,0.4370773265474883,0.8724573522079956,11.118197362409859,8.872207411076879
"8x, 1 band",0.10833546405500488,19.298922587024478,0.7518368680473176,0.9181735031834876,7.995189220079749,14.708520387035442
"8x, 3 bands",0.05764915910316028,24.77346827348417,0.8953641558127294,0.9698755817510971,4.82089377604871,4.982074876843408
"8x, 8 bands",0.058792603847955996,24.60288942033287,0.888097906079239,0.9701177095990784,4.867873186250246,4.843683291427903
"8x, 16 bands",0.0622317651870691,24.11122968017109,0.8710687601969457,0.968424495663153,5.040821832578841,4.831640387260701
Moffat PSF,,,,,,
"4x, 4 bands",0.02231877985468983,32.99024102076275,0.9726289526545483,0.9951041786346224,2.0673101580248905,3.445123725135748
"8x, 4 bands",0.0368091546230879,28.662924108500736,0.9505581798229421,0.9874399166994372,3.1519446607578105,3.9365039691691557
"16x, 4 bands",0.09466673713481266,20.46969909457882,0.7270546368920574,0.9314322139004227,7.694731958761215,6.571886783528501
