Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01579791991750794,35.97925932811542,0.9789391230683704,0.9971186931475842,1.6253499859896838,3.2017295071755205
"8x, 4 bands",0.016051175437146615,35.842577545587126,0.978874421391492,0.9970533892159948,1.6341817223585655,3.2481899480138283
"16x, 4 bands",0.016609351748968673,35.548353412277336,0.9785076058421995,0.9965994209528957,1.6768773807386506,3.4610160812304867
"32x, 4 bands",0.019864684034021883,34.00509008788758,0.9749468108961444,0.9945466829873926,1.9226494904283193,4.14437480014297
"8x, 1 band",0.10500073891115153,19.570296261730835,0.798736924483101,0.9273431168047032,7.625096131692978,15.721758459839323
"8x, 3 bands",0.01797209057992202,34.8689611397443,0.9756573525876118,0.9960563157410369,1.8430159881220511,3.5909868971730132
"8x, 8 bands",0.01379566916876092,37.14234015946993,0.983304217901792,0.9977385039794183,1.4121935992554635,2.9063936215680504
"8x, 16 bands",0.0128948708901995,37.71846201892166,0.9884698166871825,0.9983092332248845,1.2129720078170803,2.5795317171859167
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.0157699306311007,35.99480089529682,0.9789993760378392,0.9971394936388658,1.6216691779680288,3.190491284669911
"8x, 4 bands",0.01586366730706472,35.943692748478675,0.9790270546822535,0.9971094875896049,1.627040297823354,3.2271410125391413
"16x, 4 bands",0.016481955503657893,35.61434609532249,0.9784497893796262,0.9966980716521036,1.6621014495127138,3.3854152786285545
"32x, 4 bands",0.02064593338184923,33.673046397807916,0.9736355977326662,0.9935898754746639,1.967080968008506,4.355192857743645
"8x, 1 band",0.1050856114403162,19.56306226618767,0.798167246000528,0.9277787895281839,7.614627261070024,15.461106488280588
"8x, 3 bands",0.017864339827532934,34.920684940468824,0.975772603758602,0.9960516364016943,1.834450308690743,3.5638149105508217
"8x, 8 bands",0.013678163258858374,37.21619594772668,0.9835630627802684,0.997802152789623,1.3983737574814643,2.8983519275940064
"8x, 16 bands",0.012744168812144411,37.81774287590916,0.9884020546513085,0.9982735744068019,1.2118430016364539,2.5766229103731373
Airy PSF,,,,,,
"4x, 4 bands",0.015345670501193228,36.228287119543204,0.9792634134748397,0.9972446184884342,1.5964473634305147,3.1135071553176394
"8x, 4 bands",0.015712328303128405,36.025958772050984,0.9790271463701523,0.9971440831305393,1.6161518665511532,3.179519866428755
"16x, 4 bands",0.01650493892945121,35.60248645010779,0.9784756232542631,0.9967325190714126,1.6684290737434513,3.4062731822498926
"32x, 4 bands",0.02076435067128016,33.62293092940174,0.9743204182012443,0.9944470890533071,1.9591988050341655,4.429981721607992
"8x, 1 band",0.10441570358421456,19.61841833857806,0.8070056629795558,0.9290617635843234,7.529199269782941,14.96151571653459
"8x, 3 bands",0.01765200044978696,35.02313450303748,0.9757463605074927,0.9962609039574323,1.8183999003888962,3.476413035166988
"8x, 8 bands",0.013639713920639038,37.240098599059905,0.9834580710852888,0.9977868175151715,1.4004642033082728,2.874913493126873
"8x, 16 bands",0.012190150172010512,38.19825792435636,0.9897628824886027,0.9984946077262655,1.1463814786044257,2.4197851184435426
Moffat PSF,,,,,,
"4x, 4 bands",0.015578852460973956,36.099753298733575,0.9791403250413362,0.9971971023659123,1.6091532450074122,3.1604019534984773
"8x, 4 bands",0.015807954811177288,35.97354806720016,0.9789339890124222,0.9970887027315676,1.6229570631238526,3.212997184871926
"16x, 4 bands",0.016430213795595495,35.6417349115638,0.97857786248598,0.9967589754090729,1.6582834314986357,3.3994536652504577
"32x, 4 bands",0.020817604827730787,33.601893124726445,0.9733741466138892,0.9934312191590954,1.9623830926589334,4.523344858033366
"8x, 1 band",0.1047381221933682,19.59178665994487,0.8020734559724394,0.928381658850835,7.565549848822462,15.248373416391372
"8x, 3 bands",0.017793651810694273,34.95528332053211,0.9756363059190233,0.9961780844739174,1.8320549298832374,3.4984984518482243
"8x, 8 bands",0.013619546970017623,37.25287161785186,0.9835361389147906,0.9977642959472792,1.4005799646664838,2.884157727281662
"8x, 16 bands",0.01266053118983001,37.87484170169806,0.9887097565391929,0.998312315161492,1.203274401623099,2.527971686358548
Sinc PSF,,,,,,
"4x, 4 bands",0.015309320826305548,36.24945136033221,0.9792806810978522,0.9972376463591894,1.5921202557772567,3.1035965508319507
"8x, 4 bands",0.015573035104339996,36.10162989111528,0.9791111079545265,0.9971487471530328,1.60905736107875,3.1607522141368523
