Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01609715754601824,35.81722274834709,0.978927986248336,0.9970522652440895,1.638423127413618,3.247013661372705
"8x, 4 bands",0.016057616494758814,35.83816156570816,0.9789904300320282,0.9970261414318614,1.6354099704174827,3.2358838681201694
"16x, 4 bands",0.016394834246328368,35.659564659198054,0.9788383080909867,0.9968016815965157,1.655124992828745,3.348102382079598
"32x, 4 bands",0.018979970298322636,34.39663499196862,0.9769052908568574,0.9956842811252716,1.8660969075621807,3.918063312183768
"8x, 1 band",0.060400197871984494,24.371512212641665,0.8780981036803762,0.9785198919804919,4.587542645122313,7.885012849578255
"8x, 3 bands",0.018023616564828763,34.84396315274944,0.9757763362939247,0.9959322592346481,1.8452447424873741,3.5974141051819952
"8x, 8 bands",0.014235202790759646,36.873606268384165,0.982964172405515,0.9976402398599487,1.455253887174746,2.956397649925125
"8x, 16 bands",0.01380507331221925,37.134874106423666,0.9861931842886392,0.9979573427475643,1.343223076711174,2.7512866422628193
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.015995252440490514,35.87176226483822,0.9790648337936028,0.9970790396469457,1.630965244001964,3.2371030568870167
"8x, 4 bands",0.015990895987701186,35.873887968856046,0.979048710051656,0.9970532601556821,1.6312740130028967,3.233942386848593
"16x, 4 bands",0.01634824950332435,35.684297173072295,0.9788507629088667,0.9968721868879282,1.651239138163756,3.31796459925374
"32x, 4 bands",0.018826182177437988,34.466806184397896,0.9770921024251634,0.995543879617799,1.8724012403024841,3.922391090796617
"8x, 1 band",0.06012775716597032,24.410734152642828,0.8787703969936578,0.9789353695308973,4.563519596052491,7.77406496424786
"8x, 3 bands",0.017987500536245662,34.86116602601763,0.9758752171996845,0.9960576396673293,1.8406901830204854,3.579887626328331
"8x, 8 bands",0.01416875410414347,36.913445609419426,0.982958437631765,0.9976778835882536,1.4492227259267736,2.9458663519986117
"8x, 16 bands",0.013848258730212764,37.1076979707872,0.9862127845924232,0.9979836936231639,1.340446718176373,2.7535903370038173
Airy PSF,,,,,,
"4x, 4 bands",0.015741641792355793,36.009153767428195,0.9790498014434731,0.9971627196281427,1.6198912479591296,3.1782229842600986
"8x, 4 bands",0.015872496721534488,35.93750895471115,0.9790566607840864,0.9971303870114135,1.6242878082464793,3.1955255609750335
"16x, 4 bands",0.016256326786773377,35.73255111639044,0.9789859171333516,0.9969274758721689,1.6491052483902728,3.3159347524097766
"32x, 4 bands",0.019302372132809255,34.25090202054892,0.9767205914150319,0.9955738217623284,1.8839409272496603,4.017592828769193
"8x, 1 band",0.058957128074706,24.581705316677485,0.882628531714535,0.9799881917156531,4.497259527392123,7.516267157988546
"8x, 3 bands",0.017764699412287175,34.96805037601252,0.9759631171176352,0.9962679037703205,1.8195820305140453,3.4764392887066102
"8x, 8 bands",0.01406178833481216,36.97837677626705,0.9830114640381521,0.9977016584753258,1.4444779461775514,2.9267371265675215
