Pavia Center,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05754598256028109,24.79240546654349,0.886326885130685,0.9810442951769858,4.408968577178807,7.270666362039581
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.056807584645,24.9044788184828,0.8881183850137259,0.9816991615773427,4.360066113512165,7.174504128714971
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Airy PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05551669163460276,25.103968539931483,0.8914706239650784,0.9828902027332506,4.2842684843145875,7.038613246309336
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Moffat PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05607420101053922,25.017258847042637,0.8899223983020077,0.98231468424913,4.32266690245904,7.10444004820898
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428450955,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317408184426,2.783209879226401
"8x, 16 bands",0.011700399411402133,38.544984996543235,0.9890286056722266,0.9984018927897467,1.1808352799666018,2.389579674056219
Sinc PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05694845056450863,24.882913340592236,0.8893239771340506,0.9819130132323443,4.386852060237381,7.204616725218265
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05686062944484737,24.896422579642717,0.8879716622276642,0.9816072074108337,4.365664604657647,7.206231211183327
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Hermite PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05922080051133935,24.543432563346585,0.8823146237118771,0.9797163797714558,4.512094461065368,7.4453211293059764
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Parabolic PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05568599511801765,25.077508329503612,0.8908349793632514,0.9826955982078128,4.29249292484599,7.04459948023003
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Gabor PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05853572662779979,24.64445053835292,0.8840303286347247,0.9802534809817632,4.470796030315642,7.3740506666378325
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
Delta PSF,,,,,,
"4x, 4 bands",0.01516051145180172,36.33225081407148,0.9793836944623237,0.9972253521724189,1.5942937540930033,3.103218969436896
"8x, 4 bands",0.015176392048670521,36.32317314866085,0.9793752154188777,0.9972349905341505,1.5919815272742757,3.0973189666544743
"16x, 4 bands",0.01517870990924655,36.322170547738615,0.9794033290779719,0.9972275248082417,1.5939247180790577,3.101038644987781
"32x, 4 bands",0.015139696775660235,36.34377387426382,0.9794518659711318,0.9972399736678059,1.5904880335711413,3.0895933823729553
"8x, 1 band",0.05533312420891624,25.13264216711706,0.892028634197835,0.9830649576207117,4.2738971528720135,7.009403942323777
"8x, 3 bands",0.017184940387750373,35.25452137409628,0.9762742603406327,0.9964288419958054,1.7902439106021764,3.3977495330525396
"8x, 8 bands",0.013233858428585562,37.49737453875643,0.9836810452582475,0.997831267591774,1.3965317407897586,2.783209879226401
"8x, 16 bands",0.011867629123861911,38.42459097388885,0.9887850043032607,0.9983617460781958,1.1962475162768647,2.420324276501151
