Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.021082226794209284,33.49616046645764,0.9547105005011199,0.9909533055177493,2.567201114258858,2.8880434645891646
"8x, 4 bands",0.020300384311738258,33.82437352384075,0.950929465775087,0.9893096354959575,2.5845768115410404,3.267840829142778
"16x, 4 bands",0.027738527383263652,31.126919556254524,0.9390489388775797,0.9775326597263868,3.2636709871447502,4.732515986270421
"32x, 4 bands",0.042231288617958385,27.482005799853724,0.9274195690197291,0.9573451601107906,4.46882277544135,7.167294864046023
"8x, 1 band",0.052884438501905356,25.52420124398043,0.8305931448877661,0.9737295064284306,4.272711980273309,5.706372895867302
"8x, 3 bands",0.021214486927540854,33.44414384834921,0.9471388845368259,0.9882116414356921,2.7088187742679204,3.4017616288596875
"8x, 8 bands",0.019475241501278762,34.18154991985341,0.9538241699862063,0.9906845296995443,2.465728481226391,3.1973283040290936
"8x, 16 bands",0.018121421167672902,34.8014869773319,0.9568563004568086,0.9914709105860562,2.299649772808171,3.065961568174946
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.019757902312407902,34.055839459269855,0.957538039639163,0.9934429843228703,2.422574097908605,2.7064782534300083
"8x, 4 bands",0.02010208781565584,33.90989859527059,0.9502037908847227,0.9889304548434696,2.5598485501065205,3.2890724721777627
"16x, 4 bands",0.028808591405558005,30.799222834975232,0.939543011119059,0.9753322994651115,3.190069512977658,4.87906665953633
"32x, 4 bands",0.0420105051905287,27.52787321580471,0.9288764592073289,0.9590295295546661,4.254457341608959,6.720353751743422
"8x, 1 band",0.05045938535099276,25.93129190869214,0.8427895349658444,0.9765114295198056,4.16515544256379,5.597518463517516
"8x, 3 bands",0.021584607184436413,33.29446852911377,0.9479567630931608,0.9888451472571155,2.720568716990248,3.4086370680329514
"8x, 8 bands",0.019489547927855514,34.176134774978436,0.9533421458794318,0.9892504020364761,2.46763801150748,3.2580008744263167
"8x, 16 bands",0.01831316767763365,34.71109220788805,0.9560057908631684,0.9897872247913237,2.3509626744059595,3.0896808941716962
Airy PSF,,,,,,
"4x, 4 bands",0.01620634679249135,35.763814230043,0.9626091853289108,0.9945171540160315,2.1720015984021566,2.5306166771146357
"8x, 4 bands",0.01932207233714124,34.25118476757309,0.9529083866154002,0.9908125969675092,2.457623437576837,3.183078608429743
"16x, 4 bands",0.02633633085122669,31.57479062609393,0.9427187778660789,0.9820077569534102,2.982546913458536,4.444335364148774
"32x, 4 bands",0.04302260270384422,27.3215369522713,0.9281984429270933,0.9590839604533842,4.297653192505121,7.439198718488707
"8x, 1 band",0.05382909459697667,25.370624873582862,0.8336024511419482,0.9736811920809153,4.264948331739594,5.792937432747574
"8x, 3 bands",0.021095040923372044,33.49310911222477,0.9481770129540383,0.9883084371117713,2.6955867439392724,3.399409695907676
"8x, 8 bands",0.01983416773439082,34.02451539374113,0.9530477981955152,0.9888351903987715,2.5003926894727626,3.212570938379035
"8x, 16 bands",0.01822910382687364,34.750121933901525,0.9563175370108814,0.9909050820395062,2.3189782210717937,3.056254161817065
Moffat PSF,,,,,,
"4x, 4 bands",0.01890576975593738,34.43531582720911,0.9578554482788191,0.9934287131580144,2.43077573490481,2.72384593038547
"8x, 4 bands",0.020268516974369488,33.83849235133408,0.9512739991959023,0.9891782405700347,2.523013512325281,3.2806771024707593
"16x, 4 bands",0.026818638273959586,31.41632630569641,0.943776879510399,0.9821917290257884,3.0473283094962587,4.44686552234944
"32x, 4 bands",0.041582843231181624,27.61904183748223,0.9230870798009982,0.9527422480822111,4.366056245671224,7.228145873135313
"8x, 1 band",0.049950638268912856,26.018889488813045,0.8475872602206289,0.9774019778007802,4.100987049956284,5.404611723241554
"8x, 3 bands",0.021503624528310505,33.32634383047973,0.9470873841492865,0.9888167196308401,2.758261865877713,3.4218799510599602
"8x, 8 bands",0.018524496170094638,34.6122496050194,0.9557383823468566,0.9906484290638538,2.381573902552373,3.1150198287753854
"8x, 16 bands",0.018508065349371064,34.618372655250795,0.9564773278084908,0.9916872428421105,2.32052678756091,3.0811038841214526
Sinc PSF,,,,,,
"4x, 4 bands",0.017019612472154447,35.34217629390457,0.9613724883234397,0.9938441858567184,2.2678634525306065,2.6720212297277635
"8x, 4 bands",0.02037826629832509,33.79199296978691,0.9510832763537735,0.9886395445697765,2.595619127483586,3.337722202088471
"16x, 4 bands",0.02714320981193095,31.315411416296666,0.9400905411552389,0.976008519143798,3.074245689659164,4.642303701486539
"32x, 4 bands",0.04426309638774734,27.07477065514357,0.9196504180706683,0.9495501017508252,4.402621351422622,7.165760632803709
"8x, 1 band",0.05280947506623644,25.53595769724876,0.8399183190197347,0.9753581306139882,4.301815130814739,5.70183039318242
"8x, 3 bands",0.022271894017469998,33.024117345626735,0.946560800041528,0.9875250588093123,2.7795670412728675,3.4840447043474194
"8x, 8 bands",0.020087662083270164,33.91272020036243,0.953558572845865,0.9904128672508994,2.493402696904876,3.27305119626244
"8x, 16 bands",0.01930777229351967,34.25448809284656,0.9545947695127086,0.9890941035079869,2.439789116849883,3.2350478102770777
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.02067887454127943,33.662574646193804,0.9560267417298832,0.9931727026628189,2.4988768012229614,2.7420714364120027
"8x, 4 bands",0.01971601908097346,34.07585417461388,0.9523727415577047,0.9897729147357283,2.5109385381139617,3.2221297881224675
"16x, 4 bands",0.02670122110322665,31.45731379465768,0.9425266865896976,0.978634621395587,3.0664503629431072,4.5660664106313265
"32x, 4 bands",0.04252509724323576,27.42296354644096,0.9232472413784933,0.9499984428620047,4.2948736696566545,7.040338295961588
"8x, 1 band",0.05187231305452609,25.691632453063278,0.8403037615604755,0.976369961472254,4.242694503168826,5.551206792737068
"8x, 3 bands",0.02070291435164302,33.65615123435978,0.9485131981692335,0.9879256749974277,2.6278739606656267,3.3503601864871104
"8x, 8 bands",0.01903517632462814,34.37944548674055,0.9531515255474079,0.9893308248762627,2.436183128006758,3.168173641556894
"8x, 16 bands",0.01872885802730634,34.51908191573969,0.9555617688943363,0.9897218605585725,2.3552441032903637,3.1444739523540077
Hermite PSF,,,,,,
"4x, 4 bands",0.0200060624906306,33.94677244839626,0.9552136394458712,0.9927759218209915,2.503872312578055,2.9543835978936177
"8x, 4 bands",0.020871344971024837,33.585779407644395,0.9503017148585752,0.9880458957154109,2.594829150017444,3.340770814335824
"16x, 4 bands",0.028047433798145366,31.032844442000545,0.9390102501254862,0.9713321044066863,3.248788434891683,4.73728345831109
"32x, 4 bands",0.04361312376942061,27.20233901454671,0.9264426884085493,0.9581032049958516,4.322779302911002,7.279617324946883
"8x, 1 band",0.06903680605690941,23.210534157684698,0.7632218466691876,0.9616722236532015,5.261950226936634,7.241524506172075
"8x, 3 bands",0.02230789718113801,33.007965520107454,0.9468878251097562,0.988447040850203,2.8182261555231656,3.5622298797765555
"8x, 8 bands",0.019005960148519643,34.391871598230665,0.9548719768517521,0.9900504212158985,2.422775268524361,3.156072253894924
"8x, 16 bands",0.018260094548523204,34.735971575085955,0.9564066367916956,0.9913369365705296,2.3351415861911415,3.073919165444834
Parabolic PSF,,,,,,
"4x, 4 bands",0.016575735424230343,35.56909518386222,0.9621289393793662,0.9943431858272673,2.1749044354183082,2.501804377874583
"8x, 4 bands",0.019966801345243028,33.96699609970617,0.9508545901983647,0.9899908452576346,2.5184815721165386,3.2644171968213094
"16x, 4 bands",0.026784987744631266,31.428342636396188,0.9439334344603754,0.9816829826464903,3.0018704142982204,4.536242816507288
"32x, 4 bands",0.043836859224918076,27.157693944866878,0.9272620348124154,0.9587391323846185,4.299585493845187,7.585705422411834
"8x, 1 band",0.054319813299288575,25.291182803265908,0.8306410075384143,0.9740104861392295,4.3821520149562625,5.77489335362087
