Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.019934050952581054,33.97843149143897,0.9539600568328302,0.9916188829869871,2.7754443539335214,2.8978285643488544
"8x, 4 bands",0.023296554893982618,32.63050537361036,0.9466119276287583,0.9892012617742132,3.0353640336208656,3.4454052569955995
"16x, 4 bands",0.02932835846364742,30.641885583655736,0.940562369165181,0.9825086143971001,3.4243723475809187,4.625331535172704
"32x, 4 bands",0.03902450294908555,28.16866371328853,0.9244498321793702,0.9631668847726714,4.352856132551787,6.7645271464268335
"8x, 1 band",0.056882041096126566,24.888927936024217,0.8361167972243889,0.9702936913539185,4.407838130381083,5.85145806666942
"8x, 3 bands",0.022397164478807848,32.97296750291318,0.9483974524310236,0.9897265946895585,2.882567321734065,3.4086018498700437
"8x, 8 bands",0.022740034902188615,32.841377617247474,0.9471395348449888,0.9874099523556628,2.940410178042137,3.47403975787382
"8x, 16 bands",0.021753039707114914,33.22269872316724,0.9517424056028547,0.9907361196491621,2.672845222974834,3.2416596468370615
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.019359167744568962,34.2329049645362,0.9563684607641147,0.9927323223481219,2.644363432638901,2.8307059474976115
"8x, 4 bands",0.022076253857814417,33.0994765084786,0.9485914554021305,0.9889861850581002,2.883985233559484,3.469188402572407
"16x, 4 bands",0.028211709472310616,30.978020792379507,0.9376604657889702,0.9806520995241783,3.4122149539124735,4.490628678795828
"32x, 4 bands",0.03744173376854545,28.52821818188502,0.933790920804276,0.966344572546585,3.946705282598969,6.533224924618467
"8x, 1 band",0.06044089621861731,24.365564314597968,0.8204903393294568,0.959058504958125,4.680976479186128,6.192016421328133
"8x, 3 bands",0.023185575258719292,32.67437933819474,0.9472420584491514,0.9889439463505856,2.9817043547505677,3.472765714150201
"8x, 8 bands",0.022642957271897544,32.878389754348106,0.9485681924212143,0.9894862364737121,2.922317261020868,3.3325444918107783
"8x, 16 bands",0.020021295443305893,33.939995379632045,0.9533883544319456,0.9915745302195005,2.558755088751537,3.132691876035736
Airy PSF,,,,,,
"4x, 4 bands",0.04532933444769332,26.860615172787305,0.8955199419444829,0.9875334415399349,3.4539095338503376,4.189199624118471
"8x, 4 bands",0.02230750633060905,33.00839448751859,0.9473133972944667,0.9894443855027446,2.8897371743116964,3.3868197362766383
"16x, 4 bands",0.030026306185220435,30.43842298427144,0.937569436298748,0.9826516291345616,3.48984539560983,4.568325922586131
"32x, 4 bands",0.03946921980732286,28.069591729878134,0.9270155457872715,0.9668704420225356,4.191478483886105,6.597408212249077
"8x, 1 band",0.05798430549386119,24.72459584008577,0.8329044080369844,0.972203853930904,4.484132345968632,5.885212007773977
"8x, 3 bands",0.029151595949192456,30.690909845733255,0.9363725939586283,0.9882871020629568,3.2217435173385462,3.777392578019593
"8x, 8 bands",0.021396435379019405,33.368818304869656,0.9495516924563121,0.9898075006918768,2.8454567563852504,3.2930709076065705
"8x, 16 bands",0.021727631799494253,33.23586245610262,0.9479268262631587,0.9872124321703571,2.766642695907651,3.4208605453263354
Moffat PSF,,,,,,
"4x, 4 bands",0.021298558518846714,33.40380057723339,0.9539021192537925,0.9928164717702169,2.682610841218532,2.887164291176937
"8x, 4 bands",0.021369556492109358,33.37781223233895,0.9496574437350018,0.9907182218414603,2.7972551395646073,3.296818973913615
"16x, 4 bands",0.02583516674451975,31.740114827123,0.9448107489640654,0.9837157522060863,3.041522813701184,4.329381145983343
"32x, 4 bands",0.04064516219366406,27.815489128160984,0.9216522667284877,0.9655767826013409,4.238963477704308,6.736425186860462
"8x, 1 band",0.053871050111271225,25.36150157383262,0.8453014119021822,0.9747061996070344,4.25617461940196,5.417568165210245
"8x, 3 bands",0.0239818430411517,32.38328620269287,0.9463543127848952,0.9874904573797251,2.926817594644109,3.569758455789202
"8x, 8 bands",0.021809624956663345,33.20180319317083,0.9490824797473606,0.9903366855456245,2.877879270045555,3.316172955257081
"8x, 16 bands",0.02061676630500835,33.688648428380986,0.9511756740914099,0.9908412114887376,2.7082075449962675,3.220041030896913
Sinc PSF,,,,,,
"4x, 4 bands",0.020645120527893822,33.67782464375248,0.9541793990620772,0.9916399661082698,2.796617160859623,3.0983639855974863
"8x, 4 bands",0.02394040132957543,32.39619869359975,0.9455194074350107,0.9892038946071079,3.0190223234334037,3.500045489695232
"16x, 4 bands",0.0280831265253063,31.0177517287898,0.940736937362524,0.9827150812036455,3.2806780894156637,4.456276242365249
"32x, 4 bands",0.04148641996091272,27.63517755006736,0.9108743900587674,0.9603681723749041,4.774928716506976,6.577274949009995
"8x, 1 band",0.05307838675399467,25.491676247592068,0.8494864800850274,0.9757789415453523,4.2528126904071994,5.635919921465443
"8x, 3 bands",0.02168566598009799,33.253867758222945,0.9491722971795269,0.9898884433034763,2.8650741454146407,3.427686679071529
"8x, 8 bands",0.024375749531619677,32.23643479206965,0.9456088136063852,0.9897627716681704,3.0343131621501596,3.492003155390954
"8x, 16 bands",0.023235872211409287,32.6563007191777,0.9471308512482791,0.9899170697314907,3.0727363792185716,3.4483928244272453
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.020139155040655245,33.89031197344467,0.9548603540660249,0.9921760637911304,2.6862082861761456,2.8645969192723917
"8x, 4 bands",0.02369788936526643,32.48377343316358,0.9460398304039644,0.9898498281933513,3.0166330786137943,3.4524990487788925
"16x, 4 bands",0.025783098846727175,31.756938191368196,0.9464791888555864,0.9850754701142876,3.0713719662679684,4.327698785013405
"32x, 4 bands",0.05016596489294082,25.99122849829433,0.9023509551631964,0.9462540659636381,5.438370898752728,7.180024629111634
"8x, 1 band",0.055330174876014306,25.13168291003616,0.8334283498157907,0.966476858690016,4.575155054283736,6.340958941464017
"8x, 3 bands",0.021358414810662984,33.383452437149856,0.9502164313823585,0.9902214550762962,2.7947518581534876,3.2910703025099917
"8x, 8 bands",0.022593057681317887,32.89699033952579,0.9477253084638182,0.9892989408867603,2.9518418362782057,3.3773863912592046
"8x, 16 bands",0.022391133245766373,32.97004963350199,0.9482185821819059,0.9886599211063611,2.8047006305316136,3.3245207270833057
Hermite PSF,,,,,,
"4x, 4 bands",0.02144464631098675,33.34923738692603,0.9518625318266487,0.9911545634023746,2.8583024612862964,3.0819207320575037
"8x, 4 bands",0.02236784027580891,32.987169867557206,0.9482731151444254,0.98912547713388,2.8994969828433437,3.448662616899461
"16x, 4 bands",0.02649296404429528,31.523514176340505,0.9444529099557852,0.9842718242393396,3.116115860616231,4.32887955396617
"32x, 4 bands",0.037382426076421726,28.540620731279933,0.9335419553638362,0.9673891348846663,4.078698246447364,6.460681485443762
"8x, 1 band",0.05916149774572277,24.550371154832412,0.8256846225303525,0.9656339163336071,4.701351117651124,6.201024160182911
"8x, 3 bands",0.024133101617633577,32.32628126722159,0.9463286948089933,0.9891633614596129,2.9920639886470517,3.4423039242255906
"8x, 8 bands",0.02351026506044033,32.555437862103226,0.9473253541670731,0.9880585452306826,2.9587376210735714,3.486877098418859
"8x, 16 bands",0.02047531170998657,33.747251382148676,0.9529285581959432,0.991400735683545,2.5603713743115386,3.162908206037049
Parabolic PSF,,,,,,
"4x, 4 bands",0.021971877283915853,33.137282611416296,0.9527271280223589,0.9927667162994219,2.7316625577040075,2.933527401819572
"8x, 4 bands",0.02209493901975807,33.09135071614075,0.9479800485797862,0.9895985046954521,2.848818770634448,3.3651910884961467
"16x, 4 bands",0.026042865153709863,31.671175701066694,0.9441315187565829,0.9830796114685432,3.169316594220601,4.401265471903143
"32x, 4 bands",0.03824092688356531,28.343883308049612,0.9278590487651435,0.9658302745999543,4.193584397423377,6.472341045243796
"8x, 1 band",0.061758614476309086,24.17807987894998,0.8213398325287047,0.9701315328493502,4.643111201501492,6.111704495746185
"8x, 3 bands",0.027761358570267968,31.11357697601665,0.9387442856569593,0.9887352101269811,3.1028949693632484,3.6547454324146127
"8x, 8 bands",0.0220842000960792,33.093386112856024,0.9489319642542126,0.9905163694855623,2.9142399731602446,3.340414363838514
"8x, 16 bands",0.019766622201059136,34.05102816798007,0.9533122035890496,0.9913432755727316,2.55543682652049,3.1439042718885464
Gabor PSF,,,,,,
"4x, 4 bands",0.021167898792634043,33.46055740403521,0.9528156148481235,0.9912950525358843,2.8340756581300677,2.994950225808439
"8x, 4 bands",0.022324187083297784,33.00312813214849,0.9481394341651334,0.9893589363438525,2.960653207813782,3.4038155948091573
"16x, 4 bands",0.028090462203042343,31.015694282659332,0.9423284444490395,0.9829766886443845,3.3249823437234323,4.526430395990919
"32x, 4 bands",0.03823836591279898,28.343691750078758,0.9319187570049415,0.9678843126244243,4.037288958112404,6.614011548347732
"8x, 1 band",0.06458086721506608,23.788448655313307,0.8063401317212281,0.9633511011443151,4.852037845863621,6.4247346267288075
"8x, 3 bands",0.02274085568551135,32.84143109482487,0.9480361435344882,0.9888491288806005,2.8879573139291166,3.3763452142976007
"8x, 8 bands",0.022318827611891627,33.00235569278054,0.9490890660976972,0.989734810684717,2.8541330290023352,3.3767027320119687
"8x, 16 bands",0.01995401387867597,33.96923569435864,0.9541030951764189,0.9912411799383677,2.5558172536057495,3.152257593243472
Delta PSF,,,,,,
"4x, 4 bands",0.04245693392188697,27.428701487752353,0.9058892307948891,0.9893077063862109,3.270346440893705,3.9570679612127715
"8x, 4 bands",0.023119601679967273,32.698857195894206,0.9469997520387015,0.9899343272839219,3.024382662602223,3.410061375918311
"16x, 4 bands",0.02720543306033409,31.29235703372551,0.9413465642852008,0.9826575028454858,3.2432514402548533,4.387982461514761
"32x, 4 bands",0.03682099002765812,28.671914232667078,0.9323246923031953,0.9680148532520012,3.9207115053766124,6.331659212022221
"8x, 1 band",0.059153960271734675,24.550152691611853,0.8300238012113954,0.972570791508961,4.58852938745205,5.84430600483477
"8x, 3 bands",0.024051650725789474,32.35599993590685,0.9459465911547283,0.9889467584320191,3.06019239876626,3.4627526568269626
"8x, 8 bands",0.02040254550000261,33.78036285986261,0.9507897085346126,0.9905263270073162,2.6863685167743867,3.2459596778064075
"8x, 16 bands",0.022543083268659888,32.916382868149576,0.9486243501403561,0.9903548381065208,2.9649048008421772,3.337247077054332
