Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.021053913042697662,33.507734963521926,0.9554198965071732,0.9926101557106769,2.5413408174366423,3.007053534461113
"8x, 4 bands",0.024097388631408832,32.3414143614429,0.9473775402180826,0.9897146733576626,2.9044802922957813,3.526873618981396
"16x, 4 bands",0.02919603841971719,30.67984570630258,0.9303635993393963,0.9868149717064785,3.4578074430526002,4.180830081064267
"32x, 4 bands",0.042002260098846014,27.52896692232283,0.8578103569347588,0.9725003642943201,4.610688805728816,6.123501086216443
"8x, 1 band",0.052944831020515976,25.51435678310711,0.8401303975434167,0.9747686703771661,4.458174583497429,5.97709598135722
"8x, 3 bands",0.02376005569349572,32.463892979332485,0.9473243306513888,0.9898823320384132,2.9571053753775534,3.4660204754579906
"8x, 8 bands",0.025117572327059936,31.98255729094206,0.946210000344315,0.9900826137183679,2.9440293255917305,3.602000150322836
"8x, 16 bands",0.022877196200902696,32.78802075155041,0.9523604200734722,0.9912131587561485,2.7293670122957057,3.3877563259665764
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.022065025970977873,33.103334428992625,0.9528807753570538,0.9917731781324692,2.7335739219831274,3.1175469987682902
"8x, 4 bands",0.022955189609139396,32.76239560559576,0.9486960145143524,0.9902035051661695,2.8613435420611606,3.4355958246869918
"16x, 4 bands",0.030068183693441757,30.425785219080808,0.9258511551326809,0.9863868348480945,3.4820204483733472,4.297277549336991
"32x, 4 bands",0.03734342516970885,28.549928594034068,0.8717176831112801,0.9740947338390303,4.255212396648514,5.613716257134201
"8x, 1 band",0.0579895446440017,24.724728158732418,0.8195804681117814,0.972816309509639,4.577924600452311,6.2301322919913895
"8x, 3 bands",0.02479251480116119,32.096660851057955,0.9444670806216584,0.9898046661791373,3.028976135070683,3.5869020171625223
"8x, 8 bands",0.02188226668024407,33.175294128025314,0.9540971912787711,0.9917615913016099,2.6510029694305195,3.2314064656758146
"8x, 16 bands",0.02374176522018613,32.46640010925355,0.9498498735869076,0.9901943542897191,2.7739912333484114,3.4695510429286522
Airy PSF,,,,,,
"4x, 4 bands",0.01974946603985256,34.05979015721732,0.9568150677699145,0.99275504390022,2.4787293079295716,2.909978830552072
"8x, 4 bands",0.022070034656617925,33.10132734461969,0.9520135117594282,0.99109561203996,2.728999431307973,3.346694082450106
