Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.014904361281255878,36.48156468092479,0.9669502357102719,0.9951822761042352,1.9577229640560052,2.4208508413974763
"8x, 4 bands",0.01826905943143097,34.72854083699104,0.9623560237215414,0.9937701614391925,2.2245924317814008,3.06155780370758
"16x, 4 bands",0.02031021194515545,33.813202957349716,0.9607035577486168,0.9914349072211202,2.3036085137910507,3.3731681091164867
"32x, 4 bands",0.02955841877378356,30.56672951164563,0.94730145751511,0.9839514728611634,2.8698082282098833,4.815174935605915
"8x, 1 band",0.06100368375423569,24.28261518042976,0.8142435849426711,0.9755683508230535,5.214892715439777,5.994020336346865
"8x, 3 bands",0.02168325167731865,33.2488028895682,0.9536636994048837,0.991299940042091,2.624227558225487,3.460057079982335
"8x, 8 bands",0.014814517688640175,36.53414124876837,0.9730376487295768,0.9949383716626337,1.8579447969491982,2.5800514518930724
"8x, 16 bands",0.026340010860366157,31.564110658898528,0.962382908890043,0.9924819087633813,2.4869307037866846,3.6253103052996196
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.015261489254987215,36.274792081424486,0.9667925665208535,0.9952478933845601,1.9584503914747304,2.4724783203428986
"8x, 4 bands",0.02079966462462548,33.60803379025662,0.9579996225293356,0.9929816102953556,2.3728104781846104,3.4471226226850344
"16x, 4 bands",0.02460977343103323,32.15186955346911,0.9548641509438363,0.9897448479089411,2.462212970503298,4.099985827613881
"32x, 4 bands",0.03290673620942283,29.639252414653075,0.943731098707831,0.9836716590308044,3.0227820406505055,5.425848488918415
"8x, 1 band",0.06069858220179608,24.32603707188172,0.8148881388818042,0.974509257825206,5.256635631823206,6.021931050616476
"8x, 3 bands",0.025583686363434402,31.81716630817633,0.9468364199074377,0.9903884624060743,2.9295502718082287,4.037022155636941
"8x, 8 bands",0.015718387294971777,36.024074358262304,0.971994948638668,0.9945337157304704,1.9280044546994914,2.7160277116633322
"8x, 16 bands",0.03347010600007729,29.49231162482606,0.944737365485042,0.9892617801991705,2.933838044666275,4.494390832368035
Airy PSF,,,,,,
"4x, 4 bands",0.027105404662269184,31.31637243649632,0.9509351368873503,0.9922940160284326,2.8583769715031933,3.630998999104594
"8x, 4 bands",0.04964278057231501,26.074620305767887,0.8767447968448665,0.9811118968481547,4.621018849749705,6.953956893528437
"16x, 4 bands",0.046327850068068145,26.672999413566316,0.8967421178716812,0.9810682620618474,3.8803167922529282,6.992158141556318
"32x, 4 bands",0.04033502543075952,27.872697231159748,0.9304945163617164,0.9797824422185005,3.4037648345964717,6.29328592860462
"8x, 1 band",0.07258400745755486,22.77454119071966,0.7533257071870276,0.9605498519118463,6.825398289965438,7.007168336031067
"8x, 3 bands",0.05453533335398309,25.258102060453943,0.8541061079016636,0.9759346063999822,5.261640572408698,7.409187721049316
"8x, 8 bands",0.04227029153998285,27.47020921607514,0.9047043837970913,0.9831761212292998,4.220631460902701,6.161480779983122
"8x, 16 bands",0.0640067731183427,23.869213434759153,0.8111521693891178,0.9717694826318662,5.514520066395246,6.878066661660425
Moffat PSF,,,,,,
"4x, 4 bands",0.017581386349485757,35.055227708035105,0.9645421389355704,0.994474727393525,2.114541508223428,2.879776160929099
"8x, 4 bands",0.03275462688504103,29.678496917149303,0.9368605933743571,0.9893052971333238,3.1590565728264823,4.992500306837787
"16x, 4 bands",0.03442718785574165,29.247010308484043,0.9369600646566745,0.9866232685517166,2.856965247858752,5.378720183645328
"32x, 4 bands",0.039611456423754944,28.02998010444993,0.9321337566642603,0.9813610652867549,3.243671206828914,6.0476693378432
"8x, 1 band",0.06631849796261688,23.558683896267098,0.7895868605539277,0.9686430865038972,5.9333379814519365,6.382106989231935
"8x, 3 bands",0.03878555135421684,28.212955999725516,0.9159699133952883,0.9857563733686516,3.8693014660272587,5.607517006688768
"8x, 8 bands",0.027378207229931804,31.234489224626962,0.950704005540597,0.989910996722487,2.924236886439121,4.385010902338982
"8x, 16 bands",0.04956969196410347,26.086123150006504,0.8895949865350103,0.9829076759118066,4.185727190228175,5.585433724441648
Sinc PSF,,,,,,
"4x, 4 bands",0.0317287733910552,29.953110317268568,0.9449234692951588,0.989777787190828,3.3756389517329026,2.985628725138664
"8x, 4 bands",0.06417299166041027,23.84526583320056,0.8098839616397424,0.9697400416043234,6.088280323074201,8.34019629266177
"16x, 4 bands",0.06558433632863916,23.65763753691521,0.8091213598183129,0.9650477711648161,6.037841557526613,9.208878534324208
"32x, 4 bands",0.05110110345067734,25.821457003065525,0.9053687870673313,0.9737206043128624,3.9695300441693915,7.559553481853501
"8x, 1 band",0.08730963000920915,21.17264567992565,0.6651024654004832,0.94271377485169,8.392250135958053,7.020196921872866
"8x, 3 bands",0.06878209144914064,23.242927799100826,0.7833332150947246,0.9627556267737456,6.837779780564354,8.61455389256378
"8x, 8 bands",0.05114430867268265,25.816606971324386,0.8735068138624839,0.9756166499853458,4.785065943576533,7.271330597936364
"8x, 16 bands",0.07632738188803298,22.3415290477313,0.7305402553414838,0.9587130621842839,6.9513738267548435,8.071169655406953
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.015000023464426112,36.425769411971366,0.9668212100764654,0.9952531174582732,1.9604039806292533,2.4567095479834546
"8x, 4 bands",0.02034639088658436,33.79661505058418,0.9599019361389416,0.9933423658161945,2.3133395222232656,3.415226706478133
"16x, 4 bands",0.02183288303799655,33.189800054705366,0.9588865150012362,0.9907190436661774,2.3724006382161784,3.657250831179538
"32x, 4 bands",0.03302675508112469,29.60809557839662,0.9416483902777657,0.9825353219504916,3.06658323649343,5.472298471029557
"8x, 1 band",0.06230532065619745,24.099440994077028,0.8081913364066547,0.9740587764206157,5.286567476878912,6.063072695082048
"8x, 3 bands",0.025306690368916942,31.911300100090333,0.9471858630746872,0.9904655496545359,2.868681410442841,3.9947556643924327
"8x, 8 bands",0.016920189730561946,35.3928046563939,0.9695896824786419,0.9932098204330289,2.0595841452293415,2.967848675512063
"8x, 16 bands",0.033439752844443345,29.4983693875235,0.9446797699324622,0.9896618639807286,3.002960732832815,4.222361900086176
Hermite PSF,,,,,,
"4x, 4 bands",0.014833835114761629,36.52453140824143,0.967037777162447,0.9950750657437822,1.953268752259096,2.4091135881956323
"8x, 4 bands",0.01648296346245252,35.61180109956889,0.9654955040292533,0.9946960119043189,2.0433175857318764,2.6707111140675903
"16x, 4 bands",0.019173423974875894,34.30980593453751,0.9623533575900856,0.9922763467480236,2.226207471297201,3.115980751014242
"32x, 4 bands",0.02741075334300493,31.221524159084815,0.9497050968951151,0.9847151672575525,2.81962117540033,4.514496347963614
"8x, 1 band",0.062407449358740846,24.085150372485067,0.8085550718114329,0.9748769191648575,5.19628689500961,6.018972298045391
"8x, 3 bands",0.02003715040189034,33.92772603923603,0.9566464006615746,0.9923405156118685,2.4777987942914335,3.1347823408085826
"8x, 8 bands",0.014054573895544275,36.987636606135716,0.973873715137193,0.9956500378993111,1.771971453519102,2.371161428629045
"8x, 16 bands",0.01756024684612211,35.065135423006936,0.9772497697654695,0.9944743851913848,1.8129160056754108,2.628043776096167
Parabolic PSF,,,,,,
"4x, 4 bands",0.018798840714552657,34.47907715282198,0.962935774763478,0.9945482966884621,2.2134469567576334,2.9858985176108797
"8x, 4 bands",0.0368756332693955,28.65197812489717,0.9241913935648899,0.9880983765146006,3.450101899964617,5.487160535776681
"16x, 4 bands",0.03663115241117414,28.70967278674733,0.9243412357762012,0.9843710815733886,3.52852391468193,5.7355446338124265
"32x, 4 bands",0.036039700307392154,28.848716315101647,0.938822936256447,0.9816650417288184,3.170974832982986,5.761239805470014
"8x, 1 band",0.06693702859095528,23.478259857296763,0.7856853423421347,0.9676422925717768,6.1209292171365535,6.522573244607832
"8x, 3 bands",0.04154840355875081,27.61679178341317,0.9061443023559543,0.9844433758687876,4.077775902890533,5.933734525411394
"8x, 8 bands",0.029826891908532847,30.491846295301936,0.9449535815719832,0.9893159420776387,3.1034697423157986,4.721078834505235
"8x, 16 bands",0.05328141906851925,25.45947615911966,0.8688946905271009,0.9801174745405,4.493408575525967,5.909803250106961
Gabor PSF,,,,,,
"4x, 4 bands",0.014820256372439935,36.53044784877165,0.9667791110183971,0.9953362320654499,1.938170715523203,2.4190470311263583
"8x, 4 bands",0.01704607297811473,35.323941988467816,0.9642450021153562,0.9941053633388975,2.1043596442821526,2.867227395876493
"16x, 4 bands",0.01923473248343376,34.28183949734697,0.9624338086289271,0.992306298003107,2.2366347661034283,3.161922737805863
"32x, 4 bands",0.030497315044836344,30.297410870358867,0.948300874545155,0.9858650038216353,2.812357042316061,5.023593889260623
"8x, 1 band",0.06115574667365635,24.261535794970996,0.8123040748069814,0.9760416946652705,5.140795470900582,5.966508334370054
"8x, 3 bands",0.02037036931345676,33.78770361742318,0.9556935451263867,0.9922114569498809,2.4888659854818354,3.2688751759152117
"8x, 8 bands",0.013926878490563203,37.064712163391945,0.973884321553484,0.9952880804100134,1.7693342923417996,2.4120791709558875
"8x, 16 bands",0.020787536005501643,33.61049889861895,0.973472669653163,0.9940928411181291,2.1734881429622597,2.9765048730679964
Delta PSF,,,,,,
"4x, 4 bands",0.03682970283058464,28.662242507267845,0.9250347257289094,0.9892615215980264,3.733160817282454,4.42027004638188
"8x, 4 bands",0.05634084939119503,24.974779445426144,0.8486396022169793,0.9770885138708407,5.187505374055736,7.7539210288382
"16x, 4 bands",0.055488172792483414,25.10907287545752,0.854690068858521,0.9743491859334745,4.985681809064058,8.102744766166275
"32x, 4 bands",0.04423165028538448,27.073468691430147,0.9199133030599478,0.9773284981783837,3.53158785880547,6.805133474816206
"8x, 1 band",0.07595970639807412,22.379697431190515,0.7375842177922521,0.9564318112683986,7.327220779702019,7.519704450688354
"8x, 3 bands",0.0592183045337754,24.54247535736822,0.8281928395669882,0.9712808361011213,5.787384295098576,8.023858642573567
"8x, 8 bands",0.049108638443098464,26.170269062204255,0.8748992379256458,0.9784097937073434,4.813562434863793,7.026403429394292
