Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.014662635284639479,36.62280804451213,0.9656243085984113,0.9947799357162287,1.9731771829343314,2.372205380354999
"8x, 4 bands",0.015676346271329862,36.048661691165506,0.9636872056015386,0.9936691143484594,2.0552000512868025,2.6458195568545366
"16x, 4 bands",0.01749493663602115,35.10728966657745,0.9615915664143516,0.9900903615279619,2.298525872036925,3.0012506484309527
"32x, 4 bands",0.023058569788348235,32.72590375707617,0.9556393977720627,0.9787324107089622,2.940840971576282,4.062883386268725
"8x, 1 band",0.06525167190707168,23.70279283727871,0.7998146303905327,0.9644275813692512,5.169192240215692,7.569836331648956
"8x, 3 bands",0.016812340902489474,35.44878461714475,0.959275996030821,0.9928853913355572,2.2505794795520795,2.7669100596589886
"8x, 8 bands",0.014343716504550673,36.807513194357355,0.9708485217859175,0.9948547962500339,1.8553012290106,2.3972847677702283
"8x, 16 bands",0.012749037862485203,37.81905505560858,0.979884603056622,0.9960049819739997,1.5281890049606046,2.1192111180729074
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.014667833921828497,36.61877460659278,0.9659562745978542,0.9949942298074341,1.9591486805043288,2.365430686471993
"8x, 4 bands",0.015406287909017704,36.19812164176379,0.9638518001643922,0.9935745166631293,2.0548629862942045,2.6070234420386296
"16x, 4 bands",0.017566616535303576,35.07089202302267,0.9614249327439309,0.9901496837419832,2.3017199938693214,3.0241938941832602
"32x, 4 bands",0.02270739768906114,32.859236309314596,0.9560571467170769,0.9794103744071909,2.9173505606526864,3.9849850787847294
"8x, 1 band",0.06390745539647287,23.882918471837222,0.8034580995836493,0.9667278710675892,5.058584237435174,7.280972263723484
"8x, 3 bands",0.016995698324127125,35.3545621906007,0.9592563660253551,0.9926031768005089,2.2711420048387994,2.7954243918964994
"8x, 8 bands",0.014137389357335117,36.93389497490409,0.9711807765225352,0.9948069976233849,1.837896466737746,2.393835522239372
"8x, 16 bands",0.012577633616309916,37.93095283118544,0.9805238692894414,0.996324608072009,1.498156644604061,2.1011237099336557
Airy PSF,,,,,,
"4x, 4 bands",0.014025542458711257,37.004009942182954,0.9671871664384527,0.995227874911737,1.9176655123878523,2.3118766672938036
"8x, 4 bands",0.0160282690159404,35.85520350873115,0.9635347838574214,0.9933858340068137,2.0678008127917415,2.5994681855995374
"16x, 4 bands",0.017571827465173627,35.069106199464784,0.9611482499659256,0.9894412988239804,2.3136499287685393,3.0156036506415
