Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01864264791673401,34.554210353562745,0.9585436170220216,0.9930062727719237,2.3451206922091345,2.981528263759129
"8x, 4 bands",0.019554812287042922,34.141632560700685,0.9550272306437113,0.9919234923865093,2.4155541932031563,3.1657995104900802
"16x, 4 bands",0.02158792166787847,33.28811526343146,0.9487472826448239,0.9898243162087528,2.588055301558744,3.620967585647961
"32x, 4 bands",0.0341214026348315,29.329256104591778,0.91098718712503,0.9725488276815194,3.597496962117741,5.730845463663457
"8x, 1 band",0.06775939603979825,23.371750421183716,0.7797296276689722,0.9646191330315337,5.791746751534461,6.961838504943808
"8x, 3 bands",0.021664688677972818,33.2559337430676,0.9495547676031985,0.9905223433680207,2.717022129606048,3.4550499109904806
"8x, 8 bands",0.01693218696859983,35.382989635639966,0.963209139967795,0.9938351575386891,2.0990738578597945,2.841212912875207
"8x, 16 bands",0.01673516411669914,35.48410641075037,0.9659621454528143,0.9949122025444537,1.9504400681647007,2.70016630486327
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01860209859049666,34.572612641692146,0.9582909479915764,0.9929458770750216,2.3330863809405638,2.98465990549358
"8x, 4 bands",0.019435841909477253,34.194126164860144,0.9556549291367299,0.992422309099772,2.398689085826955,3.145384501947735
"16x, 4 bands",0.021423210992137964,33.356576357173786,0.9479940604849526,0.9895577795434344,2.5869116874430755,3.620444649289632
"32x, 4 bands",0.03400691175050662,29.362558691660325,0.907163897589885,0.9707050750470181,3.633217732697015,5.773982377140319
"8x, 1 band",0.07230021624729377,22.808564461133432,0.7480633117872422,0.9613332218999552,5.955493382773791,7.277363362520778
"8x, 3 bands",0.021501453142091898,33.32243153329082,0.9503578472595825,0.9908314802040138,2.7246727714811425,3.4211986396902514
"8x, 8 bands",0.016884182168472536,35.407732385072414,0.9630661631262046,0.9938867968835478,2.092048810090737,2.834832448973357
"8x, 16 bands",0.01674386288132456,35.47980236421315,0.9656918317856459,0.9949442610651155,1.9569528728422707,2.701731912287084
Airy PSF,,,,,,
"4x, 4 bands",0.02048002522904754,33.742741253010166,0.9556365881769527,0.9927872649944401,2.422070733871553,3.0292155773271006
