Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01940270267513395,34.21007313632583,0.9612089760690306,0.9924150125575204,2.336174921722333,3.073290788041193
"8x, 4 bands",0.02469033330522202,32.12197675374943,0.9547028876914133,0.9869481770916025,2.665904406037097,3.2681629152508265
"16x, 4 bands",0.040939105319006255,27.74399696036769,0.9181022838010209,0.9694695302243131,4.1347413059940505,4.3435439701141885
"32x, 4 bands",0.0997591899873663,20.019408165495047,0.5964664446830626,0.8871428995197591,10.81519389212444,8.389778343394184
"8x, 1 band",0.11449084036923475,18.817683335483583,0.6785142610595842,0.8991647441620686,8.437888150785975,11.8770552213229
"8x, 3 bands",0.02491701962758292,32.043301949863036,0.9528492798020363,0.9876142235937329,2.8067546449732994,3.4133159610578216
"8x, 8 bands",0.02403938787167128,32.352031701183755,0.9567902201186103,0.9870753436950057,2.5980660478573525,3.2494193820644304
"8x, 16 bands",0.026569054453300458,31.486264487822318,0.9373766084689986,0.9843299825128157,2.8807271526284284,3.4499597125115287
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.019154459556294048,34.3185695125284,0.961808956409059,0.9926045984837488,2.289236123307821,2.9272562209444426
"8x, 4 bands",0.02661372059721339,31.4735463666012,0.9514604413654485,0.9852716420331008,2.800687894641677,3.369754722078773
"16x, 4 bands",0.04610241023153826,26.714158631387377,0.9033696449875291,0.968551813279228,4.469042330320155,4.637298453485389
"32x, 4 bands",0.09092827420269829,20.82206906529371,0.6890034653805643,0.9039140711063145,8.930124551178134,7.962170081537304
"8x, 1 band",0.11381994474128496,18.869191086495693,0.6759874065647621,0.8969300083149973,8.467169174707209,11.942999843985728
"8x, 3 bands",0.027577175634618343,31.167723321034856,0.9468548773782167,0.9829788171058063,2.981063759441667,3.523165893479137
"8x, 8 bands",0.02842588628565358,30.90483685750073,0.9425178377670721,0.9827974359543852,2.948047018006094,3.505860968886675
"8x, 16 bands",0.028235659007064613,30.957677636928654,0.9433263863244276,0.9843192386123691,2.8682580927702506,3.274097709309333
Airy PSF,,,,,,
"4x, 4 bands",0.026601550088192254,31.475147845491836,0.9514138644210285,0.9887166673395755,2.8019888633534964,3.242131570220027
"8x, 4 bands",0.05210902922285687,25.651878691782,0.8898002915283456,0.9606939586582113,4.739343864468383,4.602881130257694
"16x, 4 bands",0.08113319238856644,21.811144608436344,0.741589893320864,0.9228359934491295,7.641450184558083,6.689243520734483
"32x, 4 bands",0.11809875989114622,18.55177098717735,0.5245130993493372,0.8663492956438648,11.678010690614462,10.11999588752629
