Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.016629204234053042,35.54329535883693,0.9654904801841582,0.9944756904765665,2.039217575847459,2.6941612879223595
"8x, 4 bands",0.0171681862039624,35.27126782977708,0.9651258732323117,0.993666360741924,2.0774776480745922,2.8264411346911733
"16x, 4 bands",0.02015047383618843,33.90064159806781,0.9592775157868476,0.9879461760124103,2.362743566997797,3.397987095569609
"32x, 4 bands",0.030759830623939045,30.232183256869448,0.9339698896820393,0.9721963534955675,3.3009628829346993,4.941840793763802
"8x, 1 band",0.11573043047404809,18.724565687862558,0.686154188925132,0.9029076385893228,8.489285051495505,12.120104941616866
"8x, 3 bands",0.02002350100463982,33.94714080321554,0.9587645275912869,0.9920772721939375,2.485050903156418,3.470740136174469
"8x, 8 bands",0.014890240149928945,36.50054680957292,0.9717453206743193,0.9936573589188489,1.835897392785931,2.6648990499707326
"8x, 16 bands",0.01461129340779643,36.66108421567761,0.9788622941369438,0.994934856443932,1.5910577335559741,2.5148611382467085
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01655154347604038,35.584299485817525,0.9656240621683254,0.9946138007161994,2.045694780963533,2.674139869030937
"8x, 4 bands",0.016660254999073636,35.52950114018883,0.964879962128759,0.9932100607641942,2.0685789965756927,2.780471827142872
"16x, 4 bands",0.01921350534021185,34.308959202783925,0.9606841340809278,0.98939887786054,2.256838955696907,3.2576508272313536
"32x, 4 bands",0.029673812559571647,30.54540117852811,0.9385382554955404,0.9777995845457392,3.1081342439311146,4.493431190789648
"8x, 1 band",0.11701467621796258,18.628743446533342,0.6836190346689194,0.899925838379554,8.55714300974342,12.192805475142482
"8x, 3 bands",0.019173733976179157,34.31713437383997,0.9589355873073612,0.9920096510234867,2.434964057234894,3.0485859938132567
"8x, 8 bands",0.015109104920114219,36.37060527946642,0.9721597374715392,0.9940894399823132,1.867887948410005,2.681156180855832
"8x, 16 bands",0.014273891873347468,36.85725012583504,0.9786891439363251,0.9952426516397304,1.5807897088743927,2.3359951324701766
Airy PSF,,,,,,
"4x, 4 bands",0.015975254427306244,35.887044730215095,0.9662226228429149,0.9950601713801841,1.9905438688811414,2.551998370867949
"8x, 4 bands",0.016481731481155122,35.621927448893025,0.9658606728720456,0.9942187614121669,2.030721539131323,2.676622642794236
"16x, 4 bands",0.018588776954167788,34.59340879419483,0.9614038389781167,0.9899694416495403,2.238425161622207,3.281860859631287
"32x, 4 bands",0.02926283800456716,30.666170069973603,0.9372231802327342,0.9758397694316431,3.170949408470911,4.871976496291034
"8x, 1 band",0.11213069588855236,18.99893174938283,0.6909972275451428,0.9075068225538546,8.243418077635432,11.73634820177876
"8x, 3 bands",0.01894626920759443,34.418653051931294,0.9595961203266218,0.9926566879596226,2.4294945191823514,2.910083417823738
"8x, 8 bands",0.01413863670947839,36.93604102986305,0.9737118817576162,0.9957920754605696,1.7583927156274153,2.4116147180923266
"8x, 16 bands",0.013424934552759414,37.3795234523743,0.9800512436748625,0.9962093007999433,1.5060514508028755,2.1933483392017528
Moffat PSF,,,,,,
"4x, 4 bands",0.016266166325842907,35.73248290049441,0.9659550867660432,0.9949417687958807,2.016945183309011,2.6156192351090906
"8x, 4 bands",0.01657369423216845,35.57115731002349,0.9659989402642469,0.9946732729061438,2.0420064052048787,2.7617419543348163
"16x, 4 bands",0.020628135426080437,33.70217639173057,0.9572274550456131,0.986203002109131,2.362489829375742,3.275014875648819
"32x, 4 bands",0.02943738040591162,30.612142292375424,0.9407083913897146,0.9781561046977101,3.099175199296561,4.624350976139984
