Pavia University,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.015758302784528045,36.004164401891956,0.9667549834212432,0.994927645105223,1.9941127233609832,2.5583662416085162
"8x, 4 bands",0.015839901214113543,35.95908738730312,0.9667103615603924,0.9949181848208821,1.9969135219215288,2.565905062904918
"16x, 4 bands",0.01574916024741577,36.00896116259471,0.9668081430363707,0.9949640693369164,1.9924014369136673,2.553610722398895
"32x, 4 bands",0.01587440797605167,35.941450907862695,0.9666698905900769,0.9948689563678834,2.0019581139906597,2.570583529042965
"8x, 1 band",0.06602771047639673,23.596561077510962,0.7997236310594735,0.9695360157367833,5.338025990949272,6.386476175866628
"8x, 3 bands",0.018185433424758406,34.771088925124324,0.9604342673522912,0.9927516116550877,2.3326952496546935,2.8521689631907305
"8x, 8 bands",0.013849050595408221,37.11084534853584,0.9738808322032407,0.9956932532341201,1.8054503298152371,2.3127498642905078
"8x, 16 bands",0.012564556845564423,37.941142716114754,0.9784503240003939,0.9964421848749202,1.5949431021756828,2.0194877948697822
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.015776371976081522,35.993390943319895,0.9667895562836177,0.99492512536508,1.9931612088120558,2.5593734810676816
"8x, 4 bands",0.015877743059825988,35.939007852487094,0.9666997469936565,0.9948582302662605,2.005576464575785,2.571286825084065
"16x, 4 bands",0.01582702079011355,35.9660024330421,0.9666993780162045,0.9949413348277629,1.9985245281510522,2.5628310508915892
"32x, 4 bands",0.01583154133520319,35.96396384604374,0.966753112088934,0.9948790002274768,2.0020680805170916,2.5660800865023994
"8x, 1 band",0.06482430499602769,23.756705072236173,0.8045590097522204,0.9708377628895373,5.2627774519782635,6.236171886764973
"8x, 3 bands",0.018189054440919807,34.769391626521944,0.9604981224866425,0.9928058706210556,2.3290098968127735,2.851188617601422
"8x, 8 bands",0.013697429593693569,37.204010474300006,0.9740044228853623,0.9958241263246793,1.7806188468913215,2.2839027737743702
"8x, 16 bands",0.012298704375291977,38.12427004096003,0.9796211137459808,0.9966958105857356,1.5430291976439667,1.9747814319876984
Airy PSF,,,,,,
"4x, 4 bands",0.015734559831722703,36.01716089478153,0.9668250995168591,0.994948225985362,1.994008951133954,2.5536768898564794
"8x, 4 bands",0.015795200881472894,35.98297503193515,0.9667860549894196,0.9949473287983002,1.9958251408811885,2.562230634574863
"16x, 4 bands",0.01577812248326306,35.99291346976783,0.9667917590971915,0.9949240595333885,1.9978190158030398,2.559376255832032
"32x, 4 bands",0.015805625020691962,35.978002069754396,0.9666710121369734,0.9948981915605413,1.997847720440081,2.564363361143199
"8x, 1 band",0.06301060803438807,24.002755358204013,0.812982847184624,0.9722066779872763,5.1681664639132405,5.9915695790953
"8x, 3 bands",0.018258128282367916,34.736746634489926,0.9604234326746249,0.9926520078021344,2.341419520283381,2.858401083921544
"8x, 8 bands",0.013622511541901,37.251434597839705,0.9741122041844077,0.9958599121272643,1.7775249231661485,2.2741552400551157
"8x, 16 bands",0.012610184836382451,37.911026344498076,0.9784748966725811,0.9964733466712844,1.5970018256855387,2.028762551432425
Moffat PSF,,,,,,
"4x, 4 bands",0.015810340952528798,35.975172268700774,0.966674112420702,0.9948935350947988,1.9981713648715433,2.56578788247197
"8x, 4 bands",0.015796080938952795,35.98262531235099,0.9668108201018406,0.9949565430664888,1.995575204161901,2.559179034119748
"16x, 4 bands",0.015766494883013977,35.99882530434151,0.9667567946962438,0.9949341295560662,1.996179524738502,2.5602680224055416
"32x, 4 bands",0.015789985046293947,35.98718052587717,0.9666238383048399,0.9949096445476581,1.9975754663832082,2.5660655723504133
"8x, 1 band",0.06352419144618303,23.932836805892652,0.8105641959644796,0.9720563456246542,5.193251272671826,6.059211930653698
"8x, 3 bands",0.01820230690739417,34.76248643862475,0.9604526973168741,0.9927811419293291,2.332723789727352,2.854447898495988
"8x, 8 bands",0.013773290721609956,37.157291951929025,0.973851243298552,0.9957890930331001,1.7951036366660265,2.2923973946677507
"8x, 16 bands",0.012411632914803785,38.046598678923466,0.9787732810764617,0.99650464886287,1.5830497789029099,2.0014550282438908
Sinc PSF,,,,,,
"4x, 4 bands",0.01582715369772371,35.96537890195041,0.9667600005004532,0.9949329778799817,1.995561060151094,2.5590430706665823
"8x, 4 bands",0.015809432972671834,35.9758395126136,0.966758583117027,0.9949194584473895,1.9961311294531683,2.5604127370385816
