Washington DC Mall,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.012888102758368023,37.70508632713086,0.9916942383434957,0.9920597080312556,2.509178567507968,1.8893075909405126
"8x, 4 bands",0.012794680407460445,37.775683872257424,0.9919979979494673,0.9941077426353122,2.672329891987001,1.9449446043721441
"16x, 4 bands",0.01511843224978263,36.34380473903021,0.9889243766881594,0.9886699926889339,4.590910207381675,2.2251046634174925
"32x, 4 bands",0.03030035996886255,30.34820412570491,0.9665018610279615,0.9673566715232524,12.357180732051647,4.084076182602805
"8x, 1 band",0.09948318815341965,20.03696102689591,0.7983927519204029,0.887925734323439,10.681385243296267,12.609071354108908
"8x, 3 bands",0.015919309849639244,35.89404805508925,0.9877597268594974,0.991676483603911,3.1514910467521364,2.2366777786358445
"8x, 8 bands",0.008375818195572681,41.36803119418691,0.9949628385622873,0.9935501081479743,2.109339295207549,1.281243490056075
"8x, 16 bands",0.009464958422920285,40.32171524958304,0.9953311750034725,0.9938064470050576,2.1418456591001607,1.3651563127127955
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.012442252758656371,38.01088930547905,0.9916978648969882,0.9927595286619902,2.656771921398049,1.8323510703385995
"8x, 4 bands",0.01401000160738009,36.99650696357148,0.9910222234104848,0.9924708745385269,2.2283668693555723,2.037412559129423
"16x, 4 bands",0.01547498646320433,36.13455465073528,0.9904070334728107,0.9895557803484727,4.2087381907743,2.1604272542891145
"32x, 4 bands",0.03449572949721992,29.21987273904665,0.9628427620144417,0.971069756906033,7.443737113906973,4.440719205870075
"8x, 1 band",0.09916747764659042,20.064499986757145,0.7983402325286048,0.8889198924217562,10.836359828474643,12.51490865866382
"8x, 3 bands",0.015986109334159133,35.8597719913871,0.9881310428988886,0.992284742315808,4.636334261076203,2.2513949153065176
"8x, 8 bands",0.008454865849179368,41.28801015323204,0.9950598302662921,0.9942849046646056,2.5234649578059707,1.2841150509935364
"8x, 16 bands",0.009831057848234265,40.00830344363472,0.9950719479285902,0.9930385856420703,2.8009836996310775,1.3990349047697048
Airy PSF,,,,,,
"4x, 4 bands",0.010842782028955592,39.18738203988741,0.9938854926184675,0.993792474005417,2.1453356562786383,1.5906657870530503
"8x, 4 bands",0.017815340301323843,34.934808559734755,0.9882410698995311,0.9916206128311904,3.3154547868266224,2.336511665526159
"16x, 4 bands",0.01455583461584397,36.65979560501977,0.9901441874146442,0.9910445296373749,3.4016816333396127,2.1120097508101865
"32x, 4 bands",0.030375070985174477,30.32419964246811,0.9678167314226692,0.9700083944973978,6.113118552814287,4.50659125777297
"8x, 1 band",0.10004422492538038,19.987861155023865,0.7973360649074658,0.889609739782191,15.414944866030206,12.528451216240663
"8x, 3 bands",0.014599735296863413,36.63657423779644,0.990728786134464,0.9932128918279656,2.779848269768174,1.9746286065050194
"8x, 8 bands",0.007644955322278373,42.14103636999119,0.995715091807404,0.9940511157412873,1.8588800933597815,1.2070965572520032
"8x, 16 bands",0.00900844365040582,40.73926514149454,0.9956340352660584,0.9938134509445734,1.949701074865486,1.3210133337155319
Moffat PSF,,,,,,
"4x, 4 bands",0.012337724261725443,38.08507076036584,0.9925643944239197,0.9929758201005358,2.40750535489404,1.7998560184754406
"8x, 4 bands",0.012191352179216113,38.18604416785711,0.9924368339934291,0.993509672575664,2.1678297720707906,1.8071226994220995
"16x, 4 bands",0.02266806466135273,32.85381428618595,0.9819190136494564,0.9851047779048262,5.133424139975561,2.952759293531624
"32x, 4 bands",0.030284708796727188,30.34492247774979,0.9682967224447157,0.9763300330192062,5.9683246859768415,4.047882156417261
"8x, 1 band",0.09877916660847195,20.098472406919857,0.7988288174906296,0.8902991737119734,10.526684718090086,12.411362990846426
"8x, 3 bands",0.015403228064441415,36.17790931270232,0.9900255654618199,0.9928616919239901,2.612693317732345,2.068928332620331
"8x, 8 bands",0.009935929922788356,39.93577803755322,0.9920693755189789,0.9931828158755668,2.6550307373548443,1.400693253355843
"8x, 16 bands",0.009392672247755123,40.38579487332059,0.9956891156722569,0.9945532076166187,1.7180662321492153,1.33220353145354
Sinc PSF,,,,,,
"4x, 4 bands",0.010639069366552178,39.35514118309609,0.9940371794660157,0.9946442501687713,1.6976782601762714,1.589727916702643
"8x, 4 bands",0.011809341231090509,38.46074642945877,0.9930010150259323,0.9946573957995605,2.114710176518884,1.7350693263203425
"16x, 4 bands",0.017283468319823077,35.16895370753251,0.9895817922317258,0.990191263910956,5.227183533772822,2.156961573615568
"32x, 4 bands",0.0320635031470934,29.85707696129427,0.9634508070486136,0.957017624621931,11.467988771978074,4.5960735660893075
"8x, 1 band",0.15181546936758766,16.36654135370891,0.4528170409139224,0.8054728078151631,15.059344238606512,17.5769710271036
"8x, 3 bands",0.014432228297328188,36.737908702480325,0.9909821677048802,0.9927023791325242,3.2081442950281924,1.9630828120433477
"8x, 8 bands",0.008342849703392928,41.40976378224488,0.9954489343881601,0.9943518643587237,1.7494222380305517,1.2826115556024873
"8x, 16 bands",0.008282714091776536,41.46391992677077,0.9958550613666899,0.9947499407950681,1.8170546946552952,1.2703054757088283
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.012707230037628981,37.827914783938354,0.9913900072620008,0.992814022479136,2.4188512931523043,1.8810663273766577
"8x, 4 bands",0.013335646645446871,37.41973278036413,0.990287389511671,0.9923987601991895,2.767594641666049,1.9344387062116066
"16x, 4 bands",0.01746489191453987,35.08939911550052,0.9895255977538387,0.9899409700768651,3.1767087900692355,2.2753712271707895
