Washington DC Mall,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.016842662865647312,35.567865852866866,0.9008574377495402,0.7073532264288038,16.833170135593743,2.5262681944908647
"8x, 4 bands",0.01933800193744799,34.34557835533732,0.8971271248813713,0.7002894522205374,17.041477450101016,3.045414651604255
"16x, 4 bands",0.026012917934151395,31.764304033054977,0.8508335983564952,0.6364789699095261,18.675728609663953,4.344908300400898
"32x, 4 bands",0.035037337155963216,29.127172996577674,0.8899492234437797,0.698543736257939,16.901117684353174,6.209240450867613
"8x, 1 band",0.05397031801700311,25.35989979158359,0.8130108351003974,0.6944861012569932,17.53340946769253,6.470429446049839
"8x, 3 bands",0.019946920636415885,34.068553047394985,0.893112393746134,0.7006576149178521,17.01153992612814,3.0517056827166598
"8x, 8 bands",0.0179444139970046,35.0023212272605,0.9011995667200172,0.7067369850414361,16.869633772669285,2.8521264879518293
"8x, 16 bands",0.01876395295413647,34.62017846674821,0.8904340215310383,0.6997117357403166,17.083606064591365,2.922268688746452
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.01610395855870973,35.9453815795221,0.9158440853883418,0.7331927206962621,16.09058158914821,2.399314828057603
"8x, 4 bands",0.01981500486184631,34.13865335141951,0.8891395298874288,0.6900851684045253,17.33550923077018,3.1157318759963593
"16x, 4 bands",0.025897978606334183,31.792846151873793,0.8621179693643733,0.6517889804323771,18.233736650624376,4.208407823611839
"32x, 4 bands",0.03502792058625662,29.140032202589097,0.8659882072511451,0.659135856023,18.164943680243464,6.236767820770057
"8x, 1 band",0.050298916494923185,25.976483470452905,0.8074262324943589,0.6812478959182542,17.57803336534707,6.077913842374839
"8x, 3 bands",0.01809399699936402,34.8967461004201,0.9233219006233422,0.751235052779556,15.509554714787024,2.8750891570545893
"8x, 8 bands",0.018692127930376893,34.679192160840785,0.8720714172518015,0.6604123425046378,18.093391719789153,2.994463361386664
"8x, 16 bands",0.017086527683779926,35.404517302822256,0.9239983722142454,0.7517302918755152,15.497840555170484,2.756834890302985
Airy PSF,,,,,,
"4x, 4 bands",0.01642519584662156,35.849316333375775,0.8697591171268773,0.6522242038947367,18.29890221592515,2.4426880233910646
"8x, 4 bands",0.022382051800022694,33.11904114509095,0.8410314934189895,0.6245336366864951,18.929170204251278,3.5071708711034364
"16x, 4 bands",0.02494577222516435,32.12778863983652,0.8598851037270561,0.6473670262479646,18.492982847664386,4.182909446779712
"32x, 4 bands",0.03441427639150934,29.304584190933195,0.8458495140481312,0.6300000440273438,18.764431950074478,6.06831998791191
"8x, 1 band",0.048521702814035075,26.294300574397276,0.7951067622446939,0.6521054475811128,18.297336334290563,5.9836790030566425
"8x, 3 bands",0.0198121353254725,34.160979768647024,0.8712274761512874,0.6609752007262925,18.07524464436732,3.067227074162102
"8x, 8 bands",0.016944655186439474,35.451332049976976,0.9410605772369592,0.7884533744820968,14.42225031729254,2.7143931620175836
"8x, 16 bands",0.019400348870653013,34.3513765231745,0.869611662705776,0.6607600301984923,18.073726037044356,3.026903985179874
Moffat PSF,,,,,,
"4x, 4 bands",0.016070142393821756,36.01106601202071,0.8888277878735109,0.6828144959218972,17.516467864840006,2.3983682065273215
"8x, 4 bands",0.019401764115006097,34.33386534153493,0.8822161554092072,0.6805912781417061,17.58703556182006,3.0641735527162837
"16x, 4 bands",0.024537664873668423,32.24168460616162,0.9032611060139051,0.72135064091125,16.379453377293093,4.116835904296302
"32x, 4 bands",0.03327987809093696,29.572141010043545,0.9072936671866073,0.723663795329027,16.259369193892617,6.0386765400272315
"8x, 1 band",0.04947336393979481,26.123899546421118,0.7933223726129065,0.6562462707830182,18.199418672514447,6.0091953091353405
"8x, 3 bands",0.021074894176692616,33.621885634250845,0.8581488194645585,0.6449672380975962,18.50408134079534,3.2734012434574034
"8x, 8 bands",0.018410894885639816,34.763263150996224,0.9109257110301182,0.7267602270370074,16.322760602919715,2.8836160079031155
"8x, 16 bands",0.01776885746544941,35.06998531733557,0.9159918706904377,0.732337007110931,16.202887929645307,2.814365146795179
Sinc PSF,,,,,,
"4x, 4 bands",0.020432705506148643,33.92772173951957,0.8441958869762429,0.6257111305400433,18.910698230819722,3.0955685172362473
"8x, 4 bands",0.020157590793701528,34.02487385521801,0.8569514712578203,0.6401307695809816,19.023249873608485,3.172430770400516
"16x, 4 bands",0.024335670826000043,32.317758947350235,0.8968249437364301,0.7065831399171852,16.80711155378519,4.085780314800723
"32x, 4 bands",0.034087312028049,29.371014886145794,0.8861518198403122,0.6870470420883018,17.40746248564943,6.108393561546021
"8x, 1 band",0.05056089635114234,25.935599292314414,0.784760043484452,0.6417190874654812,18.70167493147989,6.201880068263278
"8x, 3 bands",0.021056752086268376,33.633052591454785,0.857741328973716,0.6447818630027302,18.529636665701574,3.263095555216912
"8x, 8 bands",0.017003710815552544,35.45809423074105,0.9186153815579395,0.7379770188661382,15.882152086779447,2.7617765321674894
"8x, 16 bands",0.01965117118699363,34.21968746262832,0.8828985564045991,0.6838504418887107,17.45591415330305,3.053256989431899
Lorentzian_Squared PSF,,,,,,
