Washington DC Mall,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.02076922401825151,33.621129330165644,0.9729923494534402,0.9137015505156695,18.652769522229224,2.9056531863733386
"8x, 4 bands",0.02613962351338236,31.630549839202928,0.951319926312344,0.8904005936292452,27.988374849157637,3.6428877971286475
"16x, 4 bands",0.034211922532968925,29.301211379916197,0.9254748840871552,0.8628649784676462,37.0373684394711,4.66274688455921
"32x, 4 bands",0.0796016431413938,21.97620171813382,0.7356655913816885,0.7652413287769041,52.12390716953843,10.891082409912062
"8x, 1 band",0.057636230371781706,24.777396795072924,0.8534381526840168,0.8851839066119106,21.296058915941053,7.632125949332179
"8x, 3 bands",0.0252671287768693,31.92123331734644,0.9603315475682099,0.9030718389528933,23.145315958931075,3.365408373889118
"8x, 8 bands",0.02370979663975375,32.478257204923736,0.9455556602580771,0.8745291536415523,31.716540951310485,3.238246473242759
"8x, 16 bands",0.021852528658939076,33.18529754078642,0.9546772463088932,0.8801315980426319,29.960907982413936,3.0861857583073538
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.022347566788743917,32.986334748449075,0.9654950535968646,0.9068371401024029,18.78113694182395,3.130800553965877
"8x, 4 bands",0.02629613131172688,31.57480902818591,0.9497690447704703,0.8861898729890897,24.756809088122154,3.6083654597424646
"16x, 4 bands",0.037711488164944726,28.458601569719605,0.9087643279744119,0.8468782595554751,40.19713340317613,5.337353142937145
"32x, 4 bands",0.048530938921209604,26.271259168636444,0.8680070285346455,0.8166056048332149,42.5927289010926,7.133892677683722
"8x, 1 band",0.05563132494434169,25.08358031771776,0.8638033351554109,0.8916225155999816,20.173458804757193,7.112914178534851
"8x, 3 bands",0.026473305318775602,31.523762697966113,0.9559186221727667,0.8886834956302708,22.40073250137725,3.562092422219509
"8x, 8 bands",0.019590679467399452,34.12677399616798,0.9659310216412286,0.8946269698651176,28.366026756338403,2.689217084736917
"8x, 16 bands",0.021031748309254153,33.51517638078819,0.9585604921187834,0.8802270953710893,26.53349386547233,2.882769064446034
Airy PSF,,,,,,
"4x, 4 bands",0.01905327766565675,34.362037543368714,0.9732271733564639,0.9156049111684341,17.079610848613648,2.693675063830819
"8x, 4 bands",0.02339656538247285,32.59051561121699,0.9641925203158354,0.902679057625646,23.992680529755,3.2869132786263924
"16x, 4 bands",0.035381041715718306,29.0129033632646,0.9237531948423645,0.8599114917066424,35.01977327726271,5.090630488417006
"32x, 4 bands",0.0663897512145722,23.551265835096764,0.7863988371585883,0.7766806714791391,56.74177974265944,9.624978781203263
"8x, 1 band",0.05731766779688716,24.8253808681715,0.8569037755658214,0.8825599483003451,24.18116546289333,7.504399704305649
"8x, 3 bands",0.02677939760449022,31.417106617755614,0.9500599139826773,0.892544721298705,25.36255164386756,3.611293049575461
"8x, 8 bands",0.023858258867297828,32.42175146955382,0.9424417375841205,0.8710134042383804,31.582474942131896,3.355086037062524
"8x, 16 bands",0.02337174111018568,32.60730648753836,0.944701427855691,0.8639150659972845,31.73991653634966,3.2360973115317324
Moffat PSF,,,,,,
"4x, 4 bands",0.021778162449992138,33.210324041690306,0.9664219658839486,0.9083052301249807,20.096141225377234,3.028867024236018
"8x, 4 bands",0.026409294036751504,31.540982904543103,0.9560937395347663,0.8939876323233454,23.19038856503014,3.6031027989869697
"16x, 4 bands",0.0413603142324656,27.65937598813379,0.9018561254886741,0.8451845162621874,40.31952381402652,5.867048827223621
"32x, 4 bands",0.07488312017854663,22.505741118789928,0.7761045800860302,0.7756163565608242,54.661814093336666,10.687488131132323
"8x, 1 band",0.05774198930610683,24.761589634936335,0.8515241518310296,0.8781012457787387,25.39375621970848,7.610015773215202
"8x, 3 bands",0.029400447260639107,30.612061940291177,0.9457122435275577,0.8833753229714953,26.701657615588115,3.8623383600665724
"8x, 8 bands",0.02219354903227001,33.04966757672395,0.953855983629328,0.881475284832693,30.25576267755702,3.037706996569307
"8x, 16 bands",0.021712690673572458,33.238698895305,0.9598349950544043,0.8849017895655743,29.25470797864737,2.864793073767618
Sinc PSF,,,,,,
