Washington DC Mall,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01194357056366731,38.374579770196576,0.9916113160094133,0.9878653899590139,3.30961185511461,1.7881017965223776
"8x, 4 bands",0.018596560733658063,34.569795147090886,0.9853720735112806,0.984270507683031,3.332077368081886,2.8411271086237586
"16x, 4 bands",0.03003452710478832,30.423901790482848,0.9716259197481486,0.9797955116127962,3.936825896839625,4.5568097967586665
"32x, 4 bands",0.03844864207266642,28.28237569745375,0.9679862289532367,0.9736109355146629,4.488937169913047,5.672752997225206
"8x, 1 band",0.051980721420744176,25.6709750213815,0.8856169864393454,0.9588227421173642,6.2191304591888485,6.260112126692691
"8x, 3 bands",0.01565372843633909,36.04833175028615,0.9876574868974242,0.9891160397104118,2.627754691084115,2.291544474795145
"8x, 8 bands",0.008934519085582918,40.828702698814496,0.9939501794156667,0.9878341364292732,3.5489628466503045,1.4652820834684221
"8x, 16 bands",0.019770294452371703,34.047239165497004,0.9842647839822205,0.9867537159750507,3.298035832642828,3.1354220307130367
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.012447294039585492,38.018909573698124,0.9916088102152804,0.9896771310299679,2.969551933440023,1.8756525486857762
"8x, 4 bands",0.02211529767615744,33.072719501579385,0.9791800687755237,0.9775557168421629,5.283930962178099,3.3908405832636603
"16x, 4 bands",0.034885828885240965,29.127638481544466,0.9590272910250147,0.9674161523747754,4.982211918765925,5.2890342503143595
"32x, 4 bands",0.04196074230207691,27.52511348795577,0.959849701798039,0.950624589989001,8.68693287194115,6.199524079886447
"8x, 1 band",0.05191071807343004,25.682760330339605,0.883598227075005,0.9557373598721636,7.444557431428353,6.352437928137869
"8x, 3 bands",0.01675375008181035,35.47157929122307,0.9852060527226413,0.9907904602339155,2.6910346118467614,2.5432354516062343
"8x, 8 bands",0.00965199368730416,40.18150058194409,0.99245364538814,0.9839434378890586,3.4899986674581136,1.5507394893729176
"8x, 16 bands",0.02620718654596362,31.60842107926858,0.972721271767864,0.980692167500061,4.04003148904336,4.001874002168055
Airy PSF,,,,,,
"4x, 4 bands",0.02617992366426127,31.615276766146295,0.9699850437525146,0.9819330656364047,3.9886961655426907,3.9029434077954748
"8x, 4 bands",0.04960433902496105,26.08069099344998,0.8978519674005806,0.9618062961260093,6.049613838458421,7.9101342853455625
