Washington DC Mall,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.012642904402925504,37.87768585944999,0.9923446356948499,0.9944105854504863,1.6800769650262237,1.8197638854719123
"8x, 4 bands",0.015022163586494254,36.39963778893308,0.99052764291315,0.9920887230597706,1.9522202227904553,2.2552200346851365
"16x, 4 bands",0.017387833635327286,35.14413485363973,0.9886432507748779,0.9861170256108647,2.562404573082403,2.813346167948378
"32x, 4 bands",0.02195954792146251,33.13448285590142,0.9856739538373854,0.9759761659377525,3.3672512835924,3.804414513923456
"8x, 1 band",0.07341326969460318,22.679298347367016,0.8124335092041804,0.9309717828582489,8.185856241187732,9.953021667981574
"8x, 3 bands",0.015718139270347663,36.009827918269224,0.9886383290313457,0.9919522875807354,2.045393020738015,2.3223272836107465
"8x, 8 bands",0.0107127067442459,39.286789266882934,0.9937420568536532,0.991533460836284,2.0827578154618704,1.7229347482078745
"8x, 16 bands",0.010628623616199675,39.3577519545524,0.9945336737645325,0.9916909144525085,1.9148825653291999,1.7302633277438866
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.012082989586305493,38.2634460186233,0.992670637287711,0.9952654854029288,1.645320043351595,1.747939110263939
"8x, 4 bands",0.014078627059640194,36.956539963616514,0.9910047090872292,0.9925885480862979,1.8849615082836155,2.160748273180105
"16x, 4 bands",0.017548730870261573,35.063539082147656,0.988485496140804,0.9871441571740037,2.499747116994687,2.8149158307970117
"32x, 4 bands",0.02276081443744285,32.823354640776955,0.9855600200079148,0.9760730438818345,3.273082887222251,3.894653692577195
"8x, 1 band",0.07190884820755034,22.85894910734048,0.8182527706698681,0.9328641853395356,8.028084934294451,9.854292137302686
"8x, 3 bands",0.01558808605149267,36.08145575352623,0.9885226191062062,0.9919002388781782,2.1767216919796093,2.2747144617934105
"8x, 8 bands",0.010420342695056485,39.51924750638425,0.9936927236104582,0.9926722067747124,1.9865066465538497,1.6661058667660757
"8x, 16 bands",0.009890473431004933,39.973881974925376,0.9948145770067086,0.9935705049063348,1.5893641073414237,1.6341444234318243
Airy PSF,,,,,,
"4x, 4 bands",0.010782972179380219,39.23754524016057,0.9935726241579813,0.9952422434164178,1.465563695768541,1.6093279982996407
"8x, 4 bands",0.013510691397069119,37.309938476252086,0.9913251556333653,0.9931832024288806,1.7887838552259707,2.07707994995133
"16x, 4 bands",0.01773356743066459,34.97395941815204,0.9885099504393433,0.9863663961009312,2.4429930501101262,2.823884509507473
"32x, 4 bands",0.02269428763812571,32.85215110397517,0.9851462742335955,0.9743853257942248,3.23953556241924,4.018066673142863
"8x, 1 band",0.07247506748238151,22.791250023438838,0.818019584703932,0.9311561726171702,8.171360643271873,10.155052687215028
"8x, 3 bands",0.014477613173032049,36.71639073195641,0.9893930033964475,0.9919296504119408,1.9647110704143378,2.1827794752348044
"8x, 8 bands",0.010168816150602193,39.73046609679659,0.9938255015382957,0.9924573719175972,2.0942483884643663,1.6502876822568553
"8x, 16 bands",0.009993684290866736,39.88426873647806,0.9946445284575773,0.9938037679643706,1.633991953849204,1.6319302682019765
Moffat PSF,,,,,,
"4x, 4 bands",0.011339017927684594,38.80760817395466,0.993219867550009,0.994949142201093,1.5223358248939056,1.6608919778301232
"8x, 4 bands",0.014099328342003885,36.9441395077241,0.9909507786017047,0.9925227313236509,1.8203275740066158,2.1279953816757784
"16x, 4 bands",0.017253982170379538,35.21025543554566,0.988478226766056,0.9859460399910175,2.470910480382712,2.7822500242046027
"32x, 4 bands",0.023034552717182178,32.722735724065906,0.9852582666327161,0.9753162853808891,3.3213730102711323,4.046516545470082
"8x, 1 band",0.0716992420366554,22.884649236902384,0.8166891464813166,0.931321931762473,8.039645237899217,9.872476662194199
"8x, 3 bands",0.014811374795192053,36.52331189719924,0.9890573319956305,0.9922506255650327,1.9531925025454169,2.2154192417310026
"8x, 8 bands",0.01019996987450358,39.7012891592676,0.993770232250262,0.991615466806908,2.0449843937656476,1.6385826590101575
"8x, 16 bands",0.009579221455525817,40.24839112896666,0.9948481763600694,0.9935131173294537,1.6121662041567997,1.5871537891591945
Sinc PSF,,,,,,
"4x, 4 bands",0.011037119164495136,39.0349115587935,0.9932779151268332,0.9952014174598716,1.5002920885442144,1.6532438735070014
"8x, 4 bands",0.014225983793677384,36.86530504078605,0.9905940314234644,0.992654562720807,1.9594544726062622,2.1765772365816094
"16x, 4 bands",0.01749151432833066,35.091649333902744,0.988362625961986,0.9850516199374204,2.590884849315889,2.812694311769465
"32x, 4 bands",0.022605218117292877,32.885015787349225,0.9852604190550692,0.9755297016501188,3.37661151960606,3.8840809866288386
