Washington DC Mall,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.01596698056646855,35.86554205546135,0.9895582463497652,0.9807711822666543,3.9856591810721853,2.2433833168535044
"8x, 4 bands",0.019012838867637685,34.35713652442108,0.9879011406353476,0.9800456877138202,4.8814490309075556,2.511069316040294
"16x, 4 bands",0.034748812317765956,29.146807994237555,0.969423521122881,0.9651558714827031,5.578604108749125,3.729475812784192
"32x, 4 bands",0.08077492173702569,21.839785476082717,0.8455992721223847,0.908109986242336,9.978709215770477,8.408118255089315
"8x, 1 band",0.09811350336271446,20.157026917082153,0.8051120298384673,0.8878111100142679,10.373946723233034,12.742423967464237
"8x, 3 bands",0.021079985363119367,33.46789923037518,0.9839043810384339,0.9757410690638371,4.626736199195472,2.720024652988259
"8x, 8 bands",0.0156303760956547,36.035386010001865,0.9877800134157478,0.9589971393627886,6.281289048663788,1.8728602819757105
"8x, 16 bands",0.016142841191403426,35.75683693068993,0.9888415267097165,0.9584940846174234,7.954411567997971,2.0183620943171996
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.015290438120962495,36.23444734479285,0.9897523106781113,0.9799866663300136,4.154873473772772,2.175660283685535
"8x, 4 bands",0.020567646391457087,33.67569545408267,0.9852358867541406,0.9738428676857251,5.88581059354266,2.5524156527375546
"16x, 4 bands",0.03842115268703271,28.281079549583982,0.959155535649794,0.9607072431267559,5.746199677670216,4.351494737194906
"32x, 4 bands",0.08607065442947141,21.290554659699797,0.8064882381053115,0.8906397241505807,10.452385595022907,9.081079718537746
"8x, 1 band",0.09992247079891917,19.99819665533709,0.8017512764246599,0.8857442559871903,10.715634869568875,12.94957079838603
"8x, 3 bands",0.021195264175761473,33.42229201504785,0.9836493057639276,0.9718467616323222,4.976553845047869,2.8641307588615383
"8x, 8 bands",0.01787540115673629,34.879417010191005,0.9867020587864838,0.9640936449341425,6.370655788101503,2.0668925093608443
"8x, 16 bands",0.018777807257320814,34.457154147159386,0.9880843502234752,0.9663922173196091,6.282487287946988,2.1597201162666066
Airy PSF,,,,,,
"4x, 4 bands",0.026574427498795673,31.46793851990552,0.9780418476151551,0.976594294390465,4.224045799434667,3.1671390813410487
"8x, 4 bands",0.045709085609739276,26.778079981018003,0.9361317166760754,0.9437545519812078,7.22034617215597,5.187217474130626
"16x, 4 bands",0.07430588892132213,22.566220089786995,0.8261749065940167,0.9119401568449013,9.057582446797378,7.830641982464015
"32x, 4 bands",0.10684435772661101,19.415061860746196,0.6837924477964766,0.8574730304188394,12.52081321433534,11.225105981082367
"8x, 1 band",0.10415908728938154,19.636707064102556,0.7645823340632919,0.870822412387737,10.991893129694267,13.711663669182188
"8x, 3 bands",0.04583333536482532,26.754055573142878,0.9378480008152962,0.9563002351447047,6.460340804569567,5.178686567857279
"8x, 8 bands",0.04731273205372063,26.48019636613102,0.9271298820193802,0.9384556283024652,7.63055569264564,5.352060247767476
"8x, 16 bands",0.047326326161582964,26.478009708507443,0.9310353114019203,0.9396095565735864,8.215933522582397,5.2709982820372945
Moffat PSF,,,,,,
"4x, 4 bands",0.01808694415819371,34.788774919900675,0.9868923616019615,0.9802284612527998,3.836788168181813,2.334888855268046
"8x, 4 bands",0.02772547483428837,31.102927214888894,0.9755252212816208,0.9701999199575754,4.982259546283151,3.2828836804594963
"16x, 4 bands",0.05384423030364156,25.358982106974153,0.9106061406121156,0.9398706196693183,7.584845130189932,5.81965115636514
"32x, 4 bands",0.09485085644284948,20.447873952573538,0.7565384929419736,0.882214202947768,11.029709431390934,9.924085571562815
"8x, 1 band",0.10135428643582642,19.874109795819706,0.7930137838942053,0.8839795598260818,10.643244929139998,13.234896828321435
"8x, 3 bands",0.02843684456504059,30.88531109472095,0.9740489272063262,0.9629321510497794,5.407016471064082,3.5147587843844974
"8x, 8 bands",0.02746917543908481,31.182296709520834,0.9743841019525392,0.9622946578590874,5.964527364487241,3.158040842479769
"8x, 16 bands",0.027449491231489903,31.18761073267411,0.9769187810992792,0.955287574353986,6.866510096068519,3.1523944104702837
Sinc PSF,,,,,,
"4x, 4 bands",0.0351913782992208,29.036412341953167,0.9676006178714588,0.9640759019825308,5.089263208404513,3.9511329537108537
"8x, 4 bands",0.06069728505455535,24.317894213325882,0.8991249064396317,0.936622008376766,7.661843519892857,6.006912318405264
"16x, 4 bands",0.08645138635603156,21.251961429181208,0.7908130603842803,0.9023202888810897,10.164063360678853,9.027942554342339
"32x, 4 bands",0.11367446350878363,18.876516131699244,0.6768022611797908,0.8581700240364131,12.191442649049225,11.96133463303898
"8x, 1 band",0.11629630130618761,18.679021631710313,0.7151300164546246,0.8643057841972774,11.622563711756968,14.893647541846759
"8x, 3 bands",0.06838899717668569,23.281996289077718,0.8899611802236341,0.9332821364173591,7.889126420572329,6.681649204151076
"8x, 8 bands",0.060761957868584335,24.310311767312633,0.8986481987826205,0.9316043489327551,8.225687787689772,6.164713167007831
"8x, 16 bands",0.06180510221220514,24.162594902745298,0.891879085167275,0.9303754041596662,8.295489215705539,5.825022673260532
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.016596578015483802,35.53398904110192,0.989782953819884,0.9821251426704559,4.093551874249944,2.335732170187131
"8x, 4 bands",0.02027635766406213,33.799863699819156,0.9845813498694784,0.9713554859414206,5.256511220688763,2.6092451745095877
"16x, 4 bands",0.038249471079176596,28.319020780374608,0.9588314980344492,0.9584182825126676,6.8321176623923465,4.275550290700357
"32x, 4 bands",0.0828388981734344,21.622061783727954,0.8297725268191916,0.9096879081785297,9.693229898420896,8.730081419732668
"8x, 1 band",0.09815300292817655,20.153298753785243,0.80349970826866,0.8859478199078921,10.62983665267107,12.735107981089508
"8x, 3 bands",0.02175622672624142,33.19619105266267,0.9825428781074629,0.97754816220209,5.521847446165143,2.7623803635788007
"8x, 8 bands",0.01780831856321336,34.91361529589884,0.9863040467086145,0.9627389521581258,7.40131177769113,2.1977013041371665
"8x, 16 bands",0.017972222801452956,34.83415046067038,0.9873956605976838,0.9627578023764126,6.335185743978233,2.1561084402995507
Hermite PSF,,,,,,
"4x, 4 bands",0.016282770167713092,35.699558551810135,0.9890579712005563,0.9774195847452716,4.6158953087473105,2.37042462197233
"8x, 4 bands",0.018252317173922075,34.708526260315786,0.9878478118998923,0.9745932263913268,6.252272454148024,2.5142622160338632
"16x, 4 bands",0.029457903996970982,30.575309245398536,0.9747701817506773,0.9633119125001144,6.562197678429617,3.346093452689968
"32x, 4 bands",0.06633006948701634,23.55014575325925,0.8892264260259932,0.9209393309021301,9.062619745119243,7.643020954831996
"8x, 1 band",0.09993790425055785,19.997142911622493,0.8023503561633121,0.8841590769717462,10.630838927694311,12.958313440523646
"8x, 3 bands",0.019956793314417538,33.94203036773841,0.9838914223376438,0.9695134154524909,4.810725032405253,2.645941006155716
"8x, 8 bands",0.014533549561734907,36.66189915632356,0.9883118374757653,0.9595419291248032,6.060485154968322,1.7659915136836943
"8x, 16 bands",0.015281062395118136,36.23057760565283,0.9905304942522656,0.9641849780696201,7.1600388804401085,1.8910369094609953
Parabolic PSF,,,,,,
"4x, 4 bands",0.019033934930299274,34.34676853474636,0.9848393286590881,0.9751126735398192,4.3547163034881615,2.511716049577329
"8x, 4 bands",0.03138484015667599,30.03232244702162,0.9687837697605236,0.961825529658232,5.853325625716118,3.7298305557342095
"16x, 4 bands",0.05982842081940212,24.44555895440148,0.8888059891894705,0.9262321012332279,7.92856583607717,6.484216609776333
"32x, 4 bands",0.09943903538146849,20.03834862517757,0.7233191848787127,0.8729846881638078,11.50610224691075,10.354176607182994
"8x, 1 band",0.10213023426111179,19.807790328881694,0.7879433806780897,0.8829526281074691,10.531819272183935,13.37548175823416
"8x, 3 bands",0.031802877523597055,29.917602648219468,0.9685949234873323,0.9679849593773345,5.485059496606532,3.849302090261957
"8x, 8 bands",0.031213288240087338,30.078462528541298,0.9688100409166369,0.9568605870288641,6.345258895118018,3.554190533680039
"8x, 16 bands",0.03152917981979813,29.991542369084257,0.9696817789149201,0.9550549241188949,6.915715438781373,3.5676479273356683
Gabor PSF,,,,,,
"4x, 4 bands",0.01616178742884309,35.761669883915175,0.9890266309651736,0.9760692518222985,4.035424359417866,2.2790076625735867
"8x, 4 bands",0.018073899760365192,34.79393680573962,0.9881885608629222,0.9809442314962998,4.066767371315979,2.4794997548096718
"16x, 4 bands",0.03209506876084341,29.83280164507862,0.9733704860481555,0.9691396451651971,6.169781440945846,3.5300116640181938
"32x, 4 bands",0.07776455099176065,22.16997422701752,0.850340363107286,0.9085736805511042,10.056020601337702,8.548852595390134
"8x, 1 band",0.09941851287548649,20.04233938836505,0.8045020392230967,0.8855960874626593,10.650722452768822,12.884432138045264
"8x, 3 bands",0.020377578340025418,33.75903032603985,0.9845076375765394,0.9680143587496961,5.232797290219882,2.605031374678513
"8x, 8 bands",0.015239170150863146,36.255559295996164,0.9878302630129799,0.9613133858656149,5.695962113809134,1.9126343945033988
"8x, 16 bands",0.015347003514324126,36.19246297564317,0.9901892746976761,0.9648876786930549,6.919750819659988,1.915250570398925
Delta PSF,,,,,,
"4x, 4 bands",0.04566904851163427,26.785611058234583,0.9406644764102335,0.9618358787457325,5.561684226344088,5.140884459009021
"8x, 4 bands",0.06541186863386833,23.6718449665602,0.8741486040192415,0.929941801524863,7.647473125646492,7.063923366052465
"16x, 4 bands",0.08630968911122808,21.267215298751747,0.7612035557621238,0.8937853329700366,9.995568566044739,9.278666845942459
"32x, 4 bands",0.11641856898208232,18.670475490328663,0.6195803630551063,0.8427889495930099,14.299439087300453,12.420524835844352
"8x, 1 band",0.11098119224798078,19.085867278542356,0.7257087693595787,0.8678028366152049,11.556534767571664,14.459954435213044
"8x, 3 bands",0.06522675216301065,23.695468598352587,0.8787888709560522,0.931810500734669,7.863186935270836,6.904889241417888
"8x, 8 bands",0.06732937262480475,23.422069277000112,0.8589883899188584,0.9225071854016662,9.00374845337686,7.211423862499829
"8x, 16 bands",0.06698102441328538,23.467460726359906,0.8622983016720374,0.925480008301462,8.421201138791414,7.048983607903532
