Washington DC Mall,,,,,,
Variant,RMSE,PSNR,SSIM,UIQI,ERGAS,SAM
Gaussian PSF,,,,,,
"4x, 4 bands",0.012785130011478208,37.77815044786624,0.9928416349485676,0.989539663182337,2.8561797612782307,1.7529761613334118
"8x, 4 bands",0.013236555900403195,37.47835449984332,0.9927907760465,0.9896556821482887,2.8388378175816227,1.7606349378271118
"16x, 4 bands",0.012899255860083255,37.69986379681982,0.9928015287188416,0.9897280076328474,2.8098057381954202,1.7445454667417948
"32x, 4 bands",0.013933318138386715,37.039610996589815,0.9923002412650366,0.9892642959686275,2.968960418995752,1.7998111953590126
"8x, 1 band",0.055091157353739026,25.1684743011593,0.8805949608278298,0.9540458877773368,6.407566948294494,6.128129820039596
"8x, 3 bands",0.014381732558155972,36.77414204726699,0.9911294914290902,0.9891511430257908,2.8929120282967444,1.8883985354506663
"8x, 8 bands",0.01008293616250632,39.797056016605595,0.9941459801033763,0.988713869508038,2.9328036325950952,1.3395046835111664
"8x, 16 bands",0.010139659043771936,39.75192777302422,0.9945829088065444,0.9887999899901697,2.9274934048430254,1.353513081333745
Kolmogorov PSF,,,,,,
"4x, 4 bands",0.012846355906470626,37.735582397429766,0.9928793390362989,0.989666989228858,2.8310757695900377,1.7452106631339306
"8x, 4 bands",0.012909606414808556,37.69322235987745,0.9928496216308137,0.9896855862608412,2.817307255498213,1.7486328013515184
"16x, 4 bands",0.013284839863803272,37.44779710907998,0.9927392479758829,0.9895982477366423,2.849706357666468,1.7660529853862246
"32x, 4 bands",0.014210823145106227,36.86981183161384,0.9921988663020026,0.989206292207241,2.928969375975125,1.8191039184433597
"8x, 1 band",0.055060345330585375,25.172859273638394,0.8807244090346895,0.954103538956077,6.418558923873451,6.0933376901811975
"8x, 3 bands",0.014129126929897406,36.92538043514507,0.991448497337196,0.9894594545034916,2.8463953548852317,1.870503866712056
"8x, 8 bands",0.009802770814918102,40.03601491662785,0.9943455670600061,0.9891048632860819,2.890053730497227,1.320692528267953
"8x, 16 bands",0.009711679817444523,40.11968844404146,0.9947250715512018,0.9890544929537171,2.94049124051401,1.3205227340340546
Airy PSF,,,,,,
"4x, 4 bands",0.013072849946849485,37.58586224483436,0.992764067830215,0.9895697574465059,2.8722432353188285,1.7574586864196444
"8x, 4 bands",0.013323416854679726,37.421893689786586,0.9928407406039509,0.9897874368500036,2.824860187960253,1.7542703754594235
"16x, 4 bands",0.013410946272709659,37.36676142691224,0.9927099929164176,0.9895506987812447,2.8454964245929166,1.7820426716766358
"32x, 4 bands",0.013956490823994335,37.02502903661517,0.9923903572733732,0.9895142448530835,2.886581836968617,1.802183618878534
"8x, 1 band",0.053101432723725056,25.4872442754139,0.8873442060672128,0.9595211528596813,6.210485669778443,5.814873012153893
"8x, 3 bands",0.014134663607200604,36.92242483336847,0.9911682193368945,0.9889718515603773,2.9432131010954232,1.87695455349631
"8x, 8 bands",0.010053647059598013,39.81986223689832,0.9941785056695774,0.9888161119222852,2.8669034933016153,1.3340046736820135
"8x, 16 bands",0.01023858608490859,39.66958520581691,0.9945118857758128,0.9884928990126872,2.9877572605081752,1.3536575825233732
Moffat PSF,,,,,,
"4x, 4 bands",0.012861201318503731,37.72455798447882,0.9928944948896787,0.9897012573781929,2.8325687751199853,1.7400316721957685
"8x, 4 bands",0.01332283822946068,37.42285970568148,0.9927784073934969,0.9896284880511277,2.8584528509306435,1.7658590720468195
"16x, 4 bands",0.01306966636598291,37.5873102550417,0.9928133598451577,0.9896371465322614,2.8523935881922338,1.7556365200151318
"32x, 4 bands",0.013572991318768714,37.26422484210771,0.9925848102833994,0.9893700895384719,2.8643342965833294,1.7870990393748551
"8x, 1 band",0.05374506190681772,25.38304813034104,0.8844029650384706,0.9576056944635303,6.314628654963592,5.9285922467400205
"8x, 3 bands",0.014245103950674864,36.85535685621502,0.9913896130207752,0.9892540304138243,2.886809570673623,1.8683004903744922
"8x, 8 bands",0.010184865415267494,39.71140086618368,0.9941752437893936,0.9886385657632528,2.9265097205398587,1.3394492949458656
"8x, 16 bands",0.009831003276909707,40.013956718316365,0.9946605291516475,0.9888986138830943,2.9572669794310693,1.3284403106642746
Sinc PSF,,,,,,
"4x, 4 bands",0.013091849986216658,37.573683394610605,0.9928032089865225,0.9894131822067184,2.829206399048119,1.7646977264445058
"8x, 4 bands",0.012718888533677202,37.821920117487366,0.992892526853466,0.9895322341496012,2.854151485450322,1.7295056036328382
"16x, 4 bands",0.013347498611867646,37.406988645552296,0.9926536068038047,0.9896282905886271,2.856439552672597,1.7621527339267355
"32x, 4 bands",0.014032017971635708,36.978014164745275,0.9922801197710419,0.9893471793099466,2.976485806955075,1.7993258250411184
"8x, 1 band",0.05426019413746542,25.29989298725917,0.8869344991242111,0.9583544424577451,6.282162555475604,5.947603651407928
"8x, 3 bands",0.014237931230498779,36.859255631402675,0.9912415133170162,0.9886992071847504,2.894639491003136,1.8740641028169251
"8x, 8 bands",0.009740557779033534,40.0894232172202,0.994316057980511,0.9891451684978051,2.8769305804043186,1.3135312883666062
"8x, 16 bands",0.009831603952773138,40.01455904070865,0.994662635843652,0.9889452691838142,2.9814377977985846,1.324065254335764
Lorentzian_Squared PSF,,,,,,
"4x, 4 bands",0.013257761161331197,37.465982983937096,0.9927349113262398,0.9895718271708125,2.842980895799731,1.774342380439387
"8x, 4 bands",0.013603652250646931,37.2439260160218,0.9925769948621714,0.9893458831226747,2.8623480298773187,1.7770319808684911
"16x, 4 bands",0.013494987762939569,37.31263587963418,0.9926714864772933,0.9895459411559326,2.855085372829352,1.7745246611128618
"32x, 4 bands",0.013786948850786233,37.129401578630095,0.9923225437184764,0.9891781542381537,2.931473085988521,1.7999364866415999
"8x, 1 band",0.055374859186745104,25.12298596556001,0.8814294193598593,0.9550977519295819,6.378949984402715,6.1149441398468865
"8x, 3 bands",0.014699931372449872,36.585465457129985,0.9909516091827282,0.9891082785843516,2.897089466451499,1.9088020180487868
"8x, 8 bands",0.009743404224032335,40.087146708582196,0.9942480253221032,0.988560195925997,2.8846495204468954,1.3189244697682716
"8x, 16 bands",0.009983927641193484,39.88481574079327,0.9946154370773475,0.9889068307464707,2.992736448875141,1.3385717223592248
Hermite PSF,,,,,,
"4x, 4 bands",0.01321665134029286,37.491694155163835,0.9926699302446916,0.9895784360184189,2.829438310963835,1.7648250454395031
"8x, 4 bands",0.013021952926195892,37.61916215212426,0.9928218541302826,0.9895280729582719,2.836458582275914,1.7444390652011306
"16x, 4 bands",0.013314520927344014,37.428492119491025,0.9926986587125648,0.989578599464026,2.85901003785617,1.7664595950852517
"32x, 4 bands",0.014301939239424662,36.81567500082774,0.9921587571290147,0.9893485072790387,2.9023819289212716,1.8130241963084022
"8x, 1 band",0.056862344071815736,24.893369495701343,0.8745155431726738,0.9516572982220047,6.534305653462977,6.312422837998526
"8x, 3 bands",0.014141337832706501,36.91763115564917,0.9912021962858486,0.988771330336371,2.902701381275786,1.8690801991569315
"8x, 8 bands",0.00955595117243833,40.25262081323127,0.9944308414362499,0.989247989828621,2.8610398848421137,1.301399164853371
"8x, 16 bands",0.01017906975707006,39.719440693553,0.9945547790209031,0.9889019491448333,3.0102346606153394,1.3461530188945274
Parabolic PSF,,,,,,
"4x, 4 bands",0.012785130011478208,37.77815044786624,0.9928416349485676,0.989539663182337,2.8561797612782307,1.7529761613334118
"8x, 4 bands",0.013236555900403195,37.47835449984332,0.9927907760465,0.9896556821482887,2.8388378175816227,1.7606349378271118
